Start Time, Mon Feb 21 2022 15:08:06 GMT+0000 (GMT)
Energy calibration,  Offset: -0.3439140022, Slope: 0.6775230169, Quadratic: 8.387880257e-8
Live Time (s), 1204602.5
Real Time (s), 1209121.82
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.3336091824576052, 332
2, 1.0111325348728155, 112746
3, 1.688656055045631, 243470
4, 2.3661797429760516, 43607
5, 3.0437035986640772, 10564
6, 3.7212276221097085, 16856
7, 4.398751813312944, 20782
8, 5.0762761722737855, 27604
9, 5.753800698992232, 31662
10, 6.431325393468283, 31969
11, 7.10885025570194, 31545
12, 7.786375285693202, 30676
13, 8.46390048344207, 44681
14, 9.14142584894854, 144204
15, 9.818951382212617, 84017
16, 10.4964770832343, 35603
17, 11.174002952013588, 16842
18, 11.85152898855048, 10664
19, 12.529055192844977, 5934
20, 13.20658156489708, 5097
21, 13.884108104706788, 4775
22, 14.561634812274102, 4466
23, 15.23916168759902, 4075
24, 15.916688730681544, 4134
25, 16.594215941521675, 3886
26, 17.271743320119405, 3788
27, 17.94927086647474, 3709
28, 18.62679858058769, 3478
29, 19.304326462458235, 3512
30, 19.981854512086393, 3437
31, 20.65938272947215, 3342
32, 21.336911114615518, 3301
33, 22.014439667516484, 3214
34, 22.691968388175063, 3113
35, 23.36949727659124, 3129
36, 24.04702633276503, 3120
37, 24.724555556696416, 3025
38, 25.402084948385408, 2945
39, 26.079614507832012, 2999
40, 26.757144235036215, 2939
41, 27.43467412999803, 2872
42, 28.112204192717442, 2913
43, 28.789734423194467, 2720
44, 29.46726482142909, 2758
45, 30.144795387421325, 2731
46, 30.82232612117116, 2775
47, 31.499857022678604, 2710
48, 32.17738809194365, 2697
49, 32.8549193289663, 2757
50, 33.53245073374656, 2617
51, 34.20998230628442, 2568
52, 34.88751404657989, 2650
53, 35.56504595463296, 2626
54, 36.24257803044363, 2608
55, 36.92011027401192, 2655
56, 37.5976426853378, 2541
57, 38.2751752644213, 2501
58, 38.952708011262395, 2514
59, 39.6302409258611, 2501
60, 40.30777400821741, 2435
61, 40.985307258331325, 2396
62, 41.66284067620284, 2388
63, 42.34037426183197, 2459
64, 43.017908015218694, 2426
65, 43.695441936363025, 2347
66, 44.37297602526497, 2343
67, 45.05051028192451, 2423
68, 45.72804470634166, 2315
69, 46.405579298516415, 2421
70, 47.08311405844878, 2381
71, 47.76064898613874, 2355
72, 48.438184081586314, 2371
73, 49.115719344791486, 2360
74, 49.79325477575427, 2272
75, 50.47079037447465, 2317
76, 51.14832614095264, 2334
77, 51.82586207518824, 2225
78, 52.50339817718144, 2305
79, 53.18093444693225, 2305
80, 53.858470884440656, 2375
81, 54.53600748970668, 2232
82, 55.213544262730295, 2305
83, 55.891081203511526, 2274
84, 56.568618312050354, 2312
85, 57.246155588346795, 2258
86, 57.923693032400834, 2253
87, 58.60123064421248, 2277
88, 59.278768423781734, 2291
89, 59.95630637110859, 2270
90, 60.633844486193055, 2317
91, 61.31138276903512, 2342
92, 61.9889212196348, 2195
93, 62.66645983799207, 2340
94, 63.34399862410696, 2280
95, 64.02153757797946, 2419
96, 64.69907669960955, 2388
97, 65.37661598899724, 2327
98, 66.05415544614254, 2432
99, 66.73169507104545, 2464
100, 67.40923486370598, 2226
101, 68.08677482412409, 2346
102, 68.76431495229981, 2301
103, 69.44185524823314, 2370
104, 70.11939571192408, 2440
105, 70.79693634337262, 2413
106, 71.47447714257876, 2444
107, 72.15201810954251, 2731
108, 72.82955924426386, 3248
109, 73.50710054674283, 2600
110, 74.1846420169794, 2885
111, 74.86218365497356, 4212
112, 75.53972546072534, 3003
113, 76.21726743423473, 2542
114, 76.89480957550171, 2882
115, 77.5723518845263, 2756
116, 78.24989436130849, 2371
117, 78.9274370058483, 2474
118, 79.60497981814571, 2466
119, 80.28252279820072, 2510
120, 80.96006594601333, 2388
121, 81.63760926158355, 2465
122, 82.31515274491139, 2446
123, 82.99269639599682, 2504
124, 83.67024021483985, 2674
125, 84.34778420144049, 3294
126, 85.02532835579875, 3561
127, 85.7028726779146, 2718
128, 86.38041716778805, 2711
129, 87.05796182541911, 3067
130, 87.73550665080778, 2868
131, 88.41305164395406, 2502
132, 89.09059680485794, 2521
133, 89.76814213351942, 2666
134, 90.4456876299385, 2498
135, 91.12323329411521, 2426
136, 91.8007791260495, 2564
137, 92.4783251257414, 2561
138, 93.15587129319091, 2677
139, 93.83341762839802, 2623
140, 94.51096413136275, 2579
141, 95.18851080208508, 2667
142, 95.866057640565, 2655
143, 96.54360464680254, 2609
144, 97.22115182079769, 2732
145, 97.89869916255043, 2653
146, 98.57624667206078, 2749
147, 99.25379434932873, 2727
148, 99.9313421943543, 2770
149, 100.60889020713746, 2774
150, 101.28643838767823, 2731
151, 101.9639867359766, 2771
152, 102.64153525203258, 2902
153, 103.31908393584618, 2852
154, 103.99663278741737, 2815
155, 104.67418180674616, 2870
156, 105.35173099383256, 3034
157, 106.02928034867658, 2934
158, 106.70682987127819, 2936
159, 107.3843795616374, 3008
160, 108.06192941975422, 2915
161, 108.73947944562865, 3127
162, 109.41702963926069, 3011
163, 110.09458000065032, 3100
164, 110.77213052979756, 3094
165, 111.44968122670241, 3128
166, 112.12723209136487, 3091
167, 112.80478312378493, 3030
168, 113.48233432396259, 3162
169, 114.15988569189786, 3167
170, 114.83743722759074, 3121
171, 115.51498893104119, 3231
172, 116.19254080224928, 3280
173, 116.87009284121497, 3283
174, 117.54764504793826, 3337
175, 118.22519742241916, 3306
176, 118.90274996465766, 3200
177, 119.58030267465378, 3274
178, 120.25785555240749, 3200
179, 120.93540859791881, 3361
180, 121.61296181118773, 3276
181, 122.29051519221427, 3611
182, 122.9680687409984, 3437
183, 123.64562245754014, 3393
184, 124.32317634183948, 3357
185, 125.00073039389643, 3426
186, 125.678284613711, 3425
187, 126.35583900128316, 3346
188, 127.03339355661292, 3479
189, 127.71094827970029, 3494
190, 128.38850317054528, 3615
191, 129.06605822914784, 3427
192, 129.74361345550804, 3486
193, 130.42116884962584, 3448
194, 131.09872441150122, 3618
195, 131.77628014113424, 3428
196, 132.45383603852483, 3454
197, 133.13139210367305, 3371
198, 133.80894833657888, 3478
199, 134.48650473724229, 3640
200, 135.16406130566332, 3544
201, 135.84161804184194, 3532
202, 136.5191749457782, 3696
203, 137.19673201747204, 3603
204, 137.87428925692348, 3633
205, 138.55184666413254, 3539
206, 139.2294042390992, 3666
207, 139.90696198182346, 3652
208, 140.58451989230534, 3619
209, 141.2620779705448, 3549
210, 141.93963621654189, 3640
211, 142.61719463029658, 3623
212, 143.29475321180885, 3618
213, 143.97231196107876, 3610
214, 144.64987087810624, 3597
215, 145.32742996289136, 3692
216, 146.00498921543408, 3731
217, 146.68254863573438, 3656
218, 147.3601082237923, 3616
219, 148.03766797960782, 3682
220, 148.71522790318096, 3630
221, 149.3927879945117, 3746
222, 150.07034825360003, 3654
223, 150.747908680446, 3876
224, 151.42546927504952, 3636
225, 152.1030300374107, 3629
226, 152.78059096752946, 3624
227, 153.4581520654058, 3787
228, 154.1357133310398, 3672
229, 154.81327476443138, 3649
230, 155.49083636558055, 3653
231, 156.16839813448735, 3610
232, 156.84596007115172, 3698
233, 157.52352217557373, 3675
234, 158.20108444775335, 3587
235, 158.87864688769054, 3731
236, 159.55620949538536, 3735
237, 160.23377227083776, 3568
238, 160.9113352140478, 3701
239, 161.58889832501544, 3707
240, 162.26646160374065, 3586
241, 162.9440250502235, 3782
242, 163.62158866446393, 3612
243, 164.299152446462, 3606
244, 164.97671639621765, 3574
245, 165.6542805137309, 3665
246, 166.33184479900177, 3532
247, 167.00940925203025, 3561
248, 167.6869738728163, 3696
249, 168.36453866136, 3628
250, 169.04210361766127, 3682
251, 169.71966874172017, 3648
252, 170.39723403353668, 3607
253, 171.07479949311076, 3532
254, 171.75236512044248, 3639
255, 172.42993091553177, 3700
256, 173.1074968783787, 3591
257, 173.78506300898323, 3638
258, 174.46262930734534, 3490
259, 175.14019577346508, 3584
260, 175.8177624073424, 3522
261, 176.49532920897735, 3568
262, 177.1728961783699, 3551
263, 177.85046331552005, 3616
264, 178.5280306204278, 3597
265, 179.20559809309316, 3628
266, 179.88316573351614, 3528
267, 180.56073354169672, 3520
268, 181.23830151763488, 3523
269, 181.91586966133067, 3556
270, 182.59343797278407, 3572
271, 183.27100645199505, 3482
272, 183.94857509896366, 3596
273, 184.62614391368984, 3600
274, 185.30371289617366, 3553
275, 185.9812820464151, 3503
276, 186.6588513644141, 3564
277, 187.33642085017073, 3462
278, 188.01399050368494, 3362
279, 188.69156032495678, 3341
280, 189.36913031398623, 3490
281, 190.04670047077326, 3559
282, 190.72427079531792, 3403
283, 191.40184128762016, 3511
284, 192.07941194768003, 3352
285, 192.7569827754975, 3377
286, 193.43455377107256, 3426
287, 194.11212493440524, 3306
288, 194.78969626549554, 3298
289, 195.4672677643434, 3365
290, 196.1448394309489, 3221
291, 196.82241126531198, 3350
292, 197.4999832674327, 3265
293, 198.177555437311, 3517
294, 198.8551277749469, 3443
295, 199.53270028034044, 3536
296, 200.21027295349154, 3337
297, 200.88784579440028, 3323
298, 201.56541880306662, 3240
299, 202.24299197949054, 3276
300, 202.9205653236721, 3256
301, 203.59813883561122, 3227
302, 204.275712515308, 3181
303, 204.95328636276236, 3306
304, 205.6308603779743, 3157
305, 206.30843456094388, 3210
306, 206.98600891167104, 3237
307, 207.66358343015582, 3192
308, 208.34115811639822, 3181
309, 209.0187329703982, 3107
310, 209.6963079921558, 3123
311, 210.373883181671, 3182
312, 211.0514585389438, 3127
313, 211.7290340639742, 3089
314, 212.4066097567622, 3140
