Start Time, Mon Feb 21 2022 15:08:06 GMT+0000 (GMT)
Energy calibration,  Offset: -0.3439140022, Slope: 0.6775230169, Quadratic: 8.387880257e-8
Live Time (s), 237622.7
Real Time (s), 238509.62
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.3336091824576052, 66
2, 1.0111325348728155, 52926
3, 1.688656055045631, 69050
4, 2.3661797429760516, 8002
5, 3.0437035986640772, 2334
6, 3.7212276221097085, 5102
7, 4.398751813312944, 5565
8, 5.0762761722737855, 6811
9, 5.753800698992232, 7372
10, 6.431325393468283, 7555
11, 7.10885025570194, 7297
12, 7.786375285693202, 7053
13, 8.46390048344207, 9345
14, 9.14142584894854, 28456
15, 9.818951382212617, 17106
16, 10.4964770832343, 7963
17, 11.174002952013588, 4176
18, 11.85152898855048, 2933
19, 12.529055192844977, 1912
20, 13.20658156489708, 1735
21, 13.884108104706788, 1657
22, 14.561634812274102, 1624
23, 15.23916168759902, 1505
24, 15.916688730681544, 1367
25, 16.594215941521675, 1414
26, 17.271743320119405, 1314
27, 17.94927086647474, 1367
28, 18.62679858058769, 1291
29, 19.304326462458235, 1302
30, 19.981854512086393, 1260
31, 20.65938272947215, 1233
32, 21.336911114615518, 1191
33, 22.014439667516484, 1237
34, 22.691968388175063, 1118
35, 23.36949727659124, 1158
36, 24.04702633276503, 1143
37, 24.724555556696416, 1112
38, 25.402084948385408, 1057
39, 26.079614507832012, 1098
40, 26.757144235036215, 1076
41, 27.43467412999803, 1016
42, 28.112204192717442, 1069
43, 28.789734423194467, 989
44, 29.46726482142909, 1001
45, 30.144795387421325, 1063
46, 30.82232612117116, 972
47, 31.499857022678604, 979
48, 32.17738809194365, 1005
49, 32.8549193289663, 960
50, 33.53245073374656, 995
51, 34.20998230628442, 935
52, 34.88751404657989, 911
53, 35.56504595463296, 933
54, 36.24257803044363, 926
55, 36.92011027401192, 920
56, 37.5976426853378, 974
57, 38.2751752644213, 886
58, 38.952708011262395, 963
59, 39.6302409258611, 874
60, 40.30777400821741, 882
61, 40.985307258331325, 886
62, 41.66284067620284, 883
63, 42.34037426183197, 824
64, 43.017908015218694, 894
65, 43.695441936363025, 883
66, 44.37297602526497, 853
67, 45.05051028192451, 809
68, 45.72804470634166, 806
69, 46.405579298516415, 892
70, 47.08311405844878, 827
71, 47.76064898613874, 838
72, 48.438184081586314, 857
73, 49.115719344791486, 858
74, 49.79325477575427, 873
75, 50.47079037447465, 849
76, 51.14832614095264, 788
77, 51.82586207518824, 833
78, 52.50339817718144, 835
79, 53.18093444693225, 892
80, 53.858470884440656, 881
81, 54.53600748970668, 817
82, 55.213544262730295, 853
83, 55.891081203511526, 827
84, 56.568618312050354, 783
85, 57.246155588346795, 863
86, 57.923693032400834, 864
87, 58.60123064421248, 895
88, 59.278768423781734, 1012
89, 59.95630637110859, 1015
90, 60.633844486193055, 871
91, 61.31138276903512, 922
92, 61.9889212196348, 912
93, 62.66645983799207, 945
94, 63.34399862410696, 1043
95, 64.02153757797946, 935
96, 64.69907669960955, 879
97, 65.37661598899724, 844
98, 66.05415544614254, 914
99, 66.73169507104545, 953
100, 67.40923486370598, 913
101, 68.08677482412409, 932
102, 68.76431495229981, 985
103, 69.44185524823314, 951
104, 70.11939571192408, 937
105, 70.79693634337262, 1007
106, 71.47447714257876, 1074
107, 72.15201810954251, 1135
108, 72.82955924426386, 1238
109, 73.50710054674283, 1166
110, 74.1846420169794, 1691
111, 74.86218365497356, 2845
112, 75.53972546072534, 1382
113, 76.21726743423473, 1344
114, 76.89480957550171, 3475
115, 77.5723518845263, 2160
116, 78.24989436130849, 1012
117, 78.9274370058483, 1017
118, 79.60497981814571, 975
119, 80.28252279820072, 950
120, 80.96006594601333, 1129
121, 81.63760926158355, 1043
122, 82.31515274491139, 1000
123, 82.99269639599682, 1077
124, 83.67024021483985, 1329
125, 84.34778420144049, 1467
126, 85.02532835579875, 1279
127, 85.7028726779146, 1068
128, 86.38041716778805, 1339
129, 87.05796182541911, 2065
130, 87.73550665080778, 1612
131, 88.41305164395406, 1069
132, 89.09059680485794, 1198
133, 89.76814213351942, 1693
134, 90.4456876299385, 1340
135, 91.12323329411521, 986
136, 91.8007791260495, 1221
137, 92.4783251257414, 1719
138, 93.15587129319091, 1863
139, 93.83341762839802, 1294
140, 94.51096413136275, 1046
141, 95.18851080208508, 976
142, 95.866057640565, 935
143, 96.54360464680254, 976
144, 97.22115182079769, 1052
145, 97.89869916255043, 958
146, 98.57624667206078, 991
147, 99.25379434932873, 1153
148, 99.9313421943543, 1101
149, 100.60889020713746, 978
150, 101.28643838767823, 1015
151, 101.9639867359766, 972
152, 102.64153525203258, 975
153, 103.31908393584618, 888
154, 103.99663278741737, 1019
155, 104.67418180674616, 1049
156, 105.35173099383256, 1174
157, 106.02928034867658, 1075
158, 106.70682987127819, 1013
159, 107.3843795616374, 967
160, 108.06192941975422, 1055
161, 108.73947944562865, 1071
162, 109.41702963926069, 1101
163, 110.09458000065032, 946
164, 110.77213052979756, 1088
165, 111.44968122670241, 1049
166, 112.12723209136487, 1083
167, 112.80478312378493, 1096
168, 113.48233432396259, 1066
169, 114.15988569189786, 1041
170, 114.83743722759074, 1122
171, 115.51498893104119, 1163
172, 116.19254080224928, 1023
173, 116.87009284121497, 990
174, 117.54764504793826, 1066
175, 118.22519742241916, 1027
176, 118.90274996465766, 1011
177, 119.58030267465378, 1038
178, 120.25785555240749, 1053
179, 120.93540859791881, 1027
180, 121.61296181118773, 1071
181, 122.29051519221427, 1119
182, 122.9680687409984, 1073
183, 123.64562245754014, 1094
184, 124.32317634183948, 1036
185, 125.00073039389643, 1065
186, 125.678284613711, 1126
187, 126.35583900128316, 1062
188, 127.03339355661292, 1107
189, 127.71094827970029, 1052
190, 128.38850317054528, 1218
191, 129.06605822914784, 1570
192, 129.74361345550804, 1274
193, 130.42116884962584, 1077
194, 131.09872441150122, 1087
195, 131.77628014113424, 1120
196, 132.45383603852483, 1110
197, 133.13139210367305, 1127
198, 133.80894833657888, 1119
199, 134.48650473724229, 1078
200, 135.16406130566332, 1084
201, 135.84161804184194, 1106
202, 136.5191749457782, 1071
203, 137.19673201747204, 1102
204, 137.87428925692348, 1133
205, 138.55184666413254, 1117
206, 139.2294042390992, 1190
207, 139.90696198182346, 1153
208, 140.58451989230534, 1064
209, 141.2620779705448, 1130
210, 141.93963621654189, 1138
211, 142.61719463029658, 1157
212, 143.29475321180885, 1160
213, 143.97231196107876, 1208
214, 144.64987087810624, 1147
215, 145.32742996289136, 1167
216, 146.00498921543408, 1150
217, 146.68254863573438, 1106
218, 147.3601082237923, 1105
219, 148.03766797960782, 1119
220, 148.71522790318096, 1125
221, 149.3927879945117, 1095
222, 150.07034825360003, 1099
223, 150.747908680446, 1155
224, 151.42546927504952, 1148
225, 152.1030300374107, 1132
226, 152.78059096752946, 1118
227, 153.4581520654058, 1154
228, 154.1357133310398, 1288
229, 154.81327476443138, 1133
230, 155.49083636558055, 1091
231, 156.16839813448735, 1137
232, 156.84596007115172, 1107
233, 157.52352217557373, 1093
234, 158.20108444775335, 1072
235, 158.87864688769054, 1100
236, 159.55620949538536, 1080
237, 160.23377227083776, 1137
238, 160.9113352140478, 1039
239, 161.58889832501544, 1054
240, 162.26646160374065, 1048
241, 162.9440250502235, 1104
242, 163.62158866446393, 1116
243, 164.299152446462, 1068
244, 164.97671639621765, 1064
245, 165.6542805137309, 1045
246, 166.33184479900177, 1137
247, 167.00940925203025, 1058
248, 167.6869738728163, 1044
249, 168.36453866136, 1045
250, 169.04210361766127, 1043
251, 169.71966874172017, 1088
252, 170.39723403353668, 1030
253, 171.07479949311076, 1059
254, 171.75236512044248, 1079
255, 172.42993091553177, 1014
256, 173.1074968783787, 1074
257, 173.78506300898323, 1096
258, 174.46262930734534, 1117
259, 175.14019577346508, 1046
260, 175.8177624073424, 1037
261, 176.49532920897735, 1009
262, 177.1728961783699, 1049
263, 177.85046331552005, 1041
264, 178.5280306204278, 1038
265, 179.20559809309316, 1081
266, 179.88316573351614, 1095
267, 180.56073354169672, 1030
268, 181.23830151763488, 1030
269, 181.91586966133067, 982
270, 182.59343797278407, 1022
271, 183.27100645199505, 1079
272, 183.94857509896366, 1006
273, 184.62614391368984, 1091
274, 185.30371289617366, 1450
275, 185.9812820464151, 1985
276, 186.6588513644141, 1420
277, 187.33642085017073, 1067
278, 188.01399050368494, 1040
279, 188.69156032495678, 998
280, 189.36913031398623, 1056
281, 190.04670047077326, 993
282, 190.72427079531792, 1032
283, 191.40184128762016, 1067
284, 192.07941194768003, 1082
285, 192.7569827754975, 1029
286, 193.43455377107256, 943
287, 194.11212493440524, 959
288, 194.78969626549554, 969
289, 195.4672677643434, 955
290, 196.1448394309489, 930
291, 196.82241126531198, 964
292, 197.4999832674327, 992
293, 198.177555437311, 978
294, 198.8551277749469, 1020
295, 199.53270028034044, 932
296, 200.21027295349154, 1018
297, 200.88784579440028, 1013
298, 201.56541880306662, 977
299, 202.24299197949054, 934
300, 202.9205653236721, 962
301, 203.59813883561122, 986
302, 204.275712515308, 1025
303, 204.95328636276236, 1004
304, 205.6308603779743, 937
305, 206.30843456094388, 977
306, 206.98600891167104, 940
307, 207.66358343015582, 939
308, 208.34115811639822, 1029
309, 209.0187329703982, 1506
310, 209.6963079921558, 1416
311, 210.373883181671, 959
312, 211.0514585389438, 923
313, 211.7290340639742, 960
314, 212.4066097567622, 926
315, 213.08418561730784, 925
316, 213.76176164561107, 887
317, 214.4393378416719, 910
318, 215.11691420549033, 897
319, 215.79449073706635, 1001
320, 216.4720674364, 932
321, 217.14964430349127, 924
322, 217.8272213383401, 936
323, 218.50479854094658, 876
324, 219.18237591131063, 902
325, 219.8599534494323, 933
326, 220.5375311553116, 901
327, 221.21510902894846, 904
328, 221.89268707034296, 860
329, 222.57026527949503, 890
330, 223.24784365640474, 913
331, 223.92542220107205, 905
332, 224.60300091349694, 910
333, 225.28057979367946, 846
334, 225.9581588416196, 881
335, 226.6357380573173, 861
336, 227.31331744077264, 850
337, 227.99089699198555, 879
338, 228.6684767109561, 837
339, 229.34605659768425, 882
340, 230.02363665216998, 905
341, 230.70121687441335, 824
342, 231.3787972644143, 809
343, 232.05637782217286, 901
344, 232.73395854768904, 827
345, 233.4115394409628, 799
346, 234.0891205019942, 895
347, 234.76670173078315, 884
348, 235.44428312732975, 851
349, 236.12186469163396, 944
350, 236.79944642369574, 875
351, 237.47702832351516, 1103
352, 238.15461039109215, 5130
353, 238.83219262642677, 8007
354, 239.509775029519, 2274
355, 240.1873576003688, 965
356, 240.86494033897625, 1523
357, 241.5425232453413, 1659
358, 242.22010631946392, 1578
359, 242.89768956134418, 905
360, 243.575272970982, 780
361, 244.25285654837748, 740
362, 244.93044029353055, 731
363, 245.6080242064412, 720
364, 246.28560828710948, 797
365, 246.96319253553534, 761
366, 247.64077695171883, 844
367, 248.31836153565993, 682
368, 248.9959462873586, 762
369, 249.6735312068149, 769
370, 250.3511162940288, 743
371, 251.02870154900032, 755
372, 251.70628697172944, 658
373, 252.38387256221614, 794
374, 253.06145832046047, 800
375, 253.7390442464624, 778
376, 254.41663034022193, 738
377, 255.09421660173908, 729
378, 255.7718030310138, 706
379, 256.4493896280461, 725
380, 257.1269763928361, 706
381, 257.80456332538364, 729
382, 258.4821504256888, 787
383, 259.1597376937516, 672
384, 259.837325129572, 695
385, 260.5149127331499, 748
386, 261.19250050448557, 772
387, 261.8700884435787, 705
388, 262.5476765504295, 691
389, 263.2252648250379, 677
390, 263.90285326740394, 716
391, 264.5804418775275, 641
392, 265.25803065540873, 720
393, 265.93561960104756, 732
394, 266.613208714444, 663
395, 267.290797995598, 634
396, 267.9683874445097, 692
397, 268.6459770611789, 699
398, 269.32356684560574, 791
399, 270.0011567977902, 1177
400, 270.67874691773227, 1064
401, 271.3563372054319, 790
402, 272.03392766088916, 709
403, 272.71151828410405, 661
404, 273.38910907507653, 702
405, 274.06670003380657, 713
406, 274.7442911602943, 688
407, 275.42188245453957, 614
408, 276.0994739165425, 662
409, 276.777065546303, 769
410, 277.4546573438211, 951
411, 278.1322493090968, 738
412, 278.80984144213016, 713
413, 279.48743374292104, 656
414, 280.1650262114696, 654
415, 280.84261884777567, 631
416, 281.5202116518395, 634
417, 282.1978046236608, 600
418, 282.87539776323973, 631
419, 283.5529910705763, 670
420, 284.23058454567047, 618
421, 284.9081781885222, 599
422, 285.5857719991316, 639
423, 286.26336597749855, 611
424, 286.94096012362314, 638
425, 287.6185544375053, 701
426, 288.29614891914514, 644
427, 288.9737435685425, 643
428, 289.6513383856975, 652
429, 290.3289333706101, 587
430, 291.00652852328034, 576
431, 291.6841238437081, 613
