Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   74.70,    2664.0,  109.2    ,2.2032e-003, 0.86,  1.15%,   9.33,  118473.4,  1,  ,1209121.875,,,,,50.4708,82.9927,,,Linear
   85.12,    1618.3,  106.3    ,1.3384e-003, 1.39,  1.64%,  17.95,   76861.7,  2,  ,1209121.875,,,,,76.8948,96.5436,,,Linear
  242.25,    1082.7,  147.5    ,8.9546e-004, 0.91,  0.38%,   9.69,   25448.0,  3,  ,1209121.875,,,Pb214,242.00,239.51,245.608,,,Linear
  295.35,    2484.6,  116.9    ,2.0549e-003, 1.13,  0.38%,   6.62,   35535.8,  4,  ,1209121.875,,,Pb214,295.24,290.129,300.97,,,Linear
  334.45,    4932.5,  93.1     ,4.0794e-003, 0.35,  0.11%,  135.70,   57908.4,  5,  ,1209121.875,,,In115m,336.24,324.887,344.537,,,Linear
  352.19,    4552.2,  115.4    ,3.7648e-003, 1.12,  0.32%,   7.11,   28499.9,  6,  ,1209121.875,,,Pb214,351.93,347.031,357.873,,,Linear
  511.09,   18294.7,  169.9    ,1.5131e-002, 2.69,  0.53%,   3.34,   39249.3,  7,  ,1209121.875,,,,,501.747,521.399,,,Linear
  609.56,    3407.1,  82.5     ,2.8178e-003, 1.32,  0.22%,   4.48,   11260.7,  8,  ,1209121.875,,,Bi214,609.31,604.429,615.272,,,Linear
  768.74,     323.1,  44.3     ,2.6722e-004, 1.60,  0.21%,   1.43,    6943.0,  9,  ,1209121.875,,,Bi214,768.36,764.244,778.476,#00b9ff,,Linear
  803.35,     632.0,  54.5     ,5.2270e-004, 1.49,  0.19%,   0.87,    5414.3,  10,  ,1209121.875,,,Pb206m,803.06,798.157,809.001,,,Linear
  934.46,     205.7,  44.5     ,1.7010e-004, 2.32,  0.25%,   0.40,    5173.7,  11,  ,1209121.875,,,Bi214,934.06,927.67,941.329,#00b9ff,,Linear
 1120.41,     854.8,  50.4     ,7.0699e-004, 1.72,  0.15%,   1.02,    5273.6,  12,  ,1209121.875,,,Bi214,1120.29,1113.31,1127.76,,,Linear
 1238.47,     360.8,  37.9     ,2.9837e-004, 2.06,  0.17%,   0.67,    4135.7,  13,  ,1209121.875,,,Bi214,1238.11,1230.51,1245.51,#00b9ff,,Linear
 1378.05,     228.2,  29.9     ,1.8876e-004, 1.68,  0.12%,   1.12,    4363.7,  14,  ,1209121.875,,,Bi214,1377.67,1367.41,1387.06,#00b9ff,,Linear
 1408.42,     156.3,  26.4     ,1.2925e-004, 1.46,  0.10%,   0.89,    5100.8,  15,  ,1209121.875,,,Bi214,1407.98,1393.97,1418.24,#00b9ff,,Linear
 1461.40,    2344.7,  59.9     ,1.9391e-003, 1.85,  0.13%,   3.08,    4861.6,  16,  ,1209121.875,,,K40,1460.75,1454.76,1468.48,,,Linear
 1509.54,     164.4,  31.4     ,1.3595e-004, 2.25,  0.15%,   0.60,    2769.0,  17,  ,1209121.875,,,Bi214,1509.23,1502.95,1517.86,#00b9ff,,Linear
 1593.29,     271.6,  53.5     ,2.2462e-004, 2.44,  0.15%,   3.69,    1362.6,  18,  ,1209121.875,,,,,1590.26,1597.72,,,Linear
 1662.10,     145.3,  36.8     ,1.2017e-004, 3.75,  0.23%,   1.30,    2104.1,  19,  ,1209121.875,,,Bi214,1661.28,1654.99,1669.98,#00b9ff,,Linear
 1730.09,     280.2,  35.4     ,2.3170e-004, 2.23,  0.13%,   0.86,    2445.1,  20,  ,1209121.875,,,Bi214,1729.59,1721.78,1738.73,,,Linear
 1764.87,    1434.4,  47.1     ,1.1864e-003, 1.91,  0.11%,   0.76,    3913.2,  21,  ,1209121.875,,,Bi214,1764.49,1755.68,1775.34,,,Linear
 1847.92,     144.2,  33.3     ,1.1925e-004, 1.79,  0.10%,   1.06,    1259.6,  22,  ,1209121.875,,,Bi214,1847.42,1844.5,1853.99,,,Linear
 2103.36,     419.1,  35.8     ,3.4663e-004, 2.92,  0.14%,   1.35,    2252.0,  23,  ,1209121.875,,,,,2092.65,2112.31,,,Linear
 2118.60,     102.1,  23.2     ,8.4443e-005, 2.18,  0.10%,   0.76,    1227.0,  24,  ,1209121.875,,,Bi214,2118.55,2111.54,2123.74,#00b9ff,,Linear
 2204.24,     489.4,  36.7     ,4.0474e-004, 2.34,  0.11%,   3.64,    1623.2,  25,  ,1209121.875,,,Bi214,2204.21,2198.17,2211.04,,,Linear
 2447.55,     216.3,  23.1     ,1.7892e-004, 2.45,  0.10%,   0.98,    1251.3,  26,  ,1209121.875,,,Bi214,2447.86,2438.19,2455.6,#00b9ff,,Linear
 2614.88,    2992.5,  58.3     ,2.4750e-003, 2.45,  0.09%,   5.85,    4202.1,  27,  ,1209121.875,,,Tl208,2614.53,2604.82,2627.67,,,Linear
