Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   59.52,    1202.5,  137.1    ,1.0058e-003, 1.50,  2.53%,   3.02,   81705.9,  1,  ,1195547.125,,,Am241,59.54,54.2815,67.8258,#006600,,Linear
   63.46,    1496.7,  139.1    ,1.2519e-003, 1.44,  2.26%,   3.02,   81705.9,  2,  ,1195547.125,,,Th234,63.29,54.2815,67.8258,,,Linear
   74.90,   12721.2,  163.7    ,1.0640e-002, 0.91,  1.21%,  27.18,  143468.8,  3,  ,1195547.125,,,Pb212 (x-ray),74.82,66.0935,83.0925,,,Linear
   77.13,   16144.3,  176.9    ,1.3504e-002, 0.87,  1.13%,  27.18,  143468.8,  4,  ,1195547.125,,,Pb212 (x-ray),77.11,66.0935,83.0925,,,Linear
   93.02,    7713.3,  178.5    ,6.4517e-003, 1.29,  1.39%,  42.46,   44254.1,  5,  ,1195547.125,,,Th234,92.80,90.847,96.1583,,,Constant
   99.35,    1506.1,  152.8    ,1.2597e-003, 1.44,  1.44%,   0.93,   44373.7,  6,  ,1195547.125,,,Ac228,99.51,95.7858,102.364,#00b9ff,,Linear
  105.34,    1797.6,  155.1    ,1.5036e-003, 1.59,  1.51%,   1.70,  100000.4,  7,  ,1195547.125,,,Ac228 (x-ray),105.60,100.333,114.554,#00b9ff,,Linear
  129.11,    3138.1,  153.5    ,2.6248e-003, 0.83,  0.65%,   0.69,   77108.7,  8,  ,1195547.125,,,Ac228,129.06,123.714,133.517,,,Linear
  154.06,    1365.3,  143.9    ,1.1420e-003, 0.81,  0.52%,   1.58,  106096.5,  9,  ,1195547.125,,,Ac228,153.98,147.322,161.047,,,Linear
  185.98,    6877.1,  177.9    ,5.7523e-003, 1.13,  0.61%,   1.28,   89876.8,  10,  ,1195547.125,,,Ra226,186.21,179.57,191.084,,,Linear
  209.30,    4490.3,  170.0    ,3.7559e-003, 0.84,  0.40%,   3.29,   69798.1,  11,  ,1195547.125,,,Ac228,209.25,205.307,215.465,#00b9ff,,Linear
  238.66,   51277.1,  262.7    ,4.2890e-002, 0.99,  0.41%,  11.95,  172594.7,  12,  ,1195547.125,,,Pb212,238.63,229.011,248.653,,,Linear
  241.57,   10355.3,  190.8    ,8.6616e-003, 1.64,  0.68%,  11.95,  172594.7,  13,  ,1195547.125,,,Pb214,242.00,229.011,248.653,,,Linear
  270.25,    4419.2,  159.8    ,3.6964e-003, 1.33,  0.49%,   1.28,   58745.7,  14,  ,1195547.125,,,Ac228,270.25,264.797,276.422,#00b9ff,,Linear
  295.24,   13121.3,  171.2    ,1.0975e-002, 1.08,  0.36%,   3.01,   52257.1,  15,  ,1195547.125,,,Pb214,295.24,289.968,299.45,#9933FF,,Linear
  300.12,    3160.6,  162.8    ,2.6436e-003, 0.97,  0.32%,   2.68,   19544.9,  16,  ,1195547.125,,,Pb212,300.09,298.096,302.16,,,Linear
  338.41,   10623.6,  154.2    ,8.8860e-003, 1.08,  0.32%,   1.58,   41619.7,  17,  ,1195547.125,,,Ac228,338.32,334.672,343.864,,,Linear
  352.04,   22888.5,  186.6    ,1.9145e-002, 1.11,  0.31%,   1.87,   56663.9,  18,  ,1195547.125,,,Pb214,351.93,346.628,357.466,,,Linear
  409.69,    1507.8,  103.3    ,1.2612e-003, 1.06,  0.26%,   2.20,   32874.0,  19,  ,1195547.125,,,Ac228,409.46,405.792,418.662,#00B9FF,,Linear
  439.00,     365.2,  92.0     ,3.0549e-004, 1.89,  0.43%,   0.68,   30559.1,  20,  ,1195547.125,,,K40 (D.E.),438.75,431.532,445.454,#cc3333,,Linear
  463.12,    3174.8,  107.7    ,2.6555e-003, 1.23,  0.27%,   0.93,   24790.6,  21,  ,1195547.125,,,Ac228,463.00,457.747,468.585,,,Linear
  510.98,   22208.6,  189.9    ,1.8576e-002, 2.35,  0.46%,  10.81,   55115.8,  22,  ,1195547.125,,,,,501.303,520.948,,,Linear
  583.20,   16573.0,  149.5    ,1.3862e-002, 1.26,  0.22%,   1.90,   30185.0,  23,  ,1195547.125,,,Tl208,583.19,577.811,588.65,,,Linear
  609.35,   16972.1,  150.9    ,1.4196e-002, 1.31,  0.22%,   1.19,   29651.1,  24,  ,1195547.125,,,Bi214,609.31,603.966,614.805,,,Linear
  661.76,   29001.4,  183.8    ,2.4258e-002, 1.35,  0.20%,   4.36,   47566.5,  25,  ,1195547.125,,,Cs137,661.66,653.725,671.34,,,Linear
  727.41,    3799.1,  90.5     ,3.1777e-003, 1.43,  0.20%,   0.98,   13151.6,  26,  ,1195547.125,,,Bi212,727.33,722.044,732.884,,,Linear
  755.24,     570.5,  80.6     ,4.7715e-004, 1.97,  0.26%,   0.30,   12098.5,  27,  ,1195547.125,,,Ac228,755.32,748.97,762.8,,,Linear
  768.48,    1499.3,  75.8     ,1.2541e-003, 1.53,  0.20%,   2.48,   18590.8,  28,  ,1195547.125,,,Bi214,768.36,758.735,778.383,,,Linear
  772.40,     610.9,  61.4     ,5.1102e-004, 1.28,  0.17%,   2.48,   18590.8,  29,  ,1195547.125,,,Ac228,772.29,758.735,778.383,#00b9ff,,Linear
  785.79,     783.3,  63.7     ,6.5518e-004, 1.46,  0.19%,   2.61,   14777.8,  30,  ,1195547.125,,,Pa234m,786.25,776.35,793.966,,,Linear
  795.04,    2122.8,  78.1     ,1.7756e-003, 1.50,  0.19%,   1.18,   10115.9,  31,  ,1195547.125,,,Ac228,794.95,789.686,800.525,,,Linear
  835.78,     587.5,  54.4     ,4.9142e-004, 1.19,  0.14%,   7.34,   17787.0,  32,  ,1195547.125,,,Ac228,835.71,825.81,848.606,,,Linear
  840.07,     519.4,  54.4     ,4.3446e-004, 1.78,  0.21%,   8.61,   17235.7,  33,  ,1195547.125,,,Ac228,840.38,826.931,849.041,,,Linear
  860.61,    1924.2,  71.5     ,1.6095e-003, 1.45,  0.17%,   1.40,   13159.9,  34,  ,1195547.125,,,Tl208,860.56,850.878,867.14,,,Linear
  911.20,   11576.3,  123.8    ,9.6829e-003, 1.50,  0.16%,   0.53,   19373.3,  35,  ,1195547.125,,,Ac228,911.20,905.083,916.694,,,Linear
