Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   59.86,     937.0,  121.9    ,7.8378e-004, 0.61,  1.02%,   2.24,   81551.6,  1,  ,1195547.125,,,Am241,59.54,54.2815,67.8258,#006600,,Linear
   63.71,    1277.5,  142.0    ,1.0686e-003, 1.06,  1.67%,   2.24,   81551.6,  2,  ,1195547.125,,,Th234,63.29,54.2815,67.8258,,,Linear
   75.17,   12825.2,  161.3    ,1.0727e-002, 0.91,  1.21%,  23.06,  143197.3,  3,  ,1195547.125,,,Pb212 (x-ray),74.82,66.0935,83.0925,,,Linear
   77.39,   16318.1,  172.4    ,1.3649e-002, 0.88,  1.14%,  23.06,  143197.3,  4,  ,1195547.125,,,Pb212 (x-ray),77.11,66.0935,83.0925,,,Linear
   93.29,    7656.9,  223.4    ,6.4045e-003, 1.28,  1.37%,  99.02,   44762.7,  5,  ,1195547.125,,,Th234,92.80,90.847,96.1583,,,Constant
   99.68,    1521.8,  221.2    ,1.2729e-003, 1.41,  1.41%,   2.77,   44362.1,  6,  ,1195547.125,,,Ac228,99.51,95.7858,102.364,#00b9ff,,Linear
  105.66,    1468.9,  161.2    ,1.2287e-003, 1.22,  1.16%,   3.61,   99903.3,  7,  ,1195547.125,,,Ac228 (x-ray),105.60,100.333,114.554,#00b9ff,,Linear
  129.40,    3096.6,  154.9    ,2.5901e-003, 0.83,  0.64%,   0.43,   76991.4,  8,  ,1195547.125,,,Ac228,129.06,123.714,133.517,,,Linear
  154.37,    1378.0,  143.7    ,1.1526e-003, 0.81,  0.53%,   1.55,  106085.6,  9,  ,1195547.125,,,Ac228,153.98,147.322,161.047,,,Linear
  186.29,    6889.4,  180.1    ,5.7625e-003, 1.13,  0.61%,   1.37,   89908.1,  10,  ,1195547.125,,,Ra226,186.21,179.57,191.084,,,Linear
  209.63,    4410.2,  165.7    ,3.6888e-003, 0.81,  0.39%,   3.48,   69944.8,  11,  ,1195547.125,,,Ac228,209.25,205.307,215.465,#00b9ff,,Linear
  239.00,   51295.5,  263.0    ,4.2905e-002, 0.99,  0.41%,  12.41,  172798.5,  12,  ,1195547.125,,,Pb212,238.63,229.011,248.653,,,Linear
  241.91,   10399.4,  192.9    ,8.6984e-003, 1.65,  0.68%,  12.41,  172798.5,  13,  ,1195547.125,,,Pb214,242.00,229.011,248.653,,,Linear
  270.61,    4419.2,  159.8    ,3.6964e-003, 1.33,  0.49%,   1.28,   58759.4,  14,  ,1195547.125,,,Ac228,270.25,264.797,276.422,#00b9ff,,Linear
  295.61,   13121.0,  170.8    ,1.0975e-002, 1.08,  0.36%,   2.63,   52019.1,  15,  ,1195547.125,,,Pb214,295.24,289.968,299.45,#9933ff,,Linear
  300.49,    3243.6,  156.1    ,2.7131e-003, 1.00,  0.33%,   1.82,   31590.0,  16,  ,1195547.125,,,Pb212,300.09,298.096,305.211,,,Linear
  338.79,   10598.0,  151.5    ,8.8646e-003, 1.07,  0.32%,   1.49,   41691.0,  17,  ,1195547.125,,,Ac228,338.32,334.672,343.864,,,Linear
  352.42,   22888.5,  186.6    ,1.9145e-002, 1.11,  0.31%,   1.87,   56728.1,  18,  ,1195547.125,,,Pb214,351.93,346.628,357.466,,,Linear
  410.10,    1506.5,  103.3    ,1.2601e-003, 1.05,  0.26%,   2.12,   32937.7,  19,  ,1195547.125,,,Ac228,409.46,405.792,418.662,#00b9ff,,Linear
  439.45,     362.2,  123.8    ,3.0293e-004, 1.89,  0.43%,   1.00,   30600.0,  20,  ,1195547.125,,,K40 (D.E.),438.75,431.532,445.454,#cc3333,,Linear
  463.54,    3175.3,  107.7    ,2.6559e-003, 1.23,  0.27%,   0.93,   24817.0,  21,  ,1195547.125,,,Ac228,463.00,457.747,468.585,,,Linear
  511.43,   22183.5,  189.7    ,1.8555e-002, 2.35,  0.46%,  10.56,   55144.9,  22,  ,1195547.125,,,,,501.303,520.948,,,Linear
  583.67,   16572.7,  149.5    ,1.3862e-002, 1.27,  0.22%,   1.90,   30184.6,  23,  ,1195547.125,,,Tl208,583.19,577.811,588.65,,,Linear
  609.83,   16955.9,  151.3    ,1.4183e-002, 1.31,  0.22%,   1.39,   29703.3,  24,  ,1195547.125,,,Bi214,609.31,603.966,614.805,,,Linear
  662.26,   28983.7,  183.7    ,2.4243e-002, 1.35,  0.20%,   3.75,   47586.4,  25,  ,1195547.125,,,Cs137,661.66,653.725,671.34,,,Linear
  727.93,    3799.5,  90.5     ,3.1780e-003, 1.43,  0.20%,   0.98,   13181.6,  26,  ,1195547.125,,,Bi212,727.33,722.044,732.884,,,Linear
  755.77,     562.2,  78.8     ,4.7021e-004, 1.95,  0.26%,   0.31,   12070.6,  27,  ,1195547.125,,,Ac228,755.32,748.97,762.8,,,Linear
  769.01,    1486.4,  62.9     ,1.2433e-003, 1.48,  0.19%,   2.16,   18610.8,  28,  ,1195547.125,,,Bi214,768.36,758.735,778.383,,,Linear
  772.94,     637.0,  55.3     ,5.3279e-004, 1.43,  0.19%,   2.16,   18610.8,  29,  ,1195547.125,,,Ac228,772.29,758.735,778.383,#00b9ff,,Linear
  786.33,     783.4,  63.7     ,6.5526e-004, 1.46,  0.19%,   2.61,   14628.6,  30,  ,1195547.125,,,Pa234m,786.25,776.35,793.966,,,Linear
  795.58,    2140.6,  78.9     ,1.7905e-003, 1.51,  0.19%,   0.94,   10137.9,  31,  ,1195547.125,,,Ac228,794.95,789.686,800.525,,,Linear
  836.33,     579.9,  54.2     ,4.8507e-004, 1.18,  0.14%,   7.21,   17842.6,  32,  ,1195547.125,,,Ac228,835.71,825.81,848.606,,,Linear
  840.62,     527.7,  76.6     ,4.4135e-004, 1.81,  0.22%,   9.92,   17274.9,  33,  ,1195547.125,,,Ac228,840.38,826.931,849.041,,,Linear
  861.17,    1928.1,  72.2     ,1.6127e-003, 1.45,  0.17%,   1.47,   13154.7,  34,  ,1195547.125,,,Tl208,860.56,850.878,867.14,,,Linear
  911.77,   11577.4,  124.4    ,9.6837e-003, 1.50,  0.16%,   0.58,   19421.9,  35,  ,1195547.125,,,Ac228,911.20,905.083,916.694,,,Linear
  934.41,     804.6,  62.7     ,6.7299e-004, 1.67,  0.18%,   2.73,   11727.1,  36,  ,1195547.125,,,Bi214,934.06,926.088,943.028,,,Linear
  950.31,     531.7,  85.1     ,4.4474e-004, 3.16,  0.33%,   1.37,   14162.9,  37,  ,1195547.125,,,K40 (S.E.),949.75,940.317,961.322,#cc3333,,Linear
  965.20,    1859.4,  118.6    ,1.5553e-003, 1.56,  0.16%,   1.17,    6993.8,  38,  ,1195547.125,,,Ac228,964.77,959.29,966.978,,,Linear
  969.47,    6580.4,  98.5     ,5.5041e-003, 1.51,  0.16%,  33.34,   24655.7,  39,  ,1195547.125,,,Ac228,968.97,954.509,979.418,,,Linear
 1001.65,     316.8,  56.2     ,2.6500e-004, 1.30,  0.13%,   1.21,    7926.8,  40,  ,1195547.125,,,Pa234m,1000.99,995.369,1007.68,,,Linear
 1120.69,    3896.6,  85.5     ,3.2592e-003, 1.75,  0.16%,   1.79,   40605.0,  41,  ,1195547.125,,,Bi214,1120.29,1114.32,1171.09,,,Linear
 1155.65,     433.1,  78.1     ,3.6226e-004, 1.91,  0.17%,   1.04,    9360.2,  42,  ,1195547.125,,,Bi214,1155.19,1148.69,1162.58,,,Linear
 1238.69,    1538.0,  80.1     ,1.2865e-003, 1.94,  0.16%,   0.95,   11173.5,  43,  ,1195547.125,,,Bi214,1238.11,1231.31,1245.09,,,Linear
 1281.39,     447.2,  69.4     ,3.7401e-004, 2.14,  0.17%,   1.41,    6600.6,  44,  ,1195547.125,,,Bi214,1280.96,1275.08,1287.56,,,Linear
 1378.38,     996.9,  54.2     ,8.3381e-004, 1.69,  0.12%,   1.07,    4399.3,  45,  ,1195547.125,,,Bi214,1377.67,1372.35,1383.36,,,Linear
 1408.95,     446.5,  43.8     ,3.7345e-004, 1.82,  0.13%,   3.28,    8678.9,  46,  ,1195547.125,,,Bi214,1407.98,1393.64,1421.67,,,Linear
 1461.65,   59888.7,  249.2    ,5.0093e-002, 1.90,  0.13%,   3.42,   63364.8,  47,  ,1195547.125,,,K40,1460.75,1454.51,1468.24,,,Linear
 1510.09,     454.7,  41.7     ,3.8030e-004, 1.82,  0.12%,   2.71,    4445.5,  48,  ,1195547.125,,,Bi214,1509.23,1501.7,1519.07,,,Linear
 1588.61,     876.6,  82.6     ,7.3321e-004, 1.82,  0.11%,   8.94,    4338.6,  49,  ,1195547.125,,,Ac228,1588.20,1584.15,1597.03,,,Quardratic
 1593.08,     657.6,  87.9     ,5.5008e-004, 1.90,  0.12%,   8.94,    4338.6,  50,  ,1195547.125,,,Tl208 (D.E.),1592.54,1584.15,1597.03,,,Quardratic
 1621.44,     495.3,  39.3     ,4.1425e-004, 1.84,  0.11%,   1.35,    3266.6,  51,  ,1195547.125,,,Bi212,1620.50,1613.29,1628.88,,,Linear
 1631.22,     474.6,  39.0     ,3.9700e-004, 1.73,  0.11%,   0.87,    2691.0,  52,  ,1195547.125,,,Ac228,1630.63,1625.07,1637.7,,,Linear
 1661.81,     210.7,  35.3     ,1.7621e-004, 2.07,  0.12%,   1.53,    3521.5,  53,  ,1195547.125,,,Bi214,1661.28,1651.26,1670.92,,,Linear
 1730.23,     702.8,  43.4     ,5.8785e-004, 1.97,  0.11%,   0.74,    2771.7,  54,  ,1195547.125,,,Bi214,1729.59,1723.11,1736.3,,,Linear
 1765.32,    3458.1,  67.8     ,2.8925e-003, 2.07,  0.12%,   0.90,    5597.9,  55,  ,1195547.125,,,Bi214,1764.49,1757.37,1772.1,,,Linear
 1848.15,     484.5,  36.9     ,4.0522e-004, 2.05,  0.11%,   1.67,    3651.4,  56,  ,1195547.125,,,Bi214,1847.42,1832.94,1855.99,,,Linear
 2104.05,    1250.7,  50.3     ,1.0462e-003, 3.22,  0.15%,   0.99,    3719.2,  57,  ,1195547.125,,,Tl208 (S.E.),2103.53,2092.62,2114.99,,,Linear
 2119.26,     341.0,  35.2     ,2.8524e-004, 2.66,  0.13%,   0.86,    2458.3,  58,  ,1195547.125,,,Bi214,2118.55,2108.89,2128.55,,,Linear
 2204.55,    1069.5,  43.9     ,8.9459e-004, 2.08,  0.09%,   0.53,    2963.8,  59,  ,1195547.125,,,Bi214,2204.21,2197.72,2214,,,Linear
 2448.43,     350.3,  33.9     ,2.9300e-004, 2.79,  0.11%,   0.98,    2772.4,  60,  ,1195547.125,,,Bi214,2447.86,2429.34,2458.13,,,Linear
 2615.43,    8883.6,  96.9     ,7.4306e-003, 2.54,  0.10%,   1.73,    9845.6,  61,  ,1195547.125,,,Tl208,2614.53,2605.31,2624.99,,,Linear
