Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   59.83,     971.3,  102.0    ,8.1240e-004, 0.75,  1.25%,   2.26,   81551.6,  1,  ,1195547.125,,,Am241,59.54,54.2815,67.8258,#006600,,Linear
   63.71,    1283.0,  141.9    ,1.0731e-003, 1.07,  1.67%,   2.26,   81551.6,  2,  ,1195547.125,,,Th234,63.29,54.2815,67.8258,,,Linear
   75.09,   12576.0,  176.1    ,1.0519e-002, 0.89,  1.19%,  49.70,  143197.3,  3,  ,1195547.125,,,Pb212 (x-ray),74.82,66.0935,83.0925,,,Linear
   77.31,   16233.0,  186.7    ,1.3578e-002, 0.91,  1.18%,  49.70,  143197.3,  4,  ,1195547.125,,,Pb212 (x-ray),77.11,66.0935,83.0925,,,Linear
   93.29,    7656.8,  223.4    ,6.4044e-003, 1.28,  1.37%,  99.02,   44762.7,  5,  ,1195547.125,,,Th234,92.80,90.847,96.1583,,,Constant
   99.66,    1522.5,  220.2    ,1.2734e-003, 1.41,  1.42%,   2.79,   44362.1,  6,  ,1195547.125,,,Ac228,99.51,95.7858,102.364,#00b9ff,,Linear
  105.66,    1468.9,  161.2    ,1.2286e-003, 1.22,  1.16%,   3.61,   99903.3,  7,  ,1195547.125,,,Ac228 (x-ray),105.60,100.333,114.554,#00b9ff,,Linear
  129.29,    2935.4,  156.9    ,2.4553e-003, 0.75,  0.58%,   2.88,   76991.4,  8,  ,1195547.125,,,Ac228,129.06,123.714,133.517,,,Linear
  154.23,    1237.1,  104.3    ,1.0347e-003, 0.41,  0.26%,   1.77,  106085.6,  9,  ,1195547.125,,,Ac228,153.98,147.322,161.047,,,Linear
  186.22,    6832.9,  181.8    ,5.7153e-003, 1.13,  0.61%,   3.53,   89908.1,  10,  ,1195547.125,,,Ra226,186.21,179.57,191.084,,,Linear
  209.48,    4443.7,  153.9    ,3.7169e-003, 0.96,  0.46%,  14.09,   69944.8,  11,  ,1195547.125,,,Ac228,209.25,205.307,215.465,#00b9ff,,Linear
  238.87,   48971.9,  261.4    ,4.0962e-002, 1.01,  0.42%,  128.24,  172798.5,  12,  ,1195547.125,,,Pb212,238.63,229.011,248.653,,,Linear
  241.88,   10842.2,  209.8    ,9.0688e-003, 1.78,  0.74%,  128.24,  172798.5,  13,  ,1195547.125,,,Pb214,242.00,229.011,248.653,,,Linear
  270.53,    4413.5,  159.5    ,3.6916e-003, 1.34,  0.50%,   2.26,   58759.4,  14,  ,1195547.125,,,Ac228,270.25,264.797,276.422,#00b9ff,,Linear
  295.47,   12704.2,  167.2    ,1.0626e-002, 1.10,  0.37%,  49.83,   52019.1,  15,  ,1195547.125,,,Pb214,295.24,289.968,299.45,#9933ff,,Linear
  300.33,    3123.1,  159.8    ,2.6122e-003, 1.06,  0.35%,  66.58,   19553.2,  16,  ,1195547.125,,,Pb212,300.09,298.096,302.16,,,Linear
  338.64,   10182.1,  155.0    ,8.5167e-003, 1.09,  0.32%,  46.94,   41691.0,  17,  ,1195547.125,,,Ac228,338.32,334.672,343.864,,,Linear
  352.28,   21756.5,  184.5    ,1.8198e-002, 1.12,  0.32%,  106.85,   56728.1,  18,  ,1195547.125,,,Pb214,351.93,346.628,357.466,,,Linear
  409.92,    1510.8,  108.2    ,1.2637e-003, 1.16,  0.28%,   4.12,   32937.7,  19,  ,1195547.125,,,Ac228,409.46,405.792,418.662,#00b9ff,,Linear
  439.40,     357.4,  121.1    ,2.9898e-004, 1.86,  0.42%,   1.00,   30600.0,  20,  ,1195547.125,,,K40 (D.E.),438.75,431.532,445.454,#cc3333,,Linear
  463.38,    3111.9,  110.7    ,2.6029e-003, 1.28,  0.28%,   7.65,   24817.0,  21,  ,1195547.125,,,Ac228,463.00,457.747,468.585,,,Linear
  511.43,   22183.6,  189.7    ,1.8555e-002, 2.35,  0.46%,  10.56,   55144.9,  22,  ,1195547.125,,,,,501.303,520.948,,,Linear
  583.47,   15194.9,  145.1    ,1.2710e-002, 1.26,  0.22%,  128.31,   30184.6,  23,  ,1195547.125,,,Tl208,583.19,577.811,588.65,,,Linear
