Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   63.49,     402.7,  98.5     ,6.8344e-004, 1.44,  2.27%,   1.32,   43279.0,  1,  ,589248.000,,,Th234,62.86,54.536,68.0868,#9933FF,,Linear
   75.55,    3838.8,  119.4    ,6.5148e-003, 1.49,  1.97%,  56.12,  127397.0,  2,  ,589248.000,,,Pb212 (x-ray),74.82,60.6338,92.4783,#830808,,Linear
   77.47,    4338.5,  124.9    ,7.3629e-003, 1.47,  1.90%,  56.12,  127397.0,  3,  ,589248.000,,,Pb212 (x-ray),77.11,60.6338,92.4783,#830808,,Linear
   93.27,    1961.6,  124.8    ,3.3290e-003, 1.16,  1.24%,  20.51,   42792.0,  4,  ,589248.000,,,Th234,92.80,88.4131,99.2538,#9933FF,,Linear
  129.44,     771.6,  82.1     ,1.3094e-003, 0.74,  0.57%,   1.22,   41458.5,  5,  ,589248.000,,,Ac228,129.06,124.001,133.809,#cc3333,,Linear
  154.43,     798.6,  177.6    ,1.3553e-003, 1.60,  1.03%,   1.51,   17010.0,  6,  ,589248.000,,,Ac228,153.98,152.781,156.846,#cc3333,,Linear
  186.34,    2976.8,  139.3    ,5.0519e-003, 1.25,  0.67%,   1.77,   46074.0,  7,  ,589248.000,,,Ra226,186.21,179.883,191.402,,,Linear
  209.63,    1764.3,  130.3    ,2.9941e-003, 1.17,  0.56%,   1.33,   36356.0,  8,  ,589248.000,,,Ac228,211.40,205.631,215.794,#cc3333,,Linear
  239.02,   19111.0,  168.5    ,3.2433e-002, 0.98,  0.41%,   6.56,   83404.0,  9,  ,589248.000,,,Pb212,238.63,229.346,248.996,#830808,,Linear
  242.02,    4674.7,  140.8    ,7.9333e-003, 1.69,  0.70%,   6.56,   83404.0,  10,  ,589248.000,,,Pb214,242.00,229.346,248.996,,,Linear
  270.56,    1820.5,  95.9     ,3.0896e-003, 1.45,  0.54%,   1.40,   30868.7,  11,  ,589248.000,,,,,265.147,276.777,,,Linear
  295.60,    6139.6,  119.4    ,1.0419e-002, 1.00,  0.34%,  18.25,   27151.0,  12,  ,589248.000,,,,,290.329,299.815,,,Linear
  300.44,    1783.0,  123.7    ,3.0259e-003, 1.59,  0.53%,   6.09,    9985.0,  13,  ,589248.000,,,Pb212,300.09,298.46,302.526,#830808,,Linear
