Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV
   59.86,     665.3,  86.5     ,1.1191e-003, 1.60,  2.67%,   4.03,   18003.0,  1,  ,594479.500,,,Np239,61.46,53.8585,63.344
   63.75,     212.6,  49.2     ,3.5755e-004, 0.50,  0.78%,   6.41,   26334.1,  2,  ,594479.500,,,Th234,63.29,54.536,68.0868
   75.14,    2714.3,  90.3     ,4.5659e-003, 0.87,  1.16%,  19.25,   78154.0,  3,  ,594479.500,,,Pb212,74.82,60.6338,92.4783
   77.38,    3249.1,  93.1     ,5.4655e-003, 0.85,  1.10%,  19.25,   78154.0,  4,  ,594479.500,,,Pb212,77.11,60.6338,92.4783
   93.30,    1419.9,  97.0     ,2.3885e-003, 1.13,  1.21%,  11.48,   26315.9,  5,  ,594479.500,,,Th234,92.80,88.4131,99.2538
  129.30,     514.6,  82.2     ,8.6570e-004, 0.67,  0.52%,   1.11,   25107.9,  6,  ,594479.500,,,Ac228,129.06,124.001,133.809
  154.55,     402.2,  118.5    ,6.7658e-004, 0.97,  0.63%,   0.06,   10171.1,  7,  ,594479.500,,,Ac228,153.98,152.781,156.846
  186.38,    2134.1,  105.3    ,3.5899e-003, 1.20,  0.65%,   0.83,   28010.7,  8,  ,594479.500,,,Ra226,186.21,179.883,191.402
  209.63,    1094.6,  95.2     ,1.8413e-003, 0.97,  0.46%,   0.40,   21718.8,  9,  ,594479.500,,,Ac228,211.40,205.631,215.794
  239.04,   12889.9,  135.7    ,2.1683e-002, 1.01,  0.42%,   2.57,   51133.2,  10,  ,594479.500,,,Pb212,238.63,229.346,248.996
  242.05,    3057.8,  105.0    ,5.1437e-003, 1.56,  0.64%,   2.57,   51133.2,  11,  ,594479.500,,,Pb214,242.00,229.346,248.996
  270.60,    1221.0,  86.3     ,2.0539e-003, 1.31,  0.48%,   0.87,   17948.2,  12,  ,594479.500,,,Ac228,270.25,265.147,276.777
  277.82,     682.7,  74.1     ,1.1483e-003, 1.60,  0.57%,   1.80,   21034.0,  13,  ,594479.500,,,Am239,277.60,273.389,288.296
  295.66,    4418.9,  98.1     ,7.4332e-003, 1.05,  0.35%,   0.95,   16665.5,  14,  ,594479.500,,,Pb214,295.24,290.329,299.815
  300.52,     840.5,  92.5     ,1.4138e-003, 1.03,  0.34%,   0.69,    6008.5,  15,  ,594479.500,,,Pb212,300.09,298.46,302.526
  328.53,     713.5,  68.3     ,1.2002e-003, 1.60,  0.49%,   2.19,   15742.0,  16,  ,594479.500,,,Np239,322.26,318.788,332.34
  334.45,    2423.5,  85.9     ,4.0766e-003, 1.60,  0.48%,  60.02,   11385.0,  17,  ,594479.500,,,Np239,334.31,329.63,337.761
  338.86,    2622.6,  80.8     ,4.4117e-003, 1.05,  0.31%,   3.48,   12232.7,  18,  ,594479.500,,,Ac228,338.32,335.051,344.247
  352.48,    7726.3,  107.2    ,1.2997e-002, 1.12,  0.32%,   1.11,   18151.6,  19,  ,594479.500,,,Pb214,351.93,347.012,357.854
  410.14,     375.3,  58.7     ,6.3135e-004, 1.22,  0.30%,   0.87,   10354.1,  20,  ,594479.500,,,Ac228,409.46,406.2,419.075
  439.49,     275.8,  50.0     ,4.6401e-004, 1.61,  0.37%,   0.39,    8881.5,  21,  ,594479.500,,,Np239,434.70,432.628,445.117
  463.60,     859.5,  59.7     ,1.4458e-003, 1.23,  0.26%,   0.41,    7742.8,  22,  ,594479.500,,,Ac228,463.00,458.175,469.017
  511.51,    5610.9,  100.6    ,9.4384e-003, 2.37,  0.46%,   2.39,   16256.0,  23,  ,594479.500,,,,,501.747,521.399
