Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV
   75.19,    4936.5,  120.0    ,9.3872e-003, 0.91,  1.21%,  32.36,  134531.1,  1,  ,525880.062,,,Pb212,74.82,60.6338,92.4783
   77.40,    5460.4,  122.0    ,1.0383e-002, 0.83,  1.08%,  32.36,  134531.1,  2,  ,525880.062,,,Pb212,77.11,60.6338,92.4783
   93.28,    2218.3,  128.3    ,4.2183e-003, 1.12,  1.20%,  20.48,   44946.9,  3,  ,525880.062,,,Th234,92.80,88.4131,99.2538
  129.33,     840.7,  108.1    ,1.5986e-003, 0.58,  0.45%,   1.28,   43053.4,  4,  ,525880.062,,,Ac228,129.06,124.001,133.809
  154.44,     667.4,  369.0    ,1.2691e-003, 1.53,  0.99%,   2.88,   17610.4,  5,  ,525880.062,,,Ac228,153.98,152.781,156.846
  186.37,    3301.0,  141.0    ,6.2770e-003, 1.31,  0.71%,   1.00,   47789.2,  6,  ,525880.062,,,Ra226,186.21,179.883,191.402
  209.71,    1994.9,  126.7    ,3.7934e-003, 1.03,  0.49%,   0.70,   37148.9,  7,  ,525880.062,,,Ac228,211.40,205.631,215.794
  239.05,   22039.6,  176.4    ,4.1910e-002, 0.98,  0.41%,   3.85,   87110.4,  8,  ,525880.062,,,Pb212,238.63,229.346,248.996
  242.10,    5470.3,  139.2    ,1.0402e-002, 1.59,  0.66%,   3.85,   87110.4,  9,  ,525880.062,,,Pb214,242.00,229.346,248.996
  270.67,    1736.3,  114.5    ,3.3016e-003, 1.34,  0.49%,   1.03,   30833.2,  10,  ,525880.062,,,Ac228,270.25,265.147,276.777
  277.79,    1163.1,  96.3     ,2.2118e-003, 1.60,  0.57%,   1.61,   36741.0,  11,  ,525880.062,,,Tl208,277.36,272.712,287.619
  295.66,    7796.0,  129.0    ,1.4825e-002, 1.04,  0.35%,   2.84,   28663.2,  12,  ,525880.062,,,Pb214,295.24,290.329,299.815
  300.56,    1621.4,  115.7    ,3.0832e-003, 0.98,  0.33%,   2.86,   10167.9,  13,  ,525880.062,,,Pb212,300.09,298.46,302.526
  328.47,    1321.4,  89.5     ,2.5128e-003, 1.60,  0.49%,   3.88,   20616.0,  14,  ,525880.062,,,Ac228,328.00,322.854,333.018
  334.49,    3642.3,  82.8     ,6.9260e-003, 0.36,  0.11%,  27.88,   19374.5,  15,  ,525880.062,,,,,329.63,337.761
  338.86,    4440.5,  96.0     ,8.4440e-003, 1.07,  0.31%,   1.91,   21128.8,  16,  ,525880.062,,,Ac228,338.32,335.051,344.247
  352.49,   13746.0,  141.4    ,2.6139e-002, 1.09,  0.31%,   0.77,   31453.2,  17,  ,525880.062,,,Pb214,351.93,347.012,357.854
  410.15,     625.6,  72.3     ,1.1896e-003, 1.00,  0.24%,   1.04,   17509.2,  18,  ,525880.062,,,,,406.2,419.075
  463.64,    1358.5,  75.2     ,2.5832e-003, 1.16,  0.25%,   0.93,   13350.6,  19,  ,525880.062,,,Ac228,463.00,458.175,469.017
  511.52,    9867.4,  133.2    ,1.8764e-002, 2.40,  0.47%,   3.82,   28324.5,  20,  ,525880.062,,,,,501.747,521.646
  583.80,    7391.0,  102.8    ,1.4054e-002, 1.23,  0.21%,   1.49,   15241.8,  21,  ,525880.062,,,Tl208,583.19,578.282,589.125
  609.97,   10269.5,  116.7    ,1.9528e-002, 1.31,  0.22%,   0.34,   17608.2,  22,  ,525880.062,,,Bi214,609.31,604.446,615.289
  662.41,   19210.0,  148.3    ,3.6529e-002, 1.34,  0.20%,   2.90,   30022.1,  23,  ,525880.062,,,Cs137,661.66,654.222,671.842
  728.08,    1669.3,  63.9     ,3.1743e-003, 1.32,  0.18%,   0.67,    7383.2,  24,  ,525880.062,,,Bi212,727.33,722.563,733.406
  769.19,    1015.2,  51.2     ,1.9304e-003, 1.57,  0.20%,   1.33,   11349.1,  25,  ,525880.062,,,Bi214,768.36,759.265,778.919
  772.84,     332.7,  43.4     ,6.3258e-004, 1.56,  0.20%,   1.33,   11349.1,  26,  ,525880.062,,,,,759.265,778.919
  786.48,     443.5,  46.5     ,8.4329e-004, 1.18,  0.15%,   1.20,    8895.1,  27,  ,525880.062,,,Pa234m,786.25,776.885,794.506
  795.79,     871.6,  58.2     ,1.6574e-003, 1.53,  0.19%,   0.74,    5989.4,  28,  ,525880.062,,,Ac228,794.95,790.225,801.067
  836.33,     281.7,  48.3     ,5.3574e-004, 1.37,  0.16%,   2.09,    6943.8,  29,  ,525880.062,,,Ac228,835.71,826.359,840.591
  841.01,     340.9,  65.0     ,6.4830e-004, 2.40,  0.29%,   2.17,    3074.2,  30,  ,525880.062,,,Ac228,840.38,838.558,844.658
  861.38,     886.5,  53.4     ,1.6858e-003, 1.40,  0.16%,   1.14,    8135.2,  31,  ,525880.062,,,Tl208,860.56,851.435,867.701
  911.98,    5357.6,  88.4     ,1.0188e-002, 1.54,  0.17%,   2.25,   10386.4,  32,  ,525880.062,,,Ac228,911.20,905.654,917.268
  934.95,     515.7,  60.9     ,9.8057e-004, 2.13,  0.23%,   0.99,    7681.1,  33,  ,525880.062,,,Bi214,934.06,926.665,943.609
  950.29,     567.8,  69.1     ,1.0798e-003, 2.73,  0.29%,   0.97,    8093.7,  34,  ,525880.062,,,Bi212,952.12,940.22,957.841
  965.44,     873.1,  72.8     ,1.6602e-003, 1.51,  0.16%,   0.38,    4246.6,  35,  ,525880.062,,,Ac228,964.77,959.875,967.565
  969.72,    2921.1,  78.1     ,5.5547e-003, 1.49,  0.15%,   5.09,    7144.4,  36,  ,525880.062,,,Ac228,968.97,965.975,974.956
 1002.06,     150.2,  29.8     ,2.8571e-004, 0.88,  0.09%,   1.11,    5287.8,  37,  ,525880.062,,,Pa234m,1000.99,995.963,1008.28
