Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   59.72,     841.3,  90.6     ,1.5998e-003, 0.74,  1.23%,   4.51,   38178.6,  1,  ,525880.062,,,,,54.1507,65.6837,,,Linear
   63.41,     545.9,  148.0    ,1.0380e-003, 1.29,  2.03%,  14.30,   15188.4,  2,  ,525880.062,,,Th234,63.29,61.0023,65.5084,#9933ff,,Linear
   75.14,    5022.3,  109.5    ,9.5503e-003, 0.91,  1.21%,  18.34,  101464.0,  3,  ,525880.062,,,Pb212 (x-ray),74.82,60.2658,84.8941,#830808,,Linear
   77.30,    5649.1,  113.6    ,1.0742e-002, 0.91,  1.18%,  18.34,  101464.0,  4,  ,525880.062,,,Pb212 (x-ray),77.11,60.2658,84.8941,#830808,,Linear
   90.10,     839.7,  99.2     ,1.5968e-003, 0.48,  0.53%,  42.75,  133468.7,  5,  ,525880.062,,,Bi214 (x-ray),89.81,79.4934,111.907,#006600,,Linear
   93.28,    1960.5,  129.4    ,3.7281e-003, 1.02,  1.09%,  21.80,   44215.0,  6,  ,525880.062,,,Th234,92.80,90.345,101.17,#9933ff,,Linear
  129.33,     844.4,  109.3    ,1.6057e-003, 0.58,  0.45%,   1.66,   42938.1,  7,  ,525880.062,,,Ac228,129.06,123.605,133.409,#cc3333,,Linear
  154.41,     656.9,  212.7    ,1.2491e-003, 1.53,  0.99%,   5.51,   17559.1,  8,  ,525880.062,,,Ac228,153.98,152.372,156.435,#cc3333,,Linear
  186.37,    3337.1,  144.4    ,6.3457e-003, 1.33,  0.71%,   1.10,   47759.5,  9,  ,525880.062,,,Ra226,186.21,179.462,190.976,,,Linear
  209.71,    1969.4,  123.4    ,3.7449e-003, 1.02,  0.49%,   0.87,   37235.7,  10,  ,525880.062,,,Ac228,209.25,205.199,215.357,#cc3333,,Linear
  239.05,   21995.8,  178.6    ,4.1827e-002, 0.98,  0.41%,   6.32,   74687.2,  11,  ,525880.062,,,Pb212,238.63,232.83,248.545,#830808,,Linear
  242.10,    5453.9,  124.0    ,1.0371e-002, 1.58,  0.65%,   6.32,   74687.2,  12,  ,525880.062,,,Pb214,242.00,232.83,248.545,,,Linear
  270.67,    1736.2,  114.5    ,3.3016e-003, 1.34,  0.49%,   1.22,   30938.7,  13,  ,525880.062,,,,,264.689,276.313,,,Linear
  277.76,     990.4,  93.6     ,1.8833e-003, 1.06,  0.38%,   1.21,   36740.7,  14,  ,525880.062,,,Tl208,277.36,272.712,287.619,,,Linear
  295.66,    7812.6,  137.6    ,1.4856e-002, 1.05,  0.35%,   2.85,   21552.5,  15,  ,525880.062,,,,,291.997,298.226,,,Linear
  300.56,    1621.5,  83.5     ,3.0833e-003, 0.98,  0.33%,   1.72,   11539.6,  16,  ,525880.062,,,Pb212,300.09,297.987,302.709,#830808,,Linear
  328.50,    1264.1,  102.2    ,2.4039e-003, 1.20,  0.37%,   1.10,   17171.1,  17,  ,525880.062,,,Ac228,328.00,322.854,331.209,,,Linear
  334.48,    3655.8,  84.4     ,6.9518e-003, 0.35,  0.11%,  73.51,   15362.8,  18,  ,525880.062,,,,,332.267,338.092,,,Linear
  338.87,    4313.0,  127.8    ,8.2016e-003, 1.04,  0.31%,   2.75,   19359.7,  19,  ,525880.062,,,Ac228,338.32,337.738,346.144,#cc3333,,Linear
  352.47,   13713.6,  141.6    ,2.6078e-002, 1.09,  0.31%,   2.57,   31523.7,  20,  ,525880.062,,,Pb214,351.93,346.517,357.355,,,Linear
  410.06,     636.0,  70.9     ,1.2095e-003, 1.06,  0.26%,   1.45,   17582.5,  21,  ,525880.062,,,,,405.679,418.548,,,Linear
  463.63,    1351.4,  75.5     ,2.5698e-003, 1.15,  0.25%,   1.08,   13385.0,  22,  ,525880.062,,,Ac228,463.00,457.631,468.468,#cc3333,,Linear
  511.46,    9868.1,  132.6    ,1.8765e-002, 2.40,  0.47%,   4.95,   28658.6,  23,  ,525880.062,,,,,501.184,521.433,,Annihilation,Linear
  583.79,    7343.2,  99.5     ,1.3964e-002, 1.23,  0.21%,   1.60,   18671.6,  24,  ,525880.062,,,Tl208,583.19,580.301,596.183,#00b9ff,,Linear
  609.97,   10286.0,  113.9    ,1.9560e-002, 1.32,  0.22%,   0.60,   28739.0,  25,  ,525880.062,,,Bi214,609.31,598.179,625.753,,,Linear
  662.40,   19260.4,  147.0    ,3.6625e-002, 1.34,  0.20%,   1.71,   50349.6,  26,  ,525880.062,,,Cs137,661.66,642.394,694.777,,,Linear
  728.02,    1673.8,  64.5     ,3.1829e-003, 1.33,  0.18%,   1.20,    7368.2,  27,  ,525880.062,,,Bi212,727.33,721.902,732.74,#ff66ff,,Linear
  769.17,     936.6,  57.9     ,1.7810e-003, 1.46,  0.19%,   3.91,   11366.6,  28,  ,525880.062,,,Bi214,768.36,758.588,778.233,#006600,,Linear
  772.76,     214.6,  52.5     ,4.0805e-004, 1.14,  0.15%,  18.45,   11349.1,  29,  ,525880.062,,,,,759.265,778.919,,,Linear
  786.48,     447.3,  46.9     ,8.5060e-004, 1.19,  0.15%,   1.32,    8867.7,  30,  ,525880.062,,,Pa234m,786.25,776.2,793.813,#ff6633,,Linear
  795.76,     880.3,  59.2     ,1.6739e-003, 1.54,  0.19%,   0.88,    5956.4,  31,  ,525880.062,,,Ac228,794.95,789.534,800.371,#cc3333,,Linear
  836.26,     298.4,  50.4     ,5.6742e-004, 1.40,  0.17%,   2.63,    6918.0,  32,  ,525880.062,,,Ac228,835.71,825.652,839.878,#cc3333,,Linear
  841.10,     182.1,  57.0     ,3.4623e-004, 1.27,  0.15%,   3.28,    3115.4,  33,  ,525880.062,,,Ac228,840.38,837.846,843.943,#cc3333,,Linear
  861.34,     888.4,  54.8     ,1.6894e-003, 1.42,  0.16%,   1.25,    8149.8,  34,  ,525880.062,,,Tl208,860.56,850.717,866.976,#00b9ff,,Linear
  911.91,    5318.1,  88.5     ,1.0113e-002, 1.53,  0.17%,   5.69,   10438.2,  35,  ,525880.062,,,Ac228,911.20,904.912,916.521,#cc3333,,Linear
  934.95,     496.9,  59.8     ,9.4497e-004, 2.06,  0.22%,   1.27,    7683.6,  36,  ,525880.062,,,Bi214,934.06,925.914,942.85,#006600,,Linear
  950.30,     578.7,  71.4     ,1.1005e-003, 2.77,  0.29%,   0.99,    8069.5,  37,  ,525880.062,,,,,939.463,957.076,,,Linear
  965.45,     893.0,  55.5     ,1.6980e-003, 1.53,  0.16%,   0.62,    4561.3,  38,  ,525880.062,,,Ac228,964.77,959.109,967.509,#cc3333,,Linear
  969.70,    3057.1,  70.2     ,5.8134e-003, 1.54,  0.16%,   7.26,   25249.2,  39,  ,525880.062,,,Ac228,968.97,953.077,1002.72,#cc3333,,Linear
 1002.03,     136.5,  37.0     ,2.5955e-004, 0.64,  0.06%,   1.55,    6874.2,  40,  ,525880.062,,,Pa234m,1000.99,995.894,1012.01,#ff6633,,Linear
 1120.93,    2201.6,  74.7     ,4.1865e-003, 1.60,  0.14%,   0.96,    9218.4,  41,  ,525880.062,,,Bi214,1120.29,1117.75,1132.55,,,Linear
 1155.94,     304.8,  51.7     ,5.7963e-004, 1.54,  0.13%,   1.31,    7481.2,  42,  ,525880.062,,,Bi214,1155.19,1147.73,1162.27,#006600,,Linear
 1238.87,     855.7,  66.9     ,1.6272e-003, 1.78,  0.14%,   1.76,    8773.9,  43,  ,525880.062,,,Bi214,1238.11,1231.06,1244.85,#006600,,Linear
 1281.72,     134.5,  30.9     ,2.5571e-004, 1.16,  0.09%,   0.69,    4637.1,  44,  ,525880.062,,,Bi214,1280.96,1274.82,1287.3,#006600,,Linear
 1378.61,     546.5,  42.4     ,1.0392e-003, 1.69,  0.12%,   1.13,    2572.5,  45,  ,525880.062,,,Bi214,1377.67,1372.07,1383.08,#006600,,Linear
 1386.52,     137.3,  33.7     ,2.6117e-004, 1.70,  0.12%,   1.08,    1837.9,  46,  ,525880.062,,,Bi214,1385.31,1380.87,1391.04,#006600,,Linear
 1402.45,     154.3,  37.5     ,2.9349e-004, 1.65,  0.12%,   0.80,    1736.0,  47,  ,525880.062,,,Bi214,1401.50,1395.56,1405.27,#006600,,Linear
 1409.25,     296.6,  31.3     ,5.6402e-004, 1.68,  0.12%,   0.88,    1435.2,  48,  ,525880.062,,,Bi214,1407.98,1405.59,1412.85,#006600,,Linear
