Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   63.18,      97.1,  38.9     ,1.1616e-003, 1.16,  1.84%,   2.41,    6120.4,  1,  ,83571.469,,,Th234,63.29,54.536,68.0868,#9933ff,,Linear
   75.23,     704.9,  53.2     ,8.4341e-003, 2.23,  2.97%,   7.63,   17931.5,  2,  ,83571.469,,,Pb212 (x-ray),74.82,60.6338,92.4783,#830808,,Linear
   77.16,     522.6,  37.5     ,6.2537e-003, 0.74,  0.95%,   7.63,   17931.5,  3,  ,83571.469,,,Pb212 (x-ray),77.11,60.6338,92.4783,#830808,,Linear
   93.02,     258.6,  44.8     ,3.0949e-003, 1.20,  1.30%,   3.84,    6099.6,  4,  ,83571.469,,,Th234,92.80,88.4131,99.2538,#9933ff,,Linear
  129.28,      78.0,  30.2     ,9.3278e-004, 0.37,  0.29%,   1.80,    5796.2,  5,  ,83571.469,,,Ac228,129.06,124.001,133.809,#cc3333,,Linear
  154.09,     102.8,  36.2     ,1.2306e-003, 0.80,  0.52%,   2.33,    2401.7,  6,  ,83571.469,,,Ac228,153.98,152.781,156.846,#cc3333,,Linear
  186.07,     357.2,  48.0     ,4.2746e-003, 1.14,  0.61%,   0.82,    6455.4,  7,  ,83571.469,,,Ra226,186.21,179.883,191.402,,,Linear
  209.38,     225.5,  29.5     ,2.6985e-003, 0.59,  0.28%,   1.11,    5077.1,  8,  ,83571.469,,,Ac228,209.25,205.631,215.794,#cc3333,,Linear
  238.81,    2426.2,  60.2     ,2.9032e-002, 0.94,  0.39%,  13.69,   11754.7,  9,  ,83571.469,,,Pb212,238.63,229.346,248.996,#830808,,Linear
  241.69,     615.8,  49.5     ,7.3690e-003, 1.63,  0.67%,  13.69,   11754.7,  10,  ,83571.469,,,Pb214,242.00,229.346,248.996,,,Linear
  270.25,     268.7,  41.3     ,3.2149e-003, 1.29,  0.48%,   1.82,    4377.5,  11,  ,83571.469,,,,,265.147,276.777,,,Linear
  295.39,     851.7,  45.8     ,1.0191e-002, 0.99,  0.34%,   9.48,    3901.0,  12,  ,83571.469,,,,,290.329,299.815,,,Linear
  300.10,     139.5,  28.8     ,1.6692e-003, 0.80,  0.26%,   3.03,    1372.3,  13,  ,83571.469,,,Pb212,300.09,298.46,302.526,#830808,,Linear
  334.25,     379.6,  32.4     ,4.5423e-003, 1.08,  0.32%,  50.89,    2837.9,  14,  ,83571.469,,,,,329.63,337.761,,,Linear
  338.60,     559.5,  41.0     ,6.6944e-003, 1.24,  0.37%,   3.66,    2838.9,  15,  ,83571.469,,,Ac228,338.32,335.051,344.247,#cc3333,,Linear
  352.20,    1603.4,  51.1     ,1.9186e-002, 1.20,  0.34%,   4.58,    4174.3,  16,  ,83571.469,,,Pb214,351.93,347.012,357.854,,,Linear
  409.88,      64.3,  31.1     ,7.6897e-004, 1.46,  0.36%,   1.86,    2507.9,  17,  ,83571.469,,,,,406.2,419.075,,,Linear
  463.31,     191.6,  35.7     ,2.2926e-003, 1.53,  0.33%,   1.77,    1898.4,  18,  ,83571.469,,,Ac228,463.00,458.175,469.017,#cc3333,,Linear
  511.13,    1526.0,  51.5     ,1.8259e-002, 2.45,  0.48%,   0.96,    4171.7,  19,  ,83571.469,,,,,501.747,522.005,,Annihilation,Linear
  583.44,     883.0,  36.1     ,1.0566e-002, 1.22,  0.21%,   2.65,    1950.7,  20,  ,83571.469,,,Tl208,583.19,578.282,589.125,#00b9ff,,Linear
  609.59,    1163.6,  40.3     ,1.3923e-002, 1.27,  0.21%,   2.99,    2232.4,  21,  ,83571.469,,,Bi214,609.31,604.446,615.289,,,Linear
  662.02,    2005.3,  48.8     ,2.3995e-002, 1.34,  0.20%,   3.59,    3569.1,  22,  ,83571.469,,,Cs137,661.66,654.222,671.842,,,Linear
  727.71,     186.2,  23.3     ,2.2286e-003, 1.43,  0.20%,   1.45,    1001.3,  23,  ,83571.469,,,Bi212,727.33,722.563,733.406,#ff66ff,,Linear
  768.76,      66.7,  16.8     ,7.9796e-004, 1.23,  0.16%,   1.66,    1512.5,  24,  ,83571.469,,,Bi214,768.36,759.265,778.919,#006600,,Linear
  786.25,      40.3,  12.3     ,4.8247e-004, 0.80,  0.10%,   1.40,    1273.8,  25,  ,83571.469,,,Pa234m,786.25,776.885,794.506,#ff6633,,Linear
  795.37,      98.5,  21.0     ,1.1784e-003, 1.44,  0.18%,   1.95,     861.4,  26,  ,83571.469,,,Ac228,794.95,790.225,801.067,#cc3333,,Linear
  836.01,      61.0,  18.2     ,7.3021e-004, 1.46,  0.17%,   0.99,    1015.0,  27,  ,83571.469,,,Ac228,835.71,826.359,840.591,#cc3333,,Linear
  840.82,      25.1,  17.8     ,3.0050e-004, 1.26,  0.15%,   3.38,     418.9,  28,  ,83571.469,,,Ac228,840.38,838.558,844.658,#cc3333,,Linear
  861.10,     109.1,  18.9     ,1.3056e-003, 1.36,  0.16%,   1.42,    1146.3,  29,  ,83571.469,,,Tl208,860.56,851.435,867.701,#00b9ff,,Linear
  911.53,     660.5,  32.5     ,7.9030e-003, 1.59,  0.17%,   1.16,    1417.7,  30,  ,83571.469,,,Ac228,911.20,905.654,917.268,#cc3333,,Linear
  934.44,     100.0,  21.3     ,1.1969e-003, 2.03,  0.22%,   1.77,    1087.7,  31,  ,83571.469,,,Bi214,934.06,926.665,943.609,#006600,,Linear
  949.37,      98.6,  26.0     ,1.1801e-003, 2.72,  0.29%,   1.54,    1074.5,  32,  ,83571.469,,,,,940.22,957.841,,,Linear
  965.04,      78.4,  14.9     ,9.3804e-004, 0.76,  0.08%,   1.39,     614.7,  33,  ,83571.469,,,Ac228,964.77,959.875,967.565,#cc3333,,Linear
  969.23,     355.9,  28.7     ,4.2584e-003, 1.55,  0.16%,   0.92,     941.4,  34,  ,83571.469,,,Ac228,968.97,965.975,974.956,#cc3333,,Linear
 1002.50,      22.3,  11.6     ,2.6684e-004, 0.88,  0.09%,   1.32,     825.5,  35,  ,83571.469,,,Pa234m,1000.99,995.963,1008.28,#ff6633,,Linear
 1120.41,     313.4,  27.7     ,3.7505e-003, 1.74,  0.16%,   1.04,    1121.8,  36,  ,83571.469,,,Bi214,1120.29,1114.94,1126.5,,,Linear
 1238.54,     108.7,  24.2     ,1.3004e-003, 1.99,  0.16%,   1.41,    1263.1,  37,  ,83571.469,,,Bi214,1238.11,1231.95,1245.74,#006600,,Linear
 1281.70,      49.2,  25.2     ,5.8862e-004, 2.58,  0.20%,   0.68,     698.6,  38,  ,83571.469,,,Bi214,1280.96,1275.73,1288.21,#006600,,Linear
 1378.21,      74.6,  18.0     ,8.9321e-004, 2.36,  0.17%,   0.41,     359.4,  39,  ,83571.469,,,Bi214,1377.67,1373.02,1384.03,#006600,,Linear
 1408.41,      43.3,  10.8     ,5.1798e-004, 1.19,  0.08%,   1.18,     302.6,  40,  ,83571.469,,,Bi214,1407.98,1402.49,1414.16,#006600,,Linear
 1461.21,    9337.6,  97.5     ,1.1173e-001, 1.88,  0.13%,   1.86,    9738.4,  41,  ,83571.469,,,K40,1460.75,1455.19,1476.61,,,Linear
 1509.75,      26.4,  9.9      ,3.1545e-004, 1.84,  0.12%,   1.09,     282.6,  42,  ,83571.469,,,Bi214,1509.23,1502.38,1519.76,,,Linear
 1588.58,      50.5,  11.1     ,6.0429e-004, 1.32,  0.08%,   1.72,     267.1,  43,  ,83571.469,,,Ac228,1588.20,1584.84,1597.72,,,Linear
 1593.05,      20.3,  10.2     ,2.4262e-004, 1.61,  0.10%,   1.72,     267.1,  44,  ,83571.469,,,Tl208 (D.E.),625.50,1584.84,1597.72,#00b9ff,,Linear
 1621.07,      33.9,  11.9     ,4.0533e-004, 1.85,  0.11%,   1.24,     235.0,  45,  ,83571.469,,,Bi212,1620.50,1613.99,1629.58,#ff66ff,,Linear
 1631.01,      30.4,  10.2     ,3.6339e-004, 2.07,  0.13%,   1.30,     178.2,  46,  ,83571.469,,,Ac228,1630.63,1625.77,1638.4,#cc3333,,Linear
 1662.46,      19.8,  10.0     ,2.3669e-004, 3.65,  0.22%,   0.63,     229.8,  47,  ,83571.469,,,Bi214,1661.28,1651.96,1671.62,,,Linear
 1729.98,      62.9,  11.2     ,7.5243e-004, 2.02,  0.12%,   1.44,     175.5,  48,  ,83571.469,,,Bi214,1729.59,1723.81,1737,,,Linear
 1764.98,     271.2,  18.2     ,3.2450e-003, 2.19,  0.12%,   2.35,     404.7,  49,  ,83571.469,,,Bi214,1764.49,1758.07,1772.81,,,Linear
 1847.67,      59.0,  12.6     ,7.0619e-004, 3.83,  0.21%,   0.80,     246.4,  50,  ,83571.469,,,Bi214,1847.42,1833.65,1856.7,,,Linear
 2103.63,      78.8,  11.9     ,9.4341e-004, 2.72,  0.13%,   1.00,     260.0,  51,  ,83571.469,,,Tl208 (S.E.),1233.00,2093.33,2115.7,,,Linear
 2118.89,      15.3,  6.8      ,1.8367e-004, 1.97,  0.09%,   1.09,     157.0,  52,  ,83571.469,,,Bi214,2118.55,2109.6,2129.26,,,Linear
 2204.04,     102.4,  13.1     ,1.2258e-003, 2.73,  0.12%,   1.46,     213.2,  53,  ,83571.469,,,Bi214,2204.21,2198.42,2214.7,,,Linear
 2448.20,      25.4,  7.0      ,3.0353e-004, 1.68,  0.07%,   1.48,     117.0,  54,  ,83571.469,,,Bi214,2447.86,2443.9,2458.81,,,Linear
 2615.05,     457.5,  22.0     ,5.4749e-003, 2.43,  0.09%,   3.90,     628.7,  55,  ,83571.469,,,Tl208,2614.53,2603.53,2625.64,,,Linear
