Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   59.49,    1432.1,  154.0    ,1.1979e-003, 1.53,  2.58%,   2.35,   69482.2,  1,  ,1195547.125,,,Am241,59.54,56.4406,67.8223,,,Linear
   63.44,    1518.5,  143.2    ,1.2701e-003, 1.45,  2.29%,   2.35,   69482.2,  2,  ,1195547.125,,,Th234,63.29,56.4406,67.8223,,,Linear
   74.90,   12721.2,  163.7    ,1.0640e-002, 0.91,  1.21%,  27.18,  143468.9,  3,  ,1195547.125,,,Pb212 (x-ray),74.82,66.09,83.0893,,,Linear
   77.13,   16144.3,  176.9    ,1.3504e-002, 0.87,  1.13%,  27.18,  143468.9,  4,  ,1195547.125,,,Pb212 (x-ray),77.11,66.09,83.0893,,,Linear
   93.01,    7713.3,  178.5    ,6.4517e-003, 1.29,  1.39%,  42.46,   44254.1,  5,  ,1195547.125,,,Th234,92.80,90.8439,96.1553,,,Constant
   99.35,    1506.1,  152.8    ,1.2597e-003, 1.44,  1.44%,   0.93,   44373.6,  6,  ,1195547.125,,,Ac228,99.51,95.7828,102.361,#00b9ff,,Linear
  105.34,    1797.6,  155.1    ,1.5036e-003, 1.59,  1.51%,   1.70,  100000.4,  7,  ,1195547.125,,,Ac228 (x-ray),105.60,100.33,114.552,#00b9ff,,Linear
  129.11,    3138.1,  153.5    ,2.6248e-003, 0.83,  0.65%,   0.69,   77108.7,  8,  ,1195547.125,,,Ac228,129.06,123.711,133.515,,,Linear
  154.06,    1365.3,  143.9    ,1.1420e-003, 0.81,  0.52%,   1.58,  106096.4,  9,  ,1195547.125,,,Ac228,153.98,147.32,161.045,,,Linear
  185.97,    6877.1,  177.9    ,5.7523e-003, 1.13,  0.61%,   1.28,   89876.9,  10,  ,1195547.125,,,Ra226,186.21,179.569,191.083,,,Linear
  209.30,    4490.3,  170.0    ,3.7559e-003, 0.84,  0.40%,   3.29,   69798.2,  11,  ,1195547.125,,,Ac228,209.25,205.306,215.465,#00b9ff,,Linear
  238.68,   51318.9,  259.2    ,4.2925e-002, 1.18,  0.49%,  19.77,  198858.1,  12,  ,1195547.125,,,Pb212,238.63,229.011,253.811,,,Linear
  241.60,    8381.4,  143.8    ,7.0105e-003, 1.20,  0.50%,  19.77,  198858.1,  13,  ,1195547.125,,,Pb214,242.00,229.011,253.811,,,Linear
  270.25,    4419.2,  159.8    ,3.6964e-003, 1.33,  0.49%,   1.28,   58745.6,  14,  ,1195547.125,,,Ac228,270.25,264.797,276.422,#00b9ff,,Linear
  277.46,    1995.9,  117.3    ,1.6694e-003, 1.26,  0.45%,   0.80,   49032.3,  15,  ,1195547.125,,,Tl208,277.36,272.483,282.884,,,Linear
  295.24,   13121.3,  171.2    ,1.0975e-002, 1.08,  0.36%,   3.01,   52257.1,  16,  ,1195547.125,,,Pb214,295.24,289.969,299.451,#9933FF,,Linear
  300.12,    3160.6,  162.8    ,2.6436e-003, 0.97,  0.32%,   2.68,   19544.9,  17,  ,1195547.125,,,Pb212,300.09,298.097,302.161,,,Linear
  328.06,    2323.5,  109.8    ,1.9435e-003, 1.13,  0.35%,   7.05,   32097.9,  18,  ,1195547.125,,,Ac228,328.00,322.631,330.756,,,Linear
