Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   74.99,    1205.8,  92.2     ,2.9187e-003, 3.36,  4.48%,   3.61,   29589.0,  1,  ,413117.250,,,,,50.4708,82.9927,,,Linear
   77.36,     136.7,  91.7     ,3.3098e-004, 3.36,  4.34%,   3.61,   29589.0,  2,  ,413117.250,,,,,50.4708,82.9927,,,Linear
   85.26,     540.9,  59.7     ,1.3094e-003, 1.09,  1.28%,   3.17,   19231.0,  3,  ,413117.250,,,,,76.8948,96.5436,,,Linear
  242.44,     405.1,  80.4     ,9.8069e-004, 1.36,  0.56%,   3.69,    6309.8,  4,  ,413117.250,,,Pb214,242.00,239.51,245.608,,,Linear
  295.59,     679.2,  62.6     ,1.6440e-003, 1.20,  0.41%,   1.71,    9120.3,  5,  ,413117.250,,,Pb214,295.24,290.129,300.97,,,Linear
  334.01,    1318.1,  59.4     ,3.1907e-003, 1.60,  0.48%,  30.55,   14269.0,  6,  ,413117.250,,,,,324.209,343.859,,,Linear
  352.43,    1079.4,  56.5     ,2.6128e-003, 1.19,  0.34%,   1.72,    7137.4,  7,  ,413117.250,,,Pb214,351.93,347.031,357.873,,,Linear
  511.63,    4819.9,  86.9     ,1.1667e-002, 2.71,  0.53%,   1.20,   10210.0,  8,  ,413117.250,,,,,501.747,521.399,,,Linear
  609.84,     832.3,  41.3     ,2.0147e-003, 1.33,  0.22%,   3.09,    2881.0,  9,  ,413117.250,,,Bi214,609.31,604.429,615.272,,,Linear
  769.08,      59.4,  20.9     ,1.4384e-004, 1.00,  0.13%,   0.85,    1796.2,  10,  ,413117.250,,,Bi214,768.36,764.244,778.476,#00b9ff,,Linear
  803.55,     171.0,  31.7     ,4.1404e-004, 1.61,  0.20%,   1.89,    1401.7,  11,  ,413117.250,,,Pb206m,803.06,798.157,809.001,,,Linear
  934.63,      43.4,  16.2     ,1.0498e-004, 1.16,  0.12%,   0.62,    1378.3,  12,  ,413117.250,,,Bi214,934.06,927.67,941.329,#00b9ff,,Linear
 1120.78,     173.2,  23.3     ,4.1936e-004, 1.59,  0.14%,   1.66,    1286.3,  13,  ,413117.250,,,Bi214,1120.29,1113.31,1127.76,,,Linear
 1238.63,     126.2,  38.8     ,3.0557e-004, 2.71,  0.22%,   0.84,    1101.8,  14,  ,413117.250,,,Bi214,1238.11,1230.51,1245.51,#00b9ff,,Linear
 1378.41,      47.9,  16.0     ,1.1602e-004, 1.21,  0.09%,   0.93,    1111.3,  15,  ,413117.250,,,Bi214,1377.67,1367.41,1387.06,#00b9ff,,Linear
 1408.73,      39.2,  13.2     ,9.4800e-005, 0.91,  0.06%,   1.52,    1254.5,  16,  ,413117.250,,,Bi214,1407.98,1393.97,1418.24,#00b9ff,,Linear
 1461.79,     595.1,  29.8     ,1.4405e-003, 1.91,  0.13%,   2.99,    1202.7,  17,  ,413117.250,,,K40,1460.75,1454.76,1468.48,,,Linear
 1510.02,      30.2,  17.2     ,7.3064e-005, 2.15,  0.14%,   0.76,     713.2,  18,  ,413117.250,,,Bi214,1509.23,1502.95,1517.86,#00b9ff,,Linear
 1593.56,      67.2,  25.6     ,1.6257e-004, 2.24,  0.14%,   1.03,     359.1,  19,  ,413117.250,,,Tl208 (D.E.),1592.54,1590.26,1597.72,,,Linear
 1662.46,      37.7,  13.0     ,9.1197e-005, 1.88,  0.11%,   1.31,     555.0,  20,  ,413117.250,,,Bi214,1661.28,1654.99,1669.98,#00b9ff,,Linear
 1730.55,      76.7,  16.0     ,1.8557e-004, 1.52,  0.09%,   1.26,     638.1,  21,  ,413117.250,,,Bi214,1729.59,1721.78,1738.73,,,Linear
 1765.28,     300.0,  22.0     ,7.2614e-004, 1.88,  0.11%,   3.58,     986.0,  22,  ,413117.250,,,Bi214,1764.49,1755.68,1775.34,,,Linear
 1848.30,      42.1,  12.2     ,1.0183e-004, 0.96,  0.05%,   1.91,     328.9,  23,  ,413117.250,,,Bi214,1847.42,1844.5,1853.99,,,Linear
 2105.19,     105.3,  18.7     ,2.5482e-004, 2.90,  0.14%,   0.61,     461.5,  24,  ,413117.250,,,Tl208 (S.E.),2103.53,2092.65,2108.81,,,Linear
 2118.55,      43.5,  12.1     ,1.0539e-004, 1.93,  0.09%,   1.30,     211.5,  25,  ,413117.250,,,Bi214,2118.55,2115.17,2123.74,#00b9ff,,Linear
 2204.74,     136.2,  19.8     ,3.2972e-004, 2.79,  0.13%,   0.84,     414.7,  26,  ,413117.250,,,Bi214,2204.21,2198.17,2211.04,,,Linear
 2448.07,      26.5,  12.8     ,6.4187e-005, 3.67,  0.15%,   1.00,     325.9,  27,  ,413117.250,,,Bi214,2447.86,2438.19,2455.6,#00b9ff,,Linear
 2615.40,     661.0,  27.3     ,1.6001e-003, 2.34,  0.09%,   6.01,    1066.6,  28,  ,413117.250,,,Tl208,2614.53,2604.82,2627.67,,,Linear
