Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   59.84,     867.4,  93.5     ,1.6494e-003, 0.54,  0.90%,   1.36,   45178.8,  1,  ,525880.062,,,Am241,59.54,54.2815,67.8258,#006600,,Linear
   63.77,     467.9,  97.9     ,8.8984e-004, 0.96,  1.50%,   1.36,   45178.8,  2,  ,525880.062,,,Th234,63.29,54.2815,67.8258,,,Linear
   75.19,    5221.5,  124.4    ,9.9291e-003, 0.94,  1.26%,  13.28,   73836.1,  3,  ,525880.062,,,Pb212 (x-ray),74.82,66.0935,83.0925,,,Linear
   77.39,    5876.5,  128.2    ,1.1175e-002, 0.89,  1.15%,  13.28,   73836.1,  4,  ,525880.062,,,Pb212 (x-ray),77.11,66.0935,83.0925,,,Linear
   93.26,    2643.2,  163.2    ,5.0263e-003, 1.28,  1.37%,  15.56,   22829.1,  5,  ,525880.062,,,Th234,92.80,90.847,96.1583,,,Constant
   99.67,     358.5,  115.3    ,6.8181e-004, 0.83,  0.83%,   1.04,   24984.4,  6,  ,525880.062,,,Ac228,99.51,95.7858,102.364,#00b9ff,,Linear
  105.48,     396.2,  143.9    ,7.5345e-004, 1.70,  1.61%,   1.96,   56345.6,  7,  ,525880.062,,,Ac228 (x-ray),105.60,100.333,114.554,#00b9ff,,Linear
  129.33,     838.0,  109.3    ,1.5936e-003, 0.58,  0.45%,   1.75,   42961.9,  8,  ,525880.062,,,Ac228,129.06,123.714,133.517,,,Linear
  154.51,     469.4,  100.2    ,8.9268e-004, 1.21,  0.79%,   1.14,   58515.5,  9,  ,525880.062,,,Ac228,153.98,147.322,161.047,,,Linear
  186.37,    3337.0,  144.4    ,6.3455e-003, 1.33,  0.71%,   1.10,   47762.7,  10,  ,525880.062,,,Ra226,186.21,179.57,191.084,,,Linear
  209.71,    1969.5,  123.4    ,3.7452e-003, 1.02,  0.49%,   0.87,   37210.2,  11,  ,525880.062,,,Ac228,209.25,205.307,215.465,#00b9ff,,Linear
  239.05,   22047.4,  176.6    ,4.1925e-002, 0.98,  0.41%,   4.77,   87275.2,  12,  ,525880.062,,,Pb212,238.63,229.011,248.653,,,Linear
  242.10,    5489.4,  140.9    ,1.0438e-002, 1.59,  0.66%,   4.77,   87275.2,  13,  ,525880.062,,,Pb214,242.00,229.011,248.653,,,Linear
  270.67,    1736.4,  114.5    ,3.3020e-003, 1.34,  0.49%,   1.22,   30912.7,  14,  ,525880.062,,,Ac228,270.25,264.797,276.422,#00b9ff,,Linear
  277.75,     998.9,  94.5     ,1.8996e-003, 1.07,  0.38%,   1.23,   26208.6,  15,  ,525880.062,,,Tl208,277.36,272.712,283.138,#9933ff,,Linear
  295.66,    7783.2,  128.6    ,1.4800e-002, 1.04,  0.35%,   3.46,   28679.4,  16,  ,525880.062,,,Pb214,295.24,289.968,299.45,#9933ff,,Linear
  300.55,    1580.3,  108.7    ,3.0051e-003, 0.95,  0.32%,   2.60,   16675.0,  17,  ,525880.062,,,Pb212,300.09,298.096,305.211,,,Linear
  328.50,    1205.7,  91.5     ,2.2927e-003, 1.16,  0.35%,   1.60,   27336.0,  18,  ,525880.062,,,Ac228,328.00,318.788,332.34,#00b9ff,,Linear
  338.86,    4406.7,  97.4     ,8.3796e-003, 1.06,  0.31%,   1.95,   19180.9,  19,  ,525880.062,,,Ac228,338.32,335.755,343.864,,,Linear
  352.49,   13745.8,  141.4    ,2.6139e-002, 1.09,  0.31%,   0.92,   31505.1,  20,  ,525880.062,,,Pb214,351.93,346.628,357.466,,,Linear
  410.15,     625.7,  72.3     ,1.1898e-003, 1.00,  0.24%,   1.27,   17566.8,  21,  ,525880.062,,,Ac228,409.46,405.792,418.662,#00b9ff,,Linear
  439.27,     335.6,  70.8     ,6.3820e-004, 1.02,  0.23%,   1.50,   16742.4,  22,  ,525880.062,,,K40 (D.E.),438.75,431.532,445.454,#cc3333,,Linear
  463.64,    1358.5,  75.2     ,2.5833e-003, 1.16,  0.25%,   1.12,   13380.1,  23,  ,525880.062,,,Ac228,463.00,457.747,468.585,,,Linear
  511.52,    9873.0,  133.1    ,1.8774e-002, 2.40,  0.47%,   4.22,   28130.4,  24,  ,525880.062,,,,,501.303,520.948,,,Linear
  583.80,    7391.0,  102.8    ,1.4054e-002, 1.23,  0.21%,   1.78,   15257.8,  25,  ,525880.062,,,Tl208,583.19,577.811,588.65,,,Linear
  609.97,   10269.6,  117.1    ,1.9528e-002, 1.31,  0.22%,   0.41,   17618.9,  26,  ,525880.062,,,Bi214,609.31,603.966,614.805,,,Linear
  662.41,   19219.4,  148.2    ,3.6547e-002, 1.34,  0.20%,   3.27,   30027.9,  27,  ,525880.062,,,Cs137,661.66,653.725,671.34,,,Linear
  666.38,      52.5,  34.8     ,9.9763e-005, 0.71,  0.11%,  908.05,   29765.2,  28,  ,525880.062,,,Bi214,665.45,653.725,670.878,#9933ff,,Linear
  728.08,    1669.3,  63.9     ,3.1744e-003, 1.32,  0.18%,   0.81,    7368.7,  29,  ,525880.062,,,Bi212,727.33,722.044,732.884,,,Linear
  756.18,     165.7,  54.4     ,3.1502e-004, 1.79,  0.24%,   0.75,    7117.3,  30,  ,525880.062,,,Ac228,755.32,748.97,762.8,,,Linear
