Start Time, Tue Nov 21 2023 12:03:28 GMT+0000 (GMT)
Energy calibration,  Offset: -0.3439140022, Slope: 0.6775230169, Quadratic: 8.387880257e-8
Live Time (s), 512932.82
Real Time (s), 514862.41
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.3336091824576052, 99
2, 1.0111325348728155, 46944
3, 1.688656055045631, 29579
4, 2.3661797429760516, 3841
5, 3.0437035986640772, 1070
6, 3.7212276221097085, 2762
7, 4.398751813312944, 3195
8, 5.0762761722737855, 3755
9, 5.753800698992232, 3750
10, 6.431325393468283, 3664
11, 7.10885025570194, 3759
12, 7.786375285693202, 3817
13, 8.46390048344207, 4795
14, 9.14142584894854, 13397
15, 9.818951382212617, 8537
16, 10.4964770832343, 4085
17, 11.174002952013588, 2114
18, 11.85152898855048, 1556
19, 12.529055192844977, 1066
20, 13.20658156489708, 954
21, 13.884108104706788, 916
22, 14.561634812274102, 868
23, 15.23916168759902, 810
24, 15.916688730681544, 789
25, 16.594215941521675, 753
26, 17.271743320119405, 722
27, 17.94927086647474, 696
28, 18.62679858058769, 711
29, 19.304326462458235, 742
30, 19.981854512086393, 663
31, 20.65938272947215, 657
32, 21.336911114615518, 703
33, 22.014439667516484, 680
34, 22.691968388175063, 627
35, 23.36949727659124, 638
36, 24.04702633276503, 609
37, 24.724555556696416, 627
38, 25.402084948385408, 572
39, 26.079614507832012, 549
40, 26.757144235036215, 544
41, 27.43467412999803, 536
42, 28.112204192717442, 568
43, 28.789734423194467, 468
44, 29.46726482142909, 587
45, 30.144795387421325, 527
46, 30.82232612117116, 533
47, 31.499857022678604, 529
48, 32.17738809194365, 537
49, 32.8549193289663, 534
50, 33.53245073374656, 487
51, 34.20998230628442, 555
52, 34.88751404657989, 473
53, 35.56504595463296, 492
54, 36.24257803044363, 490
55, 36.92011027401192, 498
56, 37.5976426853378, 487
57, 38.2751752644213, 499
58, 38.952708011262395, 492
59, 39.6302409258611, 498
60, 40.30777400821741, 484
61, 40.985307258331325, 503
62, 41.66284067620284, 440
63, 42.34037426183197, 471
64, 43.017908015218694, 459
65, 43.695441936363025, 457
66, 44.37297602526497, 416
67, 45.05051028192451, 480
68, 45.72804470634166, 477
69, 46.405579298516415, 465
70, 47.08311405844878, 434
71, 47.76064898613874, 432
72, 48.438184081586314, 421
73, 49.115719344791486, 462
74, 49.79325477575427, 469
75, 50.47079037447465, 466
76, 51.14832614095264, 494
77, 51.82586207518824, 438
78, 52.50339817718144, 439
79, 53.18093444693225, 486
80, 53.858470884440656, 504
81, 54.53600748970668, 444
82, 55.213544262730295, 442
83, 55.891081203511526, 471
84, 56.568618312050354, 441
85, 57.246155588346795, 449
86, 57.923693032400834, 423
87, 58.60123064421248, 456
88, 59.278768423781734, 530
89, 59.95630637110859, 520
90, 60.633844486193055, 486
91, 61.31138276903512, 458
92, 61.9889212196348, 461
93, 62.66645983799207, 512
94, 63.34399862410696, 533
95, 64.02153757797946, 482
96, 64.69907669960955, 458
97, 65.37661598899724, 472
98, 66.05415544614254, 496
99, 66.73169507104545, 502
100, 67.40923486370598, 488
101, 68.08677482412409, 531
102, 68.76431495229981, 501
103, 69.44185524823314, 522
104, 70.11939571192408, 503
105, 70.79693634337262, 533
106, 71.47447714257876, 564
107, 72.15201810954251, 628
108, 72.82955924426386, 710
109, 73.50710054674283, 548
110, 74.1846420169794, 872
111, 74.86218365497356, 1521
112, 75.53972546072534, 776
113, 76.21726743423473, 682
114, 76.89480957550171, 1841
115, 77.5723518845263, 1280
116, 78.24989436130849, 563
117, 78.9274370058483, 527
118, 79.60497981814571, 540
119, 80.28252279820072, 514
120, 80.96006594601333, 569
121, 81.63760926158355, 576
122, 82.31515274491139, 535
123, 82.99269639599682, 554
124, 83.67024021483985, 744
125, 84.34778420144049, 780
126, 85.02532835579875, 732
127, 85.7028726779146, 585
128, 86.38041716778805, 680
129, 87.05796182541911, 1103
130, 87.73550665080778, 881
131, 88.41305164395406, 586
132, 89.09059680485794, 621
133, 89.76814213351942, 927
134, 90.4456876299385, 750
135, 91.12323329411521, 512
136, 91.8007791260495, 594
137, 92.4783251257414, 892
138, 93.15587129319091, 985
139, 93.83341762839802, 735
140, 94.51096413136275, 556
141, 95.18851080208508, 542
142, 95.866057640565, 512
143, 96.54360464680254, 435
144, 97.22115182079769, 498
145, 97.89869916255043, 530
146, 98.57624667206078, 525
147, 99.25379434932873, 631
148, 99.9313421943543, 543
149, 100.60889020713746, 543
150, 101.28643838767823, 498
151, 101.9639867359766, 545
152, 102.64153525203258, 533
153, 103.31908393584618, 507
154, 103.99663278741737, 518
155, 104.67418180674616, 587
156, 105.35173099383256, 629
157, 106.02928034867658, 580
158, 106.70682987127819, 529
159, 107.3843795616374, 540
160, 108.06192941975422, 582
161, 108.73947944562865, 631
162, 109.41702963926069, 608
163, 110.09458000065032, 525
164, 110.77213052979756, 494
165, 111.44968122670241, 512
166, 112.12723209136487, 541
167, 112.80478312378493, 553
168, 113.48233432396259, 540
169, 114.15988569189786, 581
170, 114.83743722759074, 636
171, 115.51498893104119, 612
172, 116.19254080224928, 523
173, 116.87009284121497, 549
174, 117.54764504793826, 537
175, 118.22519742241916, 562
176, 118.90274996465766, 558
177, 119.58030267465378, 595
178, 120.25785555240749, 586
179, 120.93540859791881, 560
180, 121.61296181118773, 585
181, 122.29051519221427, 601
182, 122.9680687409984, 525
183, 123.64562245754014, 569
184, 124.32317634183948, 558
185, 125.00073039389643, 619
186, 125.678284613711, 573
187, 126.35583900128316, 572
188, 127.03339355661292, 591
189, 127.71094827970029, 591
190, 128.38850317054528, 657
191, 129.06605822914784, 839
192, 129.74361345550804, 633
193, 130.42116884962584, 586
194, 131.09872441150122, 589
195, 131.77628014113424, 572
196, 132.45383603852483, 585
197, 133.13139210367305, 592
198, 133.80894833657888, 588
199, 134.48650473724229, 572
200, 135.16406130566332, 636
201, 135.84161804184194, 637
202, 136.5191749457782, 595
203, 137.19673201747204, 569
204, 137.87428925692348, 611
205, 138.55184666413254, 610
206, 139.2294042390992, 574
207, 139.90696198182346, 591
208, 140.58451989230534, 559
209, 141.2620779705448, 631
210, 141.93963621654189, 591
211, 142.61719463029658, 589
212, 143.29475321180885, 649
213, 143.97231196107876, 736
214, 144.64987087810624, 600
215, 145.32742996289136, 615
216, 146.00498921543408, 639
217, 146.68254863573438, 569
218, 147.3601082237923, 570
219, 148.03766797960782, 595
220, 148.71522790318096, 587
221, 149.3927879945117, 584
222, 150.07034825360003, 591
223, 150.747908680446, 580
224, 151.42546927504952, 599
225, 152.1030300374107, 551
226, 152.78059096752946, 576
227, 153.4581520654058, 599
228, 154.1357133310398, 741
229, 154.81327476443138, 633
230, 155.49083636558055, 593
231, 156.16839813448735, 603
232, 156.84596007115172, 594
233, 157.52352217557373, 567
234, 158.20108444775335, 558
235, 158.87864688769054, 592
236, 159.55620949538536, 563
237, 160.23377227083776, 581
238, 160.9113352140478, 582
239, 161.58889832501544, 599
240, 162.26646160374065, 591
241, 162.9440250502235, 589
242, 163.62158866446393, 622
243, 164.299152446462, 524
244, 164.97671639621765, 570
245, 165.6542805137309, 581
246, 166.33184479900177, 610
247, 167.00940925203025, 610
248, 167.6869738728163, 579
249, 168.36453866136, 584
250, 169.04210361766127, 560
251, 169.71966874172017, 591
252, 170.39723403353668, 576
253, 171.07479949311076, 574
254, 171.75236512044248, 568
255, 172.42993091553177, 532
256, 173.1074968783787, 571
257, 173.78506300898323, 557
258, 174.46262930734534, 536
259, 175.14019577346508, 585
260, 175.8177624073424, 588
261, 176.49532920897735, 538
262, 177.1728961783699, 552
263, 177.85046331552005, 517
264, 178.5280306204278, 570
265, 179.20559809309316, 545
266, 179.88316573351614, 553
267, 180.56073354169672, 519
268, 181.23830151763488, 554
269, 181.91586966133067, 575
270, 182.59343797278407, 548
271, 183.27100645199505, 557
272, 183.94857509896366, 536
273, 184.62614391368984, 538
274, 185.30371289617366, 781
275, 185.9812820464151, 1060
276, 186.6588513644141, 793
277, 187.33642085017073, 576
278, 188.01399050368494, 583
279, 188.69156032495678, 576
280, 189.36913031398623, 512
281, 190.04670047077326, 553
282, 190.72427079531792, 560
283, 191.40184128762016, 534
284, 192.07941194768003, 517
285, 192.7569827754975, 572
286, 193.43455377107256, 521
287, 194.11212493440524, 505
288, 194.78969626549554, 575
289, 195.4672677643434, 547
290, 196.1448394309489, 539
291, 196.82241126531198, 549
292, 197.4999832674327, 520
293, 198.177555437311, 553
294, 198.8551277749469, 565
295, 199.53270028034044, 536
296, 200.21027295349154, 555
297, 200.88784579440028, 493
298, 201.56541880306662, 465
299, 202.24299197949054, 552
300, 202.9205653236721, 503
301, 203.59813883561122, 510
302, 204.275712515308, 541
303, 204.95328636276236, 509
304, 205.6308603779743, 521
305, 206.30843456094388, 547
306, 206.98600891167104, 487
307, 207.66358343015582, 437
308, 208.34115811639822, 557
309, 209.0187329703982, 795
310, 209.6963079921558, 790
311, 210.373883181671, 524
312, 211.0514585389438, 506
313, 211.7290340639742, 461
314, 212.4066097567622, 496
315, 213.08418561730784, 498
316, 213.76176164561107, 460
317, 214.4393378416719, 496
