Start Time, Mon Oct 16 2023 10:14:18 GMT+0100 (BST)
Energy calibration,  Offset: -0.3439140022, Slope: 0.6775230169, Quadratic: 8.387880257e-8
Live Time (s), 353069.86
Real Time (s), 354394.61
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.3336091824576052, 4
2, 1.0111325348728155, 10372
3, 1.688656055045631, 16753
4, 2.3661797429760516, 2129
5, 3.0437035986640772, 767
6, 3.7212276221097085, 1846
7, 4.398751813312944, 2626
8, 5.0762761722737855, 3528
9, 5.753800698992232, 4033
10, 6.431325393468283, 4105
11, 7.10885025570194, 3910
12, 7.786375285693202, 3937
13, 8.46390048344207, 5895
14, 9.14142584894854, 18792
15, 9.818951382212617, 10716
16, 10.4964770832343, 4516
17, 11.174002952013588, 2060
18, 11.85152898855048, 1400
19, 12.529055192844977, 724
20, 13.20658156489708, 681
21, 13.884108104706788, 610
22, 14.561634812274102, 547
23, 15.23916168759902, 505
24, 15.916688730681544, 437
25, 16.594215941521675, 473
26, 17.271743320119405, 469
27, 17.94927086647474, 457
28, 18.62679858058769, 472
29, 19.304326462458235, 416
30, 19.981854512086393, 434
31, 20.65938272947215, 404
32, 21.336911114615518, 412
33, 22.014439667516484, 405
34, 22.691968388175063, 431
35, 23.36949727659124, 387
36, 24.04702633276503, 394
37, 24.724555556696416, 359
38, 25.402084948385408, 372
39, 26.079614507832012, 356
40, 26.757144235036215, 355
41, 27.43467412999803, 344
42, 28.112204192717442, 346
43, 28.789734423194467, 340
44, 29.46726482142909, 399
45, 30.144795387421325, 347
46, 30.82232612117116, 344
47, 31.499857022678604, 350
48, 32.17738809194365, 289
49, 32.8549193289663, 307
50, 33.53245073374656, 356
51, 34.20998230628442, 273
52, 34.88751404657989, 320
53, 35.56504595463296, 323
54, 36.24257803044363, 316
55, 36.92011027401192, 310
56, 37.5976426853378, 279
57, 38.2751752644213, 319
58, 38.952708011262395, 267
59, 39.6302409258611, 273
60, 40.30777400821741, 299
61, 40.985307258331325, 305
62, 41.66284067620284, 310
63, 42.34037426183197, 321
64, 43.017908015218694, 283
65, 43.695441936363025, 276
66, 44.37297602526497, 298
67, 45.05051028192451, 293
68, 45.72804470634166, 300
69, 46.405579298516415, 301
70, 47.08311405844878, 302
71, 47.76064898613874, 293
72, 48.438184081586314, 292
73, 49.115719344791486, 300
74, 49.79325477575427, 303
75, 50.47079037447465, 265
76, 51.14832614095264, 268
77, 51.82586207518824, 271
78, 52.50339817718144, 259
79, 53.18093444693225, 286
80, 53.858470884440656, 343
81, 54.53600748970668, 269
82, 55.213544262730295, 284
83, 55.891081203511526, 264
84, 56.568618312050354, 261
85, 57.246155588346795, 298
86, 57.923693032400834, 253
87, 58.60123064421248, 281
88, 59.278768423781734, 262
89, 59.95630637110859, 306
90, 60.633844486193055, 292
91, 61.31138276903512, 273
92, 61.9889212196348, 286
93, 62.66645983799207, 271
94, 63.34399862410696, 298
95, 64.02153757797946, 320
96, 64.69907669960955, 283
97, 65.37661598899724, 285
98, 66.05415544614254, 271
99, 66.73169507104545, 279
100, 67.40923486370598, 258
101, 68.08677482412409, 229
102, 68.76431495229981, 299
103, 69.44185524823314, 301
104, 70.11939571192408, 314
105, 70.79693634337262, 280
106, 71.47447714257876, 259
107, 72.15201810954251, 350
108, 72.82955924426386, 371
109, 73.50710054674283, 345
110, 74.1846420169794, 331
111, 74.86218365497356, 515
112, 75.53972546072534, 332
113, 76.21726743423473, 299
114, 76.89480957550171, 310
115, 77.5723518845263, 300
116, 78.24989436130849, 313
117, 78.9274370058483, 309
118, 79.60497981814571, 324
119, 80.28252279820072, 305
120, 80.96006594601333, 298
121, 81.63760926158355, 275
122, 82.31515274491139, 303
123, 82.99269639599682, 320
124, 83.67024021483985, 319
125, 84.34778420144049, 363
126, 85.02532835579875, 445
127, 85.7028726779146, 354
128, 86.38041716778805, 297
129, 87.05796182541911, 402
130, 87.73550665080778, 361
131, 88.41305164395406, 336
132, 89.09059680485794, 285
133, 89.76814213351942, 339
134, 90.4456876299385, 316
135, 91.12323329411521, 368
136, 91.8007791260495, 310
137, 92.4783251257414, 328
138, 93.15587129319091, 300
139, 93.83341762839802, 301
140, 94.51096413136275, 348
141, 95.18851080208508, 317
142, 95.866057640565, 361
143, 96.54360464680254, 344
144, 97.22115182079769, 302
145, 97.89869916255043, 320
146, 98.57624667206078, 327
147, 99.25379434932873, 340
148, 99.9313421943543, 356
149, 100.60889020713746, 384
150, 101.28643838767823, 330
151, 101.9639867359766, 362
152, 102.64153525203258, 353
153, 103.31908393584618, 343
154, 103.99663278741737, 362
155, 104.67418180674616, 347
156, 105.35173099383256, 389
157, 106.02928034867658, 328
158, 106.70682987127819, 383
159, 107.3843795616374, 352
160, 108.06192941975422, 359
161, 108.73947944562865, 383
162, 109.41702963926069, 401
163, 110.09458000065032, 348
164, 110.77213052979756, 390
165, 111.44968122670241, 415
166, 112.12723209136487, 394
167, 112.80478312378493, 342
168, 113.48233432396259, 371
169, 114.15988569189786, 417
170, 114.83743722759074, 349
171, 115.51498893104119, 407
172, 116.19254080224928, 394
173, 116.87009284121497, 413
174, 117.54764504793826, 409
175, 118.22519742241916, 391
176, 118.90274996465766, 391
177, 119.58030267465378, 413
178, 120.25785555240749, 420
179, 120.93540859791881, 408
180, 121.61296181118773, 437
181, 122.29051519221427, 433
182, 122.9680687409984, 417
183, 123.64562245754014, 414
184, 124.32317634183948, 405
185, 125.00073039389643, 416
186, 125.678284613711, 433
187, 126.35583900128316, 392
188, 127.03339355661292, 413
189, 127.71094827970029, 426
190, 128.38850317054528, 456
191, 129.06605822914784, 424
192, 129.74361345550804, 420
193, 130.42116884962584, 411
194, 131.09872441150122, 438
195, 131.77628014113424, 458
196, 132.45383603852483, 432
197, 133.13139210367305, 435
198, 133.80894833657888, 433
199, 134.48650473724229, 455
200, 135.16406130566332, 443
201, 135.84161804184194, 437
202, 136.5191749457782, 434
203, 137.19673201747204, 435
204, 137.87428925692348, 426
205, 138.55184666413254, 413
206, 139.2294042390992, 420
207, 139.90696198182346, 448
208, 140.58451989230534, 420
209, 141.2620779705448, 444
210, 141.93963621654189, 440
211, 142.61719463029658, 437
212, 143.29475321180885, 422
213, 143.97231196107876, 458
214, 144.64987087810624, 425
215, 145.32742996289136, 417
216, 146.00498921543408, 507
217, 146.68254863573438, 515
218, 147.3601082237923, 429
219, 148.03766797960782, 431
220, 148.71522790318096, 414
221, 149.3927879945117, 463
222, 150.07034825360003, 440
223, 150.747908680446, 458
224, 151.42546927504952, 433
225, 152.1030300374107, 457
226, 152.78059096752946, 439
227, 153.4581520654058, 475
228, 154.1357133310398, 482
229, 154.81327476443138, 437
230, 155.49083636558055, 437
231, 156.16839813448735, 445
232, 156.84596007115172, 453
233, 157.52352217557373, 451
234, 158.20108444775335, 446
235, 158.87864688769054, 523
236, 159.55620949538536, 500
237, 160.23377227083776, 490
238, 160.9113352140478, 427
239, 161.58889832501544, 408
240, 162.26646160374065, 438
241, 162.9440250502235, 448
242, 163.62158866446393, 464
243, 164.299152446462, 492
244, 164.97671639621765, 455
245, 165.6542805137309, 469
246, 166.33184479900177, 442
247, 167.00940925203025, 461
248, 167.6869738728163, 415
249, 168.36453866136, 398
250, 169.04210361766127, 428
251, 169.71966874172017, 462
252, 170.39723403353668, 456
253, 171.07479949311076, 440
254, 171.75236512044248, 425
255, 172.42993091553177, 480
256, 173.1074968783787, 441
257, 173.78506300898323, 421
258, 174.46262930734534, 420
259, 175.14019577346508, 434
260, 175.8177624073424, 458
261, 176.49532920897735, 423
262, 177.1728961783699, 428
263, 177.85046331552005, 411
264, 178.5280306204278, 467
265, 179.20559809309316, 421
266, 179.88316573351614, 416
267, 180.56073354169672, 446
268, 181.23830151763488, 438
269, 181.91586966133067, 421
270, 182.59343797278407, 433
271, 183.27100645199505, 436
272, 183.94857509896366, 417
273, 184.62614391368984, 440
274, 185.30371289617366, 413
275, 185.9812820464151, 421
276, 186.6588513644141, 433
277, 187.33642085017073, 399
278, 188.01399050368494, 421
279, 188.69156032495678, 420
280, 189.36913031398623, 458
281, 190.04670047077326, 398
282, 190.72427079531792, 414
283, 191.40184128762016, 397
284, 192.07941194768003, 446
285, 192.7569827754975, 468
286, 193.43455377107256, 418
287, 194.11212493440524, 431
288, 194.78969626549554, 398
289, 195.4672677643434, 428
290, 196.1448394309489, 386
291, 196.82241126531198, 421
292, 197.4999832674327, 424
293, 198.177555437311, 432
294, 198.8551277749469, 418
295, 199.53270028034044, 427
296, 200.21027295349154, 402
297, 200.88784579440028, 440
298, 201.56541880306662, 368
299, 202.24299197949054, 390
300, 202.9205653236721, 401
301, 203.59813883561122, 419
302, 204.275712515308, 380
303, 204.95328636276236, 380
304, 205.6308603779743, 394
305, 206.30843456094388, 404
306, 206.98600891167104, 398
307, 207.66358343015582, 408
308, 208.34115811639822, 388
309, 209.0187329703982, 407
310, 209.6963079921558, 358
311, 210.373883181671, 371
312, 211.0514585389438, 429
313, 211.7290340639742, 392
314, 212.4066097567622, 397
315, 213.08418561730784, 411
316, 213.76176164561107, 390
317, 214.4393378416719, 395
