Start Time, Thu Dec 07 2023 16:05:09 GMT+0000 (Greenwich Mean Time)
Energy calibration,  Offset: -0.3439140022, Slope: 0.6775230169, Quadratic: 8.387880257e-8
Live Time (s), 777953.97
Real Time (s), 780963.11
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.3336091824576052, 73
2, 1.0111325348728155, 32166
3, 1.688656055045631, 17027
4, 2.3661797429760516, 2151
5, 3.0437035986640772, 580
6, 3.7212276221097085, 1532
7, 4.398751813312944, 1849
8, 5.0762761722737855, 2122
9, 5.753800698992232, 2119
10, 6.431325393468283, 2074
11, 7.10885025570194, 2035
12, 7.786375285693202, 1978
13, 8.46390048344207, 2510
14, 9.14142584894854, 7235
15, 9.818951382212617, 4657
16, 10.4964770832343, 2259
17, 11.174002952013588, 1273
18, 11.85152898855048, 871
19, 12.529055192844977, 600
20, 13.20658156489708, 527
21, 13.884108104706788, 547
22, 14.561634812274102, 474
23, 15.23916168759902, 466
24, 15.916688730681544, 426
25, 16.594215941521675, 461
26, 17.271743320119405, 442
27, 17.94927086647474, 416
28, 18.62679858058769, 353
29, 19.304326462458235, 394
30, 19.981854512086393, 391
31, 20.65938272947215, 383
32, 21.336911114615518, 359
33, 22.014439667516484, 365
34, 22.691968388175063, 341
35, 23.36949727659124, 369
36, 24.04702633276503, 339
37, 24.724555556696416, 347
38, 25.402084948385408, 371
39, 26.079614507832012, 341
40, 26.757144235036215, 349
41, 27.43467412999803, 365
42, 28.112204192717442, 333
43, 28.789734423194467, 278
44, 29.46726482142909, 329
45, 30.144795387421325, 337
46, 30.82232612117116, 318
47, 31.499857022678604, 316
48, 32.17738809194365, 280
49, 32.8549193289663, 283
50, 33.53245073374656, 309
51, 34.20998230628442, 280
52, 34.88751404657989, 342
53, 35.56504595463296, 288
54, 36.24257803044363, 285
55, 36.92011027401192, 315
56, 37.5976426853378, 269
57, 38.2751752644213, 264
58, 38.952708011262395, 278
59, 39.6302409258611, 277
60, 40.30777400821741, 254
61, 40.985307258331325, 284
62, 41.66284067620284, 278
63, 42.34037426183197, 268
64, 43.017908015218694, 270
65, 43.695441936363025, 271
66, 44.37297602526497, 259
67, 45.05051028192451, 251
68, 45.72804470634166, 272
69, 46.405579298516415, 272
70, 47.08311405844878, 270
71, 47.76064898613874, 260
72, 48.438184081586314, 261
73, 49.115719344791486, 260
74, 49.79325477575427, 265
75, 50.47079037447465, 275
76, 51.14832614095264, 265
77, 51.82586207518824, 269
78, 52.50339817718144, 232
79, 53.18093444693225, 264
80, 53.858470884440656, 254
81, 54.53600748970668, 271
82, 55.213544262730295, 267
83, 55.891081203511526, 247
84, 56.568618312050354, 276
85, 57.246155588346795, 265
86, 57.923693032400834, 237
87, 58.60123064421248, 277
88, 59.278768423781734, 357
89, 59.95630637110859, 333
90, 60.633844486193055, 276
91, 61.31138276903512, 269
92, 61.9889212196348, 300
93, 62.66645983799207, 306
94, 63.34399862410696, 313
95, 64.02153757797946, 263
96, 64.69907669960955, 279
97, 65.37661598899724, 297
98, 66.05415544614254, 309
99, 66.73169507104545, 307
100, 67.40923486370598, 299
101, 68.08677482412409, 314
102, 68.76431495229981, 301
103, 69.44185524823314, 311
104, 70.11939571192408, 322
105, 70.79693634337262, 310
106, 71.47447714257876, 347
107, 72.15201810954251, 342
108, 72.82955924426386, 393
109, 73.50710054674283, 354
110, 74.1846420169794, 452
111, 74.86218365497356, 724
112, 75.53972546072534, 430
113, 76.21726743423473, 406
114, 76.89480957550171, 722
115, 77.5723518845263, 554
116, 78.24989436130849, 330
117, 78.9274370058483, 304
118, 79.60497981814571, 326
119, 80.28252279820072, 324
120, 80.96006594601333, 372
121, 81.63760926158355, 305
122, 82.31515274491139, 302
123, 82.99269639599682, 316
124, 83.67024021483985, 410
125, 84.34778420144049, 415
126, 85.02532835579875, 389
127, 85.7028726779146, 354
128, 86.38041716778805, 396
129, 87.05796182541911, 559
130, 87.73550665080778, 448
131, 88.41305164395406, 321
132, 89.09059680485794, 336
133, 89.76814213351942, 432
134, 90.4456876299385, 397
135, 91.12323329411521, 289
136, 91.8007791260495, 341
137, 92.4783251257414, 454
138, 93.15587129319091, 444
139, 93.83341762839802, 388
140, 94.51096413136275, 358
141, 95.18851080208508, 322
142, 95.866057640565, 336
143, 96.54360464680254, 333
144, 97.22115182079769, 306
145, 97.89869916255043, 325
146, 98.57624667206078, 356
147, 99.25379434932873, 370
148, 99.9313421943543, 350
149, 100.60889020713746, 367
150, 101.28643838767823, 304
151, 101.9639867359766, 311
152, 102.64153525203258, 344
153, 103.31908393584618, 290
154, 103.99663278741737, 333
155, 104.67418180674616, 333
156, 105.35173099383256, 399
157, 106.02928034867658, 345
158, 106.70682987127819, 338
159, 107.3843795616374, 347
160, 108.06192941975422, 317
161, 108.73947944562865, 364
162, 109.41702963926069, 376
163, 110.09458000065032, 326
164, 110.77213052979756, 361
165, 111.44968122670241, 343
166, 112.12723209136487, 337
167, 112.80478312378493, 329
168, 113.48233432396259, 395
169, 114.15988569189786, 314
170, 114.83743722759074, 382
171, 115.51498893104119, 344
172, 116.19254080224928, 369
173, 116.87009284121497, 369
174, 117.54764504793826, 346
175, 118.22519742241916, 331
176, 118.90274996465766, 333
177, 119.58030267465378, 353
178, 120.25785555240749, 367
179, 120.93540859791881, 364
180, 121.61296181118773, 371
181, 122.29051519221427, 344
182, 122.9680687409984, 341
183, 123.64562245754014, 347
184, 124.32317634183948, 354
185, 125.00073039389643, 388
186, 125.678284613711, 398
187, 126.35583900128316, 336
188, 127.03339355661292, 388
189, 127.71094827970029, 400
190, 128.38850317054528, 377
191, 129.06605822914784, 465
192, 129.74361345550804, 423
193, 130.42116884962584, 389
194, 131.09872441150122, 350
195, 131.77628014113424, 398
196, 132.45383603852483, 391
197, 133.13139210367305, 377
198, 133.80894833657888, 386
199, 134.48650473724229, 397
200, 135.16406130566332, 376
201, 135.84161804184194, 418
202, 136.5191749457782, 384
203, 137.19673201747204, 376
204, 137.87428925692348, 380
205, 138.55184666413254, 360
206, 139.2294042390992, 362
207, 139.90696198182346, 379
208, 140.58451989230534, 376
209, 141.2620779705448, 350
210, 141.93963621654189, 371
211, 142.61719463029658, 381
