Start Time, Mon Nov 20 2023 09:11:14 GMT+0000 (GMT)
Energy calibration,  Offset: -0.3439140022, Slope: 0.6775230169, Quadratic: 8.387880257e-8
Live Time (s), 589490.43
Real Time (s), 591717.78
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.3336091824576052, 64
2, 1.0111325348728155, 7898
3, 1.688656055045631, 9880
4, 2.3661797429760516, 1599
5, 3.0437035986640772, 1120
6, 3.7212276221097085, 2437
7, 4.398751813312944, 2561
8, 5.0762761722737855, 2982
9, 5.753800698992232, 3226
10, 6.431325393468283, 3151
11, 7.10885025570194, 3205
12, 7.786375285693202, 3075
13, 8.46390048344207, 3543
14, 9.14142584894854, 11154
15, 9.818951382212617, 7879
16, 10.4964770832343, 3634
17, 11.174002952013588, 1753
18, 11.85152898855048, 1233
19, 12.529055192844977, 910
20, 13.20658156489708, 759
21, 13.884108104706788, 673
22, 14.561634812274102, 644
23, 15.23916168759902, 604
24, 15.916688730681544, 562
25, 16.594215941521675, 575
26, 17.271743320119405, 542
27, 17.94927086647474, 561
28, 18.62679858058769, 528
29, 19.304326462458235, 561
30, 19.981854512086393, 484
31, 20.65938272947215, 565
32, 21.336911114615518, 475
33, 22.014439667516484, 477
34, 22.691968388175063, 463
35, 23.36949727659124, 447
36, 24.04702633276503, 462
37, 24.724555556696416, 420
38, 25.402084948385408, 472
39, 26.079614507832012, 405
40, 26.757144235036215, 439
41, 27.43467412999803, 395
42, 28.112204192717442, 398
43, 28.789734423194467, 407
44, 29.46726482142909, 395
45, 30.144795387421325, 394
46, 30.82232612117116, 377
47, 31.499857022678604, 384
48, 32.17738809194365, 382
49, 32.8549193289663, 391
50, 33.53245073374656, 351
51, 34.20998230628442, 355
52, 34.88751404657989, 390
53, 35.56504595463296, 379
54, 36.24257803044363, 378
55, 36.92011027401192, 387
56, 37.5976426853378, 384
57, 38.2751752644213, 327
58, 38.952708011262395, 385
59, 39.6302409258611, 388
60, 40.30777400821741, 318
61, 40.985307258331325, 335
62, 41.66284067620284, 355
63, 42.34037426183197, 343
64, 43.017908015218694, 316
65, 43.695441936363025, 367
66, 44.37297602526497, 351
67, 45.05051028192451, 346
68, 45.72804470634166, 360
69, 46.405579298516415, 370
70, 47.08311405844878, 305
71, 47.76064898613874, 329
72, 48.438184081586314, 306
73, 49.115719344791486, 342
74, 49.79325477575427, 332
75, 50.47079037447465, 375
76, 51.14832614095264, 347
77, 51.82586207518824, 351
78, 52.50339817718144, 342
79, 53.18093444693225, 361
80, 53.858470884440656, 335
81, 54.53600748970668, 301
82, 55.213544262730295, 323
83, 55.891081203511526, 358
84, 56.568618312050354, 362
85, 57.246155588346795, 374
86, 57.923693032400834, 339
87, 58.60123064421248, 346
88, 59.278768423781734, 397
89, 59.95630637110859, 400
90, 60.633844486193055, 361
91, 61.31138276903512, 368
92, 61.9889212196348, 307
93, 62.66645983799207, 416
94, 63.34399862410696, 423
95, 64.02153757797946, 340
96, 64.69907669960955, 322
97, 65.37661598899724, 374
98, 66.05415544614254, 364
99, 66.73169507104545, 363
100, 67.40923486370598, 406
101, 68.08677482412409, 377
102, 68.76431495229981, 352
103, 69.44185524823314, 362
104, 70.11939571192408, 381
105, 70.79693634337262, 405
106, 71.47447714257876, 417
107, 72.15201810954251, 462
108, 72.82955924426386, 546
109, 73.50710054674283, 473
110, 74.1846420169794, 583
111, 74.86218365497356, 1106
112, 75.53972546072534, 633
113, 76.21726743423473, 514
114, 76.89480957550171, 1345
115, 77.5723518845263, 979
116, 78.24989436130849, 438
117, 78.9274370058483, 433
118, 79.60497981814571, 400
119, 80.28252279820072, 370
120, 80.96006594601333, 454
