Start Time, Mon Oct 16 2023 10:14:18 GMT+0100 (BST)
Energy calibration,  Offset: -0.3439140022, Slope: 0.6775230169, Quadratic: 8.387880257e-8
Live Time (s), 586551.55
Real Time (s), 588791.75
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.3336091824576052, 80
2, 1.0111325348728155, 46568
3, 1.688656055045631, 49364
4, 2.3661797429760516, 4419
5, 3.0437035986640772, 3670
6, 3.7212276221097085, 11728
7, 4.398751813312944, 13847
8, 5.0762761722737855, 17256
9, 5.753800698992232, 18204
10, 6.431325393468283, 18089
11, 7.10885025570194, 17807
12, 7.786375285693202, 17470
13, 8.46390048344207, 21909
14, 9.14142584894854, 70919
15, 9.818951382212617, 46607
16, 10.4964770832343, 21178
17, 11.174002952013588, 10813
18, 11.85152898855048, 7409
19, 12.529055192844977, 4707
20, 13.20658156489708, 4352
21, 13.884108104706788, 4135
22, 14.561634812274102, 3780
23, 15.23916168759902, 3511
24, 15.916688730681544, 3387
25, 16.594215941521675, 3397
26, 17.271743320119405, 3183
27, 17.94927086647474, 3137
28, 18.62679858058769, 2978
29, 19.304326462458235, 3019
30, 19.981854512086393, 2925
31, 20.65938272947215, 2839
32, 21.336911114615518, 2767
33, 22.014439667516484, 2818
34, 22.691968388175063, 2741
35, 23.36949727659124, 2788
36, 24.04702633276503, 2582
37, 24.724555556696416, 2647
38, 25.402084948385408, 2608
39, 26.079614507832012, 2446
40, 26.757144235036215, 2563
41, 27.43467412999803, 2550
42, 28.112204192717442, 2459
43, 28.789734423194467, 2372
44, 29.46726482142909, 2385
45, 30.144795387421325, 2426
46, 30.82232612117116, 2298
47, 31.499857022678604, 2362
48, 32.17738809194365, 2300
49, 32.8549193289663, 2342
50, 33.53245073374656, 2320
51, 34.20998230628442, 2262
52, 34.88751404657989, 2235
53, 35.56504595463296, 2170
54, 36.24257803044363, 2157
55, 36.92011027401192, 2173
56, 37.5976426853378, 2088
57, 38.2751752644213, 2172
58, 38.952708011262395, 2119
59, 39.6302409258611, 2089
60, 40.30777400821741, 2154
61, 40.985307258331325, 2099
62, 41.66284067620284, 2096
63, 42.34037426183197, 2087
64, 43.017908015218694, 2085
65, 43.695441936363025, 2084
66, 44.37297602526497, 2052
67, 45.05051028192451, 1986
68, 45.72804470634166, 2052
69, 46.405579298516415, 2005
70, 47.08311405844878, 2060
71, 47.76064898613874, 1995
72, 48.438184081586314, 1961
73, 49.115719344791486, 1965
74, 49.79325477575427, 1965
75, 50.47079037447465, 2002
76, 51.14832614095264, 2035
77, 51.82586207518824, 2059
78, 52.50339817718144, 1995
79, 53.18093444693225, 2088
80, 53.858470884440656, 2104
81, 54.53600748970668, 1955
82, 55.213544262730295, 1981
83, 55.891081203511526, 1963
84, 56.568618312050354, 2053
85, 57.246155588346795, 1961
86, 57.923693032400834, 2042
87, 58.60123064421248, 2156
88, 59.278768423781734, 2627
89, 59.95630637110859, 2366
90, 60.633844486193055, 2115
91, 61.31138276903512, 2091
92, 61.9889212196348, 2154
93, 62.66645983799207, 2228
94, 63.34399862410696, 2337
95, 64.02153757797946, 2191
96, 64.69907669960955, 2161
97, 65.37661598899724, 2239
98, 66.05415544614254, 2208
99, 66.73169507104545, 2263
100, 67.40923486370598, 2188
101, 68.08677482412409, 2294
102, 68.76431495229981, 2339
103, 69.44185524823314, 2282
104, 70.11939571192408, 2296
105, 70.79693634337262, 2455
106, 71.47447714257876, 2366
107, 72.15201810954251, 2526
108, 72.82955924426386, 3085
109, 73.50710054674283, 2597
110, 74.1846420169794, 3375
111, 74.86218365497356, 5239
112, 75.53972546072534, 3243
113, 76.21726743423473, 2862
114, 76.89480957550171, 5266
115, 77.5723518845263, 3924
116, 78.24989436130849, 2394
117, 78.9274370058483, 2408
118, 79.60497981814571, 2408
119, 80.28252279820072, 2409
120, 80.96006594601333, 2427
121, 81.63760926158355, 2389
122, 82.31515274491139, 2356
123, 82.99269639599682, 2467
124, 83.67024021483985, 2913
125, 84.34778420144049, 3260
126, 85.02532835579875, 3142
127, 85.7028726779146, 2566
128, 86.38041716778805, 2827
129, 87.05796182541911, 3926
130, 87.73550665080778, 3277
131, 88.41305164395406, 2480
132, 89.09059680485794, 2481
133, 89.76814213351942, 3252
134, 90.4456876299385, 2744
135, 91.12323329411521, 2379
136, 91.8007791260495, 2568
137, 92.4783251257414, 3326
138, 93.15587129319091, 3400
139, 93.83341762839802, 2846
140, 94.51096413136275, 2465
141, 95.18851080208508, 2481
142, 95.866057640565, 2548
143, 96.54360464680254, 2440
144, 97.22115182079769, 2421
145, 97.89869916255043, 2522
146, 98.57624667206078, 2439
147, 99.25379434932873, 2648
148, 99.9313421943543, 2603
149, 100.60889020713746, 2525
150, 101.28643838767823, 2366
151, 101.9639867359766, 2541
152, 102.64153525203258, 2391
153, 103.31908393584618, 2536
154, 103.99663278741737, 2607
155, 104.67418180674616, 2528
156, 105.35173099383256, 2801
157, 106.02928034867658, 2652
158, 106.70682987127819, 2619
159, 107.3843795616374, 2475
160, 108.06192941975422, 2582
161, 108.73947944562865, 2654
162, 109.41702963926069, 2651
163, 110.09458000065032, 2703
164, 110.77213052979756, 2659
165, 111.44968122670241, 2632
166, 112.12723209136487, 2626
167, 112.80478312378493, 2777
168, 113.48233432396259, 2620
169, 114.15988569189786, 2675
170, 114.83743722759074, 2869
171, 115.51498893104119, 2786
172, 116.19254080224928, 2636
173, 116.87009284121497, 2717
174, 117.54764504793826, 2628
175, 118.22519742241916, 2648
176, 118.90274996465766, 2680
177, 119.58030267465378, 2732
178, 120.25785555240749, 2684
179, 120.93540859791881, 2850
180, 121.61296181118773, 2705
181, 122.29051519221427, 2818
182, 122.9680687409984, 2750
183, 123.64562245754014, 2699
184, 124.32317634183948, 2812
185, 125.00073039389643, 2805
186, 125.678284613711, 2842
187, 126.35583900128316, 2867
188, 127.03339355661292, 2806
189, 127.71094827970029, 2813
190, 128.38850317054528, 2900
191, 129.06605822914784, 3366
192, 129.74361345550804, 2943
193, 130.42116884962584, 2769
194, 131.09872441150122, 2924
195, 131.77628014113424, 2787
196, 132.45383603852483, 2805
197, 133.13139210367305, 2736
198, 133.80894833657888, 2906
199, 134.48650473724229, 2894
200, 135.16406130566332, 2763
201, 135.84161804184194, 2857
202, 136.5191749457782, 2824
203, 137.19673201747204, 2973
204, 137.87428925692348, 2865
205, 138.55184666413254, 2785
206, 139.2294042390992, 2794
207, 139.90696198182346, 2767
208, 140.58451989230534, 2815
209, 141.2620779705448, 2925
210, 141.93963621654189, 2836
211, 142.61719463029658, 2825
212, 143.29475321180885, 2903
213, 143.97231196107876, 2972
214, 144.64987087810624, 2925
215, 145.32742996289136, 2888
216, 146.00498921543408, 2939
217, 146.68254863573438, 2885
218, 147.3601082237923, 2940
219, 148.03766797960782, 2851
220, 148.71522790318096, 2821
221, 149.3927879945117, 2859
222, 150.07034825360003, 2875
223, 150.747908680446, 2851
224, 151.42546927504952, 2828
225, 152.1030300374107, 2851
226, 152.78059096752946, 2783
227, 153.4581520654058, 2977
228, 154.1357133310398, 3044
229, 154.81327476443138, 2811
230, 155.49083636558055, 2678
231, 156.16839813448735, 2717
232, 156.84596007115172, 2742
233, 157.52352217557373, 2725
234, 158.20108444775335, 2838
235, 158.87864688769054, 2832
236, 159.55620949538536, 2856
237, 160.23377227083776, 2756
238, 160.9113352140478, 2794
