Start Time, Tue Nov 07 2023 11:48:56 GMT+0000 (Greenwich Mean Time)
Energy calibration,  Offset: -0.3439140022, Slope: 0.6775230169, Quadratic: 8.387880257e-8
Live Time (s), 592161.76
Real Time (s), 594479.48
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.3336091824576052, 53
2, 1.0111325348728155, 49203
3, 1.688656055045631, 49081
4, 2.3661797429760516, 3973
5, 3.0437035986640772, 2512
6, 3.7212276221097085, 7233
7, 4.398751813312944, 8221
8, 5.0762761722737855, 9860
9, 5.753800698992232, 10383
10, 6.431325393468283, 10101
11, 7.10885025570194, 9878
12, 7.786375285693202, 9765
13, 8.46390048344207, 11804
14, 9.14142584894854, 38387
15, 9.818951382212617, 25372
16, 10.4964770832343, 11893
17, 11.174002952013588, 6069
18, 11.85152898855048, 4257
19, 12.529055192844977, 2889
20, 13.20658156489708, 2596
21, 13.884108104706788, 2389
22, 14.561634812274102, 2159
23, 15.23916168759902, 2164
24, 15.916688730681544, 2064
25, 16.594215941521675, 2099
26, 17.271743320119405, 1939
27, 17.94927086647474, 1873
28, 18.62679858058769, 1812
29, 19.304326462458235, 1819
30, 19.981854512086393, 1767
31, 20.65938272947215, 1722
32, 21.336911114615518, 1681
33, 22.014439667516484, 1622
34, 22.691968388175063, 1602
35, 23.36949727659124, 1645
36, 24.04702633276503, 1630
37, 24.724555556696416, 1608
38, 25.402084948385408, 1527
39, 26.079614507832012, 1509
40, 26.757144235036215, 1562
41, 27.43467412999803, 1466
42, 28.112204192717442, 1506
43, 28.789734423194467, 1410
44, 29.46726482142909, 1449
45, 30.144795387421325, 1479
46, 30.82232612117116, 1358
47, 31.499857022678604, 1327
48, 32.17738809194365, 1388
49, 32.8549193289663, 1378
50, 33.53245073374656, 1348
51, 34.20998230628442, 1358
52, 34.88751404657989, 1369
53, 35.56504595463296, 1318
54, 36.24257803044363, 1341
55, 36.92011027401192, 1309
56, 37.5976426853378, 1317
57, 38.2751752644213, 1288
58, 38.952708011262395, 1270
59, 39.6302409258611, 1268
60, 40.30777400821741, 1271
61, 40.985307258331325, 1235
62, 41.66284067620284, 1211
63, 42.34037426183197, 1253
64, 43.017908015218694, 1261
65, 43.695441936363025, 1236
66, 44.37297602526497, 1196
67, 45.05051028192451, 1182
68, 45.72804470634166, 1220
69, 46.405579298516415, 1223
70, 47.08311405844878, 1178
71, 47.76064898613874, 1245
72, 48.438184081586314, 1203
73, 49.115719344791486, 1191
74, 49.79325477575427, 1185
75, 50.47079037447465, 1236
76, 51.14832614095264, 1238
77, 51.82586207518824, 1206
78, 52.50339817718144, 1279
79, 53.18093444693225, 1313
80, 53.858470884440656, 1186
81, 54.53600748970668, 1213
82, 55.213544262730295, 1222
83, 55.891081203511526, 1251
84, 56.568618312050354, 1181
85, 57.246155588346795, 1230
86, 57.923693032400834, 1224
87, 58.60123064421248, 1254
88, 59.278768423781734, 1609
89, 59.95630637110859, 1483
90, 60.633844486193055, 1285
91, 61.31138276903512, 1263
92, 61.9889212196348, 1298
93, 62.66645983799207, 1304
94, 63.34399862410696, 1509
95, 64.02153757797946, 1345
96, 64.69907669960955, 1309
97, 65.37661598899724, 1296
98, 66.05415544614254, 1307
99, 66.73169507104545, 1407
100, 67.40923486370598, 1344
101, 68.08677482412409, 1357
102, 68.76431495229981, 1355
103, 69.44185524823314, 1454
104, 70.11939571192408, 1477
105, 70.79693634337262, 1377
106, 71.47447714257876, 1471
107, 72.15201810954251, 1570
108, 72.82955924426386, 1883
109, 73.50710054674283, 1637
110, 74.1846420169794, 2080
111, 74.86218365497356, 3236
112, 75.53972546072534, 1881
113, 76.21726743423473, 1842
114, 76.89480957550171, 3507
115, 77.5723518845263, 2512
116, 78.24989436130849, 1377
117, 78.9274370058483, 1438
118, 79.60497981814571, 1460
119, 80.28252279820072, 1484
120, 80.96006594601333, 1445
121, 81.63760926158355, 1515
122, 82.31515274491139, 1391
123, 82.99269639599682, 1501
124, 83.67024021483985, 1700
125, 84.34778420144049, 1973
126, 85.02532835579875, 1910
127, 85.7028726779146, 1565
128, 86.38041716778805, 1745
129, 87.05796182541911, 2372
130, 87.73550665080778, 2062
131, 88.41305164395406, 1527
132, 89.09059680485794, 1621
133, 89.76814213351942, 2021
134, 90.4456876299385, 1705
135, 91.12323329411521, 1473
136, 91.8007791260495, 1563
137, 92.4783251257414, 2103
138, 93.15587129319091, 2211
139, 93.83341762839802, 1770
140, 94.51096413136275, 1498
141, 95.18851080208508, 1443
142, 95.866057640565, 1440
143, 96.54360464680254, 1442
144, 97.22115182079769, 1450
145, 97.89869916255043, 1547
146, 98.57624667206078, 1502
147, 99.25379434932873, 1571
148, 99.9313421943543, 1548
149, 100.60889020713746, 1524
150, 101.28643838767823, 1497
151, 101.9639867359766, 1526
152, 102.64153525203258, 1486
153, 103.31908393584618, 1455
154, 103.99663278741737, 1422
155, 104.67418180674616, 1632
156, 105.35173099383256, 1767
157, 106.02928034867658, 1582
158, 106.70682987127819, 1544
159, 107.3843795616374, 1553
160, 108.06192941975422, 1621
161, 108.73947944562865, 1567
162, 109.41702963926069, 1573
163, 110.09458000065032, 1586
164, 110.77213052979756, 1580
165, 111.44968122670241, 1598
166, 112.12723209136487, 1624
167, 112.80478312378493, 1596
168, 113.48233432396259, 1571
169, 114.15988569189786, 1569
170, 114.83743722759074, 1731
171, 115.51498893104119, 1618
172, 116.19254080224928, 1599
173, 116.87009284121497, 1582
174, 117.54764504793826, 1566
175, 118.22519742241916, 1600
176, 118.90274996465766, 1578
177, 119.58030267465378, 1592
178, 120.25785555240749, 1628
179, 120.93540859791881, 1672
180, 121.61296181118773, 1587
181, 122.29051519221427, 1637
182, 122.9680687409984, 1634
183, 123.64562245754014, 1665
184, 124.32317634183948, 1723
185, 125.00073039389643, 1722
186, 125.678284613711, 1704
187, 126.35583900128316, 1721
188, 127.03339355661292, 1698
189, 127.71094827970029, 1633
190, 128.38850317054528, 1808
191, 129.06605822914784, 2079
192, 129.74361345550804, 1734
193, 130.42116884962584, 1683
194, 131.09872441150122, 1702
195, 131.77628014113424, 1774
196, 132.45383603852483, 1635
197, 133.13139210367305, 1700
198, 133.80894833657888, 1764
199, 134.48650473724229, 1682
200, 135.16406130566332, 1600
201, 135.84161804184194, 1660
202, 136.5191749457782, 1694
203, 137.19673201747204, 1672
204, 137.87428925692348, 1695
205, 138.55184666413254, 1688
206, 139.2294042390992, 1676
207, 139.90696198182346, 1658
208, 140.58451989230534, 1709
209, 141.2620779705448, 1760
210, 141.93963621654189, 1700
211, 142.61719463029658, 1736
212, 143.29475321180885, 1797
213, 143.97231196107876, 1856
214, 144.64987087810624, 1765
215, 145.32742996289136, 1778
216, 146.00498921543408, 1709
217, 146.68254863573438, 1625
218, 147.3601082237923, 1697
219, 148.03766797960782, 1674
220, 148.71522790318096, 1724
221, 149.3927879945117, 1675
222, 150.07034825360003, 1662
223, 150.747908680446, 1686
224, 151.42546927504952, 1617
225, 152.1030300374107, 1689
226, 152.78059096752946, 1646
227, 153.4581520654058, 1696
228, 154.1357133310398, 1863
229, 154.81327476443138, 1731
230, 155.49083636558055, 1614
231, 156.16839813448735, 1622
232, 156.84596007115172, 1609
233, 157.52352217557373, 1601
234, 158.20108444775335, 1653
235, 158.87864688769054, 1729
236, 159.55620949538536, 1594
237, 160.23377227083776, 1655
238, 160.9113352140478, 1692
239, 161.58889832501544, 1622
240, 162.26646160374065, 1609
241, 162.9440250502235, 1647
242, 163.62158866446393, 1654
243, 164.299152446462, 1549
244, 164.97671639621765, 1561
245, 165.6542805137309, 1712
246, 166.33184479900177, 1586
247, 167.00940925203025, 1625
248, 167.6869738728163, 1625
249, 168.36453866136, 1574
250, 169.04210361766127, 1631
251, 169.71966874172017, 1583
252, 170.39723403353668, 1633
253, 171.07479949311076, 1616
254, 171.75236512044248, 1591
255, 172.42993091553177, 1613
256, 173.1074968783787, 1619
257, 173.78506300898323, 1623
258, 174.46262930734534, 1542
259, 175.14019577346508, 1608
260, 175.8177624073424, 1577
261, 176.49532920897735, 1566
262, 177.1728961783699, 1532
263, 177.85046331552005, 1547
264, 178.5280306204278, 1573
265, 179.20559809309316, 1484
266, 179.88316573351614, 1551
267, 180.56073354169672, 1558
268, 181.23830151763488, 1506
269, 181.91586966133067, 1523
270, 182.59343797278407, 1528
271, 183.27100645199505, 1516
272, 183.94857509896366, 1507
273, 184.62614391368984, 1604
274, 185.30371289617366, 1922
275, 185.9812820464151, 2576
276, 186.6588513644141, 2065
277, 187.33642085017073, 1592
278, 188.01399050368494, 1603
279, 188.69156032495678, 1466
280, 189.36913031398623, 1510
281, 190.04670047077326, 1501
282, 190.72427079531792, 1482
283, 191.40184128762016, 1491
284, 192.07941194768003, 1454
285, 192.7569827754975, 1449
286, 193.43455377107256, 1403
287, 194.11212493440524, 1579
288, 194.78969626549554, 1510
289, 195.4672677643434, 1423
290, 196.1448394309489, 1460
291, 196.82241126531198, 1470
292, 197.4999832674327, 1455
293, 198.177555437311, 1527
294, 198.8551277749469, 1483
295, 199.53270028034044, 1473
296, 200.21027295349154, 1480
297, 200.88784579440028, 1431
298, 201.56541880306662, 1445
299, 202.24299197949054, 1487
300, 202.9205653236721, 1384
301, 203.59813883561122, 1418
302, 204.275712515308, 1420
303, 204.95328636276236, 1439
304, 205.6308603779743, 1420
305, 206.30843456094388, 1367
306, 206.98600891167104, 1402
307, 207.66358343015582, 1411
308, 208.34115811639822, 1484
309, 209.0187329703982, 1912
310, 209.6963079921558, 1835
311, 210.373883181671, 1376
312, 211.0514585389438, 1360
313, 211.7290340639742, 1376
314, 212.4066097567622, 1389
315, 213.08418561730784, 1369
316, 213.76176164561107, 1358
317, 214.4393378416719, 1338
318, 215.11691420549033, 1323
319, 215.79449073706635, 1403
320, 216.4720674364, 1415
321, 217.14964430349127, 1437
322, 217.8272213383401, 1380
323, 218.50479854094658, 1349
324, 219.18237591131063, 1312
325, 219.8599534494323, 1429
326, 220.5375311553116, 1351
327, 221.21510902894846, 1308
328, 221.89268707034296, 1329
329, 222.57026527949503, 1349
330, 223.24784365640474, 1313
331, 223.92542220107205, 1262
332, 224.60300091349694, 1364
333, 225.28057979367946, 1256
334, 225.9581588416196, 1291
335, 226.6357380573173, 1268
336, 227.31331744077264, 1281
337, 227.99089699198555, 1275
338, 228.6684767109561, 1285
339, 229.34605659768425, 1302
340, 230.02363665216998, 1269
341, 230.70121687441335, 1236
342, 231.3787972644143, 1232
343, 232.05637782217286, 1250
344, 232.73395854768904, 1276
345, 233.4115394409628, 1334
346, 234.0891205019942, 1283
347, 234.76670173078315, 1210
348, 235.44428312732975, 1305
349, 236.12186469163396, 1375
350, 236.79944642369574, 1252
351, 237.47702832351516, 1490
352, 238.15461039109215, 4992
353, 238.83219262642677, 8325
354, 239.509775029519, 2916
355, 240.1873576003688, 1299
356, 240.86494033897625, 1853
357, 241.5425232453413, 2217
358, 242.22010631946392, 2229
359, 242.89768956134418, 1384
360, 243.575272970982, 1131
361, 244.25285654837748, 1107
362, 244.93044029353055, 1134
363, 245.6080242064412, 1154
364, 246.28560828710948, 1115
365, 246.96319253553534, 1173
366, 247.64077695171883, 1151
367, 248.31836153565993, 1139
368, 248.9959462873586, 1112
369, 249.6735312068149, 1018
370, 250.3511162940288, 1120
371, 251.02870154900032, 1074
372, 251.70628697172944, 1076
373, 252.38387256221614, 1126
374, 253.06145832046047, 1121
375, 253.7390442464624, 1080
376, 254.41663034022193, 1101
377, 255.09421660173908, 1069
378, 255.7718030310138, 1087
379, 256.4493896280461, 1110
380, 257.1269763928361, 1036
381, 257.80456332538364, 1024
382, 258.4821504256888, 1078
383, 259.1597376937516, 1105
384, 259.837325129572, 1053
385, 260.5149127331499, 1022
386, 261.19250050448557, 1049
387, 261.8700884435787, 973
388, 262.5476765504295, 1036
389, 263.2252648250379, 1014
390, 263.90285326740394, 1030
391, 264.5804418775275, 1009
392, 265.25803065540873, 980
393, 265.93561960104756, 1020
394, 266.613208714444, 1049
395, 267.290797995598, 1021
396, 267.9683874445097, 973
397, 268.6459770611789, 963
398, 269.32356684560574, 1139
399, 270.0011567977902, 1495
400, 270.67874691773227, 1396
401, 271.3563372054319, 1085
402, 272.03392766088916, 981
403, 272.71151828410405, 1020
404, 273.38910907507653, 936
405, 274.06670003380657, 947
406, 274.7442911602943, 941
407, 275.42188245453957, 931
408, 276.0994739165425, 906
409, 276.777065546303, 1085
410, 277.4546573438211, 1241
411, 278.1322493090968, 1048
412, 278.80984144213016, 989
413, 279.48743374292104, 969
414, 280.1650262114696, 984
415, 280.84261884777567, 876
416, 281.5202116518395, 983
417, 282.1978046236608, 904
418, 282.87539776323973, 904
419, 283.5529910705763, 952
420, 284.23058454567047, 939
421, 284.9081781885222, 823
422, 285.5857719991316, 927
423, 286.26336597749855, 944
424, 286.94096012362314, 899
425, 287.6185544375053, 906
426, 288.29614891914514, 937
427, 288.9737435685425, 872
428, 289.6513383856975, 908
429, 290.3289333706101, 892
430, 291.00652852328034, 916
431, 291.6841238437081, 878
432, 292.3617193318936, 893
433, 293.0393149878366, 838
434, 293.7169108115372, 868
435, 294.39450680299547, 1289
436, 295.0721029622113, 3018
437, 295.7496992891847, 2546
438, 296.4272957839158, 1043
439, 297.10489244640445, 852
440, 297.7824892766507, 834
441, 298.46008627465454, 892
442, 299.1376834404161, 907
443, 299.8152807739351, 1207
444, 300.4928782752118, 1243
445, 301.1704759442461, 906
446, 301.848073781038, 853
447, 302.52567178558746, 849
448, 303.2032699578946, 839
449, 303.8808682979593, 812
450, 304.5584668057816, 900
451, 305.2360654813615, 782
452, 305.9136643246991, 749
453, 306.59126333579417, 843
454, 307.2688625146469, 819
455, 307.94646186125726, 797
456, 308.6240613756252, 804
457, 309.3016610577507, 794
458, 309.97926090763394, 796
459, 310.65686092527466, 785
460, 311.33446111067303, 795
461, 312.01206146382896, 833
462, 312.6896619847426, 829
463, 313.36726267341373, 782
464, 314.04486352984253, 793
465, 314.72246455402893, 843
466, 315.40006574597294, 779
467, 316.0776671056745, 756
468, 316.75526863313377, 804
469, 317.43287032835053, 767
470, 318.11047219132496, 763
471, 318.788074222057, 684
472, 319.46567642054663, 790
473, 320.1432787867938, 795
474, 320.82088132079866, 775
475, 321.4984840225611, 758
476, 322.1760868920812, 801
477, 322.8536899293588, 748
478, 323.5312931343941, 765
479, 324.2088965071869, 774
480, 324.8865000477374, 742
481, 325.5641037560455, 726
482, 326.2417076321112, 712
483, 326.9193116759344, 755
484, 327.5969158875153, 930
485, 328.2745202668538, 1089
486, 328.9521248139499, 849
487, 329.6297295288036, 770
488, 330.30733441141496, 806
489, 330.9849394617838, 710
490, 331.66254467991035, 763
491, 332.3401500657945, 797
492, 333.01775561943623, 863
493, 333.6953613408355, 1374
494, 334.3729672299925, 2377
495, 335.050573286907, 807
496, 335.7281795115792, 701
497, 336.4057859040089, 661
498, 337.0833924641963, 756
499, 337.76099919214124, 1154
500, 338.4386060878438, 2120
501, 339.116213151304, 1428
502, 339.7938203825218, 697
503, 340.47142778149714, 676
504, 341.1490353482302, 732
505, 341.82664308272075, 763
506, 342.50425098496896, 657
507, 343.1818590549747, 674
508, 343.8594672927382, 712
509, 344.5370756982592, 716
510, 345.2146842715378, 648
511, 345.89229301257404, 640
512, 346.5699019213679, 663
513, 347.2475109979192, 658
514, 347.92512024222833, 670
515, 348.60272965429493, 675
516, 349.2803392341192, 637
517, 349.95794898170107, 719
518, 350.63555889704054, 747
519, 351.31316898013756, 1760
520, 351.99077923099225, 4526
521, 352.66838964960453, 3074
522, 353.34600023597443, 891
523, 354.0236109901019, 613
524, 354.70122191198703, 631
525, 355.3788330016297, 621
526, 356.05644425903, 634
527, 356.7340556841879, 667
528, 357.41166727710345, 610
529, 358.0892790377765, 623
530, 358.76689096620726, 669
531, 359.4445030623956, 614
532, 360.12211532634154, 633
533, 360.79972775804504, 603
534, 361.47734035750625, 602
535, 362.15495312472495, 588
536, 362.8325660597013, 636
537, 363.5101791624353, 584
538, 364.18779243292687, 592
539, 364.865405871176, 653
540, 365.5430194771828, 639
541, 366.2206332509472, 620
542, 366.89824719246917, 605
543, 367.5758613017487, 582
544, 368.253475578786, 621
545, 368.93109002358074, 607
546, 369.60870463613315, 608
547, 370.2863194164432, 573
548, 370.9639343645108, 597
549, 371.641549480336, 604
550, 372.3191647639189, 570
551, 372.99678021525926, 578
552, 373.6743958343573, 565
553, 374.3520116212129, 602
554, 375.0296275758262, 580
555, 375.70724369819703, 552
556, 376.3848599883255, 617
557, 377.0624764462116, 566
558, 377.74009307185526, 582
559, 378.4177098652565, 588
560, 379.09532682641543, 565
561, 379.77294395533187, 557
562, 380.45056125200597, 606
563, 381.1281787164376, 582
564, 381.805796348627, 582
565, 382.48341414857384, 548
566, 383.16103211627836, 565
567, 383.8386502517405, 610
568, 384.5162685549602, 612
569, 385.1938870259375, 583
570, 385.8715056646725, 562
571, 386.549124471165, 603
572, 387.22674344541514, 592
573, 387.90436258742284, 572
574, 388.58198189718826, 572
575, 389.25960137471117, 620
576, 389.93722101999174, 585
577, 390.6148408330299, 552
578, 391.2924608138257, 565
579, 391.97008096237903, 566
580, 392.6477012786901, 533
581, 393.3253217627586, 529
582, 394.0029424145848, 605
583, 394.6805632341686, 565
584, 395.35818422151004, 569
585, 396.035805376609, 550
586, 396.71342669946563, 546
587, 397.39104819007986, 557
588, 398.0686698484517, 529
589, 398.7462916745811, 580
590, 399.4239136684682, 550
591, 400.10153583011277, 565
592, 400.779158159515, 532
593, 401.4567806566749, 555
594, 402.13440332159234, 501
595, 402.81202615426736, 534
596, 403.48964915470003, 573
597, 404.1672723228903, 555
598, 404.8448956588382, 563
599, 405.52251916254363, 541
600, 406.2001428340068, 534
601, 406.8777666732274, 561
602, 407.55539068020573, 526
603, 408.23301485494164, 496
604, 408.91063919743516, 587
605, 409.5882637076862, 699
606, 410.26588838569495, 655
607, 410.9435132314613, 552
608, 411.6211382449852, 545
609, 412.2987634262667, 533
610, 412.9763887753059, 529
611, 413.6540142921026, 481
