Start Time, Tue Dec 12 2023 11:00:25 GMT+0000 (Greenwich Mean Time)
Energy calibration,  Offset: -0.3439140022, Slope: 0.6775230169, Quadratic: 8.387880257e-8
Live Time (s), 411527.06
Real Time (s), 413117.24
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.3336091824576052, 88
2, 1.0111325348728155, 48275
3, 1.688656055045631, 58435
4, 2.3661797429760516, 9014
5, 3.0437035986640772, 1580
6, 3.7212276221097085, 3540
7, 4.398751813312944, 5419
8, 5.0762761722737855, 7033
9, 5.753800698992232, 7798
10, 6.431325393468283, 7733
11, 7.10885025570194, 7872
12, 7.786375285693202, 7904
13, 8.46390048344207, 10036
14, 9.14142584894854, 35172
15, 9.818951382212617, 21804
16, 10.4964770832343, 9220
17, 11.174002952013588, 4229
18, 11.85152898855048, 2684
19, 12.529055192844977, 1477
20, 13.20658156489708, 1246
21, 13.884108104706788, 1212
22, 14.561634812274102, 1049
23, 15.23916168759902, 1120
24, 15.916688730681544, 987
25, 16.594215941521675, 1013
26, 17.271743320119405, 937
27, 17.94927086647474, 931
28, 18.62679858058769, 899
29, 19.304326462458235, 887
30, 19.981854512086393, 842
31, 20.65938272947215, 867
32, 21.336911114615518, 813
33, 22.014439667516484, 768
34, 22.691968388175063, 806
35, 23.36949727659124, 796
36, 24.04702633276503, 742
37, 24.724555556696416, 745
38, 25.402084948385408, 752
39, 26.079614507832012, 743
40, 26.757144235036215, 751
41, 27.43467412999803, 752
42, 28.112204192717442, 696
43, 28.789734423194467, 717
44, 29.46726482142909, 761
45, 30.144795387421325, 714
46, 30.82232612117116, 720
47, 31.499857022678604, 651
48, 32.17738809194365, 677
49, 32.8549193289663, 640
50, 33.53245073374656, 656
51, 34.20998230628442, 626
52, 34.88751404657989, 626
53, 35.56504595463296, 649
54, 36.24257803044363, 638
55, 36.92011027401192, 602
56, 37.5976426853378, 683
57, 38.2751752644213, 661
58, 38.952708011262395, 652
59, 39.6302409258611, 613
60, 40.30777400821741, 648
61, 40.985307258331325, 658
62, 41.66284067620284, 640
