Start Time, Thu Dec 01 2022 09:08:46 GMT+0000 (GMT)
Energy calibration,  Offset: -0.3439140022, Slope: 0.6775230169, Quadratic: 8.387880257e-8
Live Time (s), 1191067.75
Real Time (s), 1195547.14
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.3336091824576052, 548
2, 1.0111325348728155, 252440
3, 1.688656055045631, 355732
4, 2.3661797429760516, 35744
5, 3.0437035986640772, 9180
6, 3.7212276221097085, 22465
7, 4.398751813312944, 26966
8, 5.0762761722737855, 32992
9, 5.753800698992232, 35433
10, 6.431325393468283, 35619
11, 7.10885025570194, 35087
12, 7.786375285693202, 34540
13, 8.46390048344207, 47063
14, 9.14142584894854, 143154
15, 9.818951382212617, 87322
16, 10.4964770832343, 39270
17, 11.174002952013588, 20284
18, 11.85152898855048, 13911
19, 12.529055192844977, 8911
20, 13.20658156489708, 7940
21, 13.884108104706788, 7634
22, 14.561634812274102, 7131
23, 15.23916168759902, 6789
24, 15.916688730681544, 6709
25, 16.594215941521675, 6325
26, 17.271743320119405, 6058
27, 17.94927086647474, 6093
28, 18.62679858058769, 5852
29, 19.304326462458235, 5968
30, 19.981854512086393, 5632
31, 20.65938272947215, 5524
32, 21.336911114615518, 5349
33, 22.014439667516484, 5377
34, 22.691968388175063, 5255
35, 23.36949727659124, 5135
36, 24.04702633276503, 5049
37, 24.724555556696416, 4950
38, 25.402084948385408, 4870
39, 26.079614507832012, 4853
40, 26.757144235036215, 4822
41, 27.43467412999803, 4759
42, 28.112204192717442, 4767
43, 28.789734423194467, 4654
44, 29.46726482142909, 4636
45, 30.144795387421325, 4405
46, 30.82232612117116, 4458
47, 31.499857022678604, 4350
48, 32.17738809194365, 4314
49, 32.8549193289663, 4452
50, 33.53245073374656, 4304
51, 34.20998230628442, 4323
52, 34.88751404657989, 4149
53, 35.56504595463296, 4261
54, 36.24257803044363, 4175
55, 36.92011027401192, 4136
56, 37.5976426853378, 4120
57, 38.2751752644213, 4121
58, 38.952708011262395, 3950
59, 39.6302409258611, 3995
60, 40.30777400821741, 4120
61, 40.985307258331325, 3997
62, 41.66284067620284, 3988
63, 42.34037426183197, 3881
64, 43.017908015218694, 3988
65, 43.695441936363025, 3911
66, 44.37297602526497, 3944
67, 45.05051028192451, 3903
68, 45.72804470634166, 3882
69, 46.405579298516415, 3810
70, 47.08311405844878, 3880
71, 47.76064898613874, 3894
72, 48.438184081586314, 3705
73, 49.115719344791486, 3829
74, 49.79325477575427, 3756
75, 50.47079037447465, 3789
76, 51.14832614095264, 3887
77, 51.82586207518824, 3835
78, 52.50339817718144, 3812
79, 53.18093444693225, 3973
80, 53.858470884440656, 3958
81, 54.53600748970668, 3819
82, 55.213544262730295, 3794
83, 55.891081203511526, 3861
84, 56.568618312050354, 3846
85, 57.246155588346795, 3793
86, 57.923693032400834, 3919
87, 58.60123064421248, 3943
88, 59.278768423781734, 4527
89, 59.95630637110859, 4286
90, 60.633844486193055, 3861
91, 61.31138276903512, 3914
92, 61.9889212196348, 3913
93, 62.66645983799207, 4308
94, 63.34399862410696, 4730
95, 64.02153757797946, 4385
96, 64.69907669960955, 4033
97, 65.37661598899724, 4106
98, 66.05415544614254, 4171
99, 66.73169507104545, 4238
100, 67.40923486370598, 4258
101, 68.08677482412409, 4161
102, 68.76431495229981, 4332
103, 69.44185524823314, 4426
104, 70.11939571192408, 4422
105, 70.79693634337262, 4496
106, 71.47447714257876, 4504
107, 72.15201810954251, 4990
108, 72.82955924426386, 5852
109, 73.50710054674283, 4986
110, 74.1846420169794, 7186
111, 74.86218365497356, 12450
112, 75.53972546072534, 6675
113, 76.21726743423473, 6086
114, 76.89480957550171, 14200
115, 77.5723518845263, 9617
116, 78.24989436130849, 4504
117, 78.9274370058483, 4433
118, 79.60497981814571, 4595
119, 80.28252279820072, 4460
120, 80.96006594601333, 4685
121, 81.63760926158355, 4651
122, 82.31515274491139, 4376
123, 82.99269639599682, 4654
124, 83.67024021483985, 5747
125, 84.34778420144049, 6529
126, 85.02532835579875, 5806
127, 85.7028726779146, 4855
128, 86.38041716778805, 5896
129, 87.05796182541911, 8939
130, 87.73550665080778, 7033
131, 88.41305164395406, 4562
132, 89.09059680485794, 5120
133, 89.76814213351942, 7242
134, 90.4456876299385, 5893
135, 91.12323329411521, 4462
136, 91.8007791260495, 5073
137, 92.4783251257414, 7511
138, 93.15587129319091, 7955
139, 93.83341762839802, 5983
140, 94.51096413136275, 4854
141, 95.18851080208508, 4642
142, 95.866057640565, 4359
143, 96.54360464680254, 4430
144, 97.22115182079769, 4386
145, 97.89869916255043, 4558
146, 98.57624667206078, 4718
147, 99.25379434932873, 5072
148, 99.9313421943543, 4831
149, 100.60889020713746, 4460
150, 101.28643838767823, 4407
151, 101.9639867359766, 4389
152, 102.64153525203258, 4572
153, 103.31908393584618, 4527
154, 103.99663278741737, 4680
155, 104.67418180674616, 4991
156, 105.35173099383256, 5356
157, 106.02928034867658, 4998
158, 106.70682987127819, 4660
159, 107.3843795616374, 4564
160, 108.06192941975422, 4822
161, 108.73947944562865, 4917
162, 109.41702963926069, 4832
163, 110.09458000065032, 4760
164, 110.77213052979756, 4886
165, 111.44968122670241, 4815
166, 112.12723209136487, 4734
167, 112.80478312378493, 4890
168, 113.48233432396259, 4869
169, 114.15988569189786, 4826
170, 114.83743722759074, 5097
171, 115.51498893104119, 5117
172, 116.19254080224928, 4838
173, 116.87009284121497, 4750
174, 117.54764504793826, 4678
175, 118.22519742241916, 4864
176, 118.90274996465766, 4852
177, 119.58030267465378, 4857
178, 120.25785555240749, 4891
179, 120.93540859791881, 4858
180, 121.61296181118773, 4872
181, 122.29051519221427, 5001
182, 122.9680687409984, 4872
183, 123.64562245754014, 5023
184, 124.32317634183948, 5012
185, 125.00073039389643, 5046
186, 125.678284613711, 5000
187, 126.35583900128316, 5090
188, 127.03339355661292, 5040
189, 127.71094827970029, 5134
190, 128.38850317054528, 5639
191, 129.06605822914784, 7185
192, 129.74361345550804, 5642
193, 130.42116884962584, 5075
194, 131.09872441150122, 5196
195, 131.77628014113424, 5241
196, 132.45383603852483, 5196
197, 133.13139210367305, 5235
198, 133.80894833657888, 5100
199, 134.48650473724229, 5092
200, 135.16406130566332, 5050
201, 135.84161804184194, 5297
202, 136.5191749457782, 5223
203, 137.19673201747204, 5257
204, 137.87428925692348, 5331
205, 138.55184666413254, 5210
206, 139.2294042390992, 5247
207, 139.90696198182346, 5386
208, 140.58451989230534, 5183
209, 141.2620779705448, 5363
210, 141.93963621654189, 5148
211, 142.61719463029658, 5109
212, 143.29475321180885, 5514
213, 143.97231196107876, 5782
214, 144.64987087810624, 5335
215, 145.32742996289136, 5380
216, 146.00498921543408, 5212
217, 146.68254863573438, 5126
218, 147.3601082237923, 5165
219, 148.03766797960782, 5166
220, 148.71522790318096, 5235
221, 149.3927879945117, 5022
222, 150.07034825360003, 5315
223, 150.747908680446, 5293
224, 151.42546927504952, 5242
225, 152.1030300374107, 5168
226, 152.78059096752946, 5188
227, 153.4581520654058, 5506
228, 154.1357133310398, 6057
229, 154.81327476443138, 5293
230, 155.49083636558055, 5053
231, 156.16839813448735, 5051
232, 156.84596007115172, 5241
