Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV
   74.93,     303.0,  38.5     ,8.5505e-004, 1.42,  1.89%,   2.37,   14248.0,  1,  ,354394.625,,,,,50.4708,82.9927
   85.32,     212.9,  37.4     ,6.0077e-004, 0.93,  1.09%,   2.07,    9507.0,  2,  ,354394.625,,,,,76.8948,96.5436
  159.64,     209.6,  49.7     ,5.9143e-004, 1.60,  1.00%,   0.69,    5902.6,  3,  ,354394.625,,,,,154.813,163.622
  242.42,     133.2,  32.7     ,3.7586e-004, 0.80,  0.33%,   1.25,    3132.1,  4,  ,354394.625,,,Pb214,242.00,239.51,245.608
  295.58,     278.5,  32.8     ,7.8592e-004, 1.08,  0.36%,   1.05,    4183.4,  5,  ,354394.625,,,Pb214,295.24,290.129,300.97
  334.57,     902.6,  40.2     ,2.5469e-003, 0.56,  0.17%,   0.99,    7091.2,  6,  ,354394.625,,,,,324.887,344.537
  352.44,     377.8,  32.7     ,1.0659e-003, 1.19,  0.34%,   0.69,    3336.9,  7,  ,354394.625,,,Pb214,351.93,347.031,357.873
  511.51,    2301.2,  62.5     ,6.4934e-003, 2.50,  0.49%,   1.29,    4971.0,  8,  ,354394.625,,,Annihilation,511.00,501.747,521.399
  609.83,     274.6,  23.2     ,7.7495e-004, 1.27,  0.21%,   0.53,    1258.6,  9,  ,354394.625,,,Bi214,609.31,604.429,615.272
  803.59,      88.7,  19.2     ,2.5041e-004, 1.55,  0.19%,   1.21,     661.2,  10,  ,354394.625,,,Pb206m,803.06,798.157,809.001
 1120.58,      95.5,  21.0     ,2.6961e-004, 2.34,  0.21%,   0.58,     597.2,  11,  ,354394.625,,,Bi214,1120.29,1113.31,1127.76
 1461.62,     284.2,  21.1     ,8.0189e-004, 2.00,  0.14%,   0.47,     572.9,  12,  ,354394.625,,,K40,1460.75,1454.76,1468.48
 1593.66,      24.1,  10.7     ,6.7981e-005, 1.76,  0.11%,   0.29,     171.0,  13,  ,354394.625,,,,,1590.26,1597.72
 1662.46,      37.7,  10.8     ,1.0649e-004, 2.50,  0.15%,   0.61,     258.0,  14,  ,354394.625,,,,,1654.99,1669.98
 1730.50,      46.0,  9.8      ,1.2986e-004, 1.95,  0.11%,   1.32,     273.0,  15,  ,354394.625,,,Bi214,1729.59,1721.78,1738.73
 1765.27,     160.5,  14.8     ,4.5288e-004, 1.94,  0.11%,   1.24,     434.0,  16,  ,354394.625,,,Bi214,1764.49,1755.68,1775.34
 1848.29,      41.7,  22.9     ,1.1777e-004, 3.14,  0.17%,   0.94,     169.0,  17,  ,354394.625,,,Bi214,1847.42,1844.5,1853.99
 2103.01,      57.0,  12.0     ,1.6070e-004, 3.17,  0.15%,   0.96,     315.0,  18,  ,354394.625,,,,,2092.65,2112.31
 2204.60,      44.3,  8.9      ,1.2492e-004, 1.70,  0.08%,   0.77,     165.7,  19,  ,354394.625,,,Bi214,2204.21,2198.17,2211.04
 2615.39,     411.8,  21.0     ,1.1619e-003, 2.40,  0.09%,   1.23,     531.4,  20,  ,354394.625,,,Tl208,2614.53,2604.82,2627.67
