,Centroid,Net_Area_Count,   Net_Area,Peak_CPS,FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     .1,Nuclide,Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy,BR,Dose,Centroid_err,FWHM_err
0,74.93,303.0,  38.5     ,0.00085505,1.42,  1.89%,   2.37,   14248.0,  1,  ,354394.625,,,,,50.4708,82.9927,,,0.03464250641928366,0.05768355692286951
1,85.32,212.9,  37.4     ,0.00060077,0.93,  1.09%,   2.07,    9507.0,  2,  ,354394.625,,,,,76.8948,96.5436,,,0.0270668299102579,0.045069228102412616
2,159.64,209.6,  49.7     ,0.00059143,1.6,  1.00%,   0.69,    5902.6,  3,  ,354394.625,,,,,154.813,163.622,,,0.04693173605019785,0.07814646651645635
3,242.42,133.2,  32.7     ,0.00037586,0.8,  0.33%,   1.25,    3132.1,  4,  ,354394.625,,,Pb214,242.0,239.51,245.608,0.0743,0.101,0.029436091928811126,0.04901430813958718
4,295.58,278.5,  32.8     ,0.00078592,1.08,  0.36%,   1.05,    4183.4,  5,  ,354394.625,,,Pb214,295.24,290.129,300.97,0.193,0.262,0.027482322502500718,0.04576106864955986
5,334.57,902.6,  40.2     ,0.0025469,0.56,  0.17%,   0.99,    7091.2,  6,  ,354394.625,,,,,324.887,344.537,,,0.007915578102243583,0.013180302098003586
6,352.44,377.8,  32.7     ,0.0010659,1.19,  0.34%,   0.69,    3336.9,  7,  ,354394.625,,,Pb214,351.93,347.031,357.873,0.376,0.51,0.025999096775722964,0.04329133581312677
7,511.51,2301.2,  62.5     ,0.0064934,2.5,  0.49%,   1.29,    4971.0,  8,  ,354394.625,,,Annihilation,511.0,501.747,521.399,,,0.022131207086099596,0.03685087702003627
8,609.83,274.6,  23.2     ,0.00077495,1.27,  0.21%,   0.53,    1258.6,  9,  ,354394.625,,,Bi214,609.31,604.429,615.272,0.461,0.276,0.032545858392603266,0.05419240895769461
9,803.59,88.7,  19.2     ,0.00025041,1.55,  0.19%,   1.21,     661.2,  10,  ,354394.625,,,Pb206m,803.06,798.157,809.001,,,0.06988953713525695,0.11637371282727065
10,1120.58,95.5,  21.0     ,0.00026961,2.34,  0.21%,   0.58,     597.2,  11,  ,354394.625,,,Bi214,1120.29,1113.31,1127.76,0.151,0.118,0.10168489572292795,0.16931645763842662
11,1461.62,284.2,  21.1     ,0.00080189,2.0,  0.14%,   0.47,     572.9,  12,  ,354394.625,,,K40,1460.75,1454.76,1468.48,0.1067,1.0,0.05038024032511489,0.08388860278781478
12,1593.66,24.1,  10.7     ,6.7981e-05,1.76,  0.11%,   0.29,     171.0,  13,  ,354394.625,,,,,1590.26,1597.72,,,0.15224618628343667,0.25350652884289804
13,1662.46,37.7,  10.8     ,0.00010649,2.5,  0.15%,   0.61,     258.0,  14,  ,354394.625,,,,,1654.99,1669.98,,,0.17290661534815235,0.28790839981554917
14,1730.5,46.0,  9.8      ,0.00012986,1.95,  0.11%,   1.32,     273.0,  15,  ,354394.625,,,Bi214,1729.59,1721.78,1738.73,,,0.12209502594847779,0.20330155370564787
15,1765.27,160.5,  14.8     ,0.00045288,1.94,  0.11%,   1.24,     434.0,  16,  ,354394.625,,,Bi214,1764.49,1755.68,1775.34,0.154,0.151,0.06502891194939522,0.1082802410040738
16,1848.29,41.7,  22.9     ,0.00011777,3.14,  0.17%,   0.94,     169.0,  17,  ,354394.625,,,Bi214,1847.42,1844.5,1853.99,0.0211,0.021,0.20649231659796757,0.3438322607045462
17,2103.01,57.0,  12.0     ,0.0001607,3.17,  0.15%,   0.96,     315.0,  18,  ,354394.625,,,,,2092.65,2112.31,,,0.1783052416576913,0.296897702271397
18,2204.6,44.3,  8.9      ,0.00012492,1.7,  0.08%,   0.77,     165.7,  19,  ,354394.625,,,Bi214,2204.21,2198.17,2211.04,0.050800000000000005,0.056,0.10846492848629968,0.18060595272031743
19,2615.39,411.8,  21.0     ,0.0011619,2.4,  0.09%,   1.23,     531.4,  20,  ,354394.625,,,Tl208,2614.53,2604.82,2627.67,0.9916,0.595,0.050223889928725535,0.0836282623008742
