Start Time, Mon Nov 13 2023 14:05:27 GMT+0000 (GMT)
Energy calibration,  Offset: -0.3439140022, Slope: 0.6775230169, Quadratic: 8.387880257e-8
Live Time (s), 523881.4
Real Time (s), 525880.09
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.3336091824576052, 95
2, 1.0111325348728155, 50809
3, 1.688656055045631, 50526
4, 2.3661797429760516, 4342
5, 3.0437035986640772, 3781
6, 3.7212276221097085, 12203
7, 4.398751813312944, 13733
8, 5.0762761722737855, 16245
9, 5.753800698992232, 17097
10, 6.431325393468283, 17025
11, 7.10885025570194, 16706
12, 7.786375285693202, 16385
13, 8.46390048344207, 18788
14, 9.14142584894854, 63641
15, 9.818951382212617, 42461
16, 10.4964770832343, 19703
17, 11.174002952013588, 10399
18, 11.85152898855048, 7305
19, 12.529055192844977, 4904
20, 13.20658156489708, 4337
21, 13.884108104706788, 4340
22, 14.561634812274102, 3735
23, 15.23916168759902, 3697
24, 15.916688730681544, 3460
25, 16.594215941521675, 3267
26, 17.271743320119405, 3364
27, 17.94927086647474, 3198
28, 18.62679858058769, 3128
29, 19.304326462458235, 3044
30, 19.981854512086393, 3061
31, 20.65938272947215, 2936
32, 21.336911114615518, 2932
33, 22.014439667516484, 2907
34, 22.691968388175063, 2736
35, 23.36949727659124, 2784
36, 24.04702633276503, 2726
37, 24.724555556696416, 2675
38, 25.402084948385408, 2670
39, 26.079614507832012, 2589
40, 26.757144235036215, 2588
41, 27.43467412999803, 2571
42, 28.112204192717442, 2540
43, 28.789734423194467, 2545
44, 29.46726482142909, 2467
45, 30.144795387421325, 2494
46, 30.82232612117116, 2391
47, 31.499857022678604, 2451
48, 32.17738809194365, 2321
49, 32.8549193289663, 2258
50, 33.53245073374656, 2383
51, 34.20998230628442, 2279
52, 34.88751404657989, 2253
53, 35.56504595463296, 2253
54, 36.24257803044363, 2281
55, 36.92011027401192, 2322
56, 37.5976426853378, 2209
57, 38.2751752644213, 2248
58, 38.952708011262395, 2209
59, 39.6302409258611, 2085
60, 40.30777400821741, 2274
61, 40.985307258331325, 2181
62, 41.66284067620284, 2271
63, 42.34037426183197, 2177
64, 43.017908015218694, 2141
65, 43.695441936363025, 2159
66, 44.37297602526497, 2088
67, 45.05051028192451, 2135
68, 45.72804470634166, 2105
69, 46.405579298516415, 2071
70, 47.08311405844878, 2100
71, 47.76064898613874, 2026
72, 48.438184081586314, 2049
73, 49.115719344791486, 2015
74, 49.79325477575427, 2133
75, 50.47079037447465, 2073
76, 51.14832614095264, 2113
77, 51.82586207518824, 1974
78, 52.50339817718144, 2093
79, 53.18093444693225, 2171
80, 53.858470884440656, 2107
81, 54.53600748970668, 2136
82, 55.213544262730295, 2041
83, 55.891081203511526, 2100
84, 56.568618312050354, 2089
85, 57.246155588346795, 2110
86, 57.923693032400834, 2172
87, 58.60123064421248, 2160
88, 59.278768423781734, 2759
89, 59.95630637110859, 2449
90, 60.633844486193055, 2181
91, 61.31138276903512, 2196
92, 61.9889212196348, 2175
93, 62.66645983799207, 2311
94, 63.34399862410696, 2507
95, 64.02153757797946, 2395
96, 64.69907669960955, 2166
97, 65.37661598899724, 2280
98, 66.05415544614254, 2357
99, 66.73169507104545, 2377
100, 67.40923486370598, 2320
101, 68.08677482412409, 2387
102, 68.76431495229981, 2325
103, 69.44185524823314, 2447
104, 70.11939571192408, 2472
105, 70.79693634337262, 2474
106, 71.47447714257876, 2528
107, 72.15201810954251, 2684
108, 72.82955924426386, 3129
109, 73.50710054674283, 2718
110, 74.1846420169794, 3504
111, 74.86218365497356, 5652
112, 75.53972546072534, 3478
113, 76.21726743423473, 3102
114, 76.89480957550171, 5950
115, 77.5723518845263, 4330
116, 78.24989436130849, 2467
117, 78.9274370058483, 2480
118, 79.60497981814571, 2552
119, 80.28252279820072, 2352
120, 80.96006594601333, 2578
121, 81.63760926158355, 2477
122, 82.31515274491139, 2455
123, 82.99269639599682, 2565
124, 83.67024021483985, 2968
125, 84.34778420144049, 3466
126, 85.02532835579875, 3172
127, 85.7028726779146, 2804
128, 86.38041716778805, 3006
129, 87.05796182541911, 4181
130, 87.73550665080778, 3563
131, 88.41305164395406, 2582
132, 89.09059680485794, 2680
133, 89.76814213351942, 3507
134, 90.4456876299385, 2905
135, 91.12323329411521, 2543
136, 91.8007791260495, 2783
137, 92.4783251257414, 3498
138, 93.15587129319091, 3723
139, 93.83341762839802, 2949
140, 94.51096413136275, 2585
141, 95.18851080208508, 2508
142, 95.866057640565, 2448
143, 96.54360464680254, 2525
144, 97.22115182079769, 2555
145, 97.89869916255043, 2583
146, 98.57624667206078, 2573
147, 99.25379434932873, 2772
148, 99.9313421943543, 2623
149, 100.60889020713746, 2561
150, 101.28643838767823, 2564
151, 101.9639867359766, 2514
152, 102.64153525203258, 2593
153, 103.31908393584618, 2609
154, 103.99663278741737, 2669
155, 104.67418180674616, 2749
156, 105.35173099383256, 2775
157, 106.02928034867658, 2724
158, 106.70682987127819, 2687
159, 107.3843795616374, 2612
160, 108.06192941975422, 2710
161, 108.73947944562865, 2910
162, 109.41702963926069, 2784
163, 110.09458000065032, 2636
164, 110.77213052979756, 2670
165, 111.44968122670241, 2685
166, 112.12723209136487, 2707
167, 112.80478312378493, 2744
168, 113.48233432396259, 2746
169, 114.15988569189786, 2798
170, 114.83743722759074, 2852
171, 115.51498893104119, 2940
172, 116.19254080224928, 2801
173, 116.87009284121497, 2819
174, 117.54764504793826, 2801
175, 118.22519742241916, 2725
176, 118.90274996465766, 2762
177, 119.58030267465378, 2715
178, 120.25785555240749, 2734
179, 120.93540859791881, 2707
180, 121.61296181118773, 2862
181, 122.29051519221427, 2841
182, 122.9680687409984, 2808
183, 123.64562245754014, 2791
184, 124.32317634183948, 2874
185, 125.00073039389643, 2888
186, 125.678284613711, 2967
187, 126.35583900128316, 2840
188, 127.03339355661292, 2984
189, 127.71094827970029, 2913
190, 128.38850317054528, 3031
191, 129.06605822914784, 3596
192, 129.74361345550804, 2961
193, 130.42116884962584, 2908
194, 131.09872441150122, 3037
195, 131.77628014113424, 2892
196, 132.45383603852483, 2875
197, 133.13139210367305, 2960
198, 133.80894833657888, 2947
199, 134.48650473724229, 2856
200, 135.16406130566332, 2891
201, 135.84161804184194, 2864
202, 136.5191749457782, 2927
203, 137.19673201747204, 2952
204, 137.87428925692348, 2841
205, 138.55184666413254, 2838
206, 139.2294042390992, 2979
207, 139.90696198182346, 3041
208, 140.58451989230534, 2802
209, 141.2620779705448, 3015
210, 141.93963621654189, 2886
211, 142.61719463029658, 3006
212, 143.29475321180885, 2991
213, 143.97231196107876, 3179
214, 144.64987087810624, 2902
215, 145.32742996289136, 2934
216, 146.00498921543408, 2983
