Start Time, Mon Oct 16 2023 10:14:18 GMT+0100 (BST)
Energy calibration,  Offset: -0.3439140022, Slope: 0.6775230169, Quadratic: 8.387880257e-8
Live Time (s), 83261.87
Real Time (s), 83571.47
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.3336091824576052, 6
2, 1.0111325348728155, 177
3, 1.688656055045631, 523
4, 2.3661797429760516, 123
5, 3.0437035986640772, 324
6, 3.7212276221097085, 1532
7, 4.398751813312944, 1898
8, 5.0762761722737855, 2360
9, 5.753800698992232, 2541
10, 6.431325393468283, 2519
11, 7.10885025570194, 2467
12, 7.786375285693202, 2379
13, 8.46390048344207, 2938
14, 9.14142584894854, 9883
15, 9.818951382212617, 6474
16, 10.4964770832343, 2933
17, 11.174002952013588, 1468
18, 11.85152898855048, 1040
19, 12.529055192844977, 651
20, 13.20658156489708, 590
21, 13.884108104706788, 584
22, 14.561634812274102, 544
23, 15.23916168759902, 485
24, 15.916688730681544, 475
25, 16.594215941521675, 477
26, 17.271743320119405, 426
27, 17.94927086647474, 427
28, 18.62679858058769, 417
29, 19.304326462458235, 456
30, 19.981854512086393, 413
31, 20.65938272947215, 403
32, 21.336911114615518, 373
33, 22.014439667516484, 379
34, 22.691968388175063, 414
35, 23.36949727659124, 379
36, 24.04702633276503, 358
37, 24.724555556696416, 342
38, 25.402084948385408, 381
39, 26.079614507832012, 327
40, 26.757144235036215, 399
41, 27.43467412999803, 355
42, 28.112204192717442, 329
43, 28.789734423194467, 339
44, 29.46726482142909, 319
45, 30.144795387421325, 353
46, 30.82232612117116, 282
47, 31.499857022678604, 330
48, 32.17738809194365, 320
49, 32.8549193289663, 328
50, 33.53245073374656, 317
51, 34.20998230628442, 316
52, 34.88751404657989, 328
53, 35.56504595463296, 284
54, 36.24257803044363, 295
55, 36.92011027401192, 318
56, 37.5976426853378, 297
57, 38.2751752644213, 285
58, 38.952708011262395, 302
59, 39.6302409258611, 318
60, 40.30777400821741, 292
61, 40.985307258331325, 310
62, 41.66284067620284, 321
63, 42.34037426183197, 286
64, 43.017908015218694, 285
65, 43.695441936363025, 317
66, 44.37297602526497, 274
67, 45.05051028192451, 294
68, 45.72804470634166, 294
69, 46.405579298516415, 256
70, 47.08311405844878, 302
71, 47.76064898613874, 268
72, 48.438184081586314, 284
73, 49.115719344791486, 287
74, 49.79325477575427, 273
75, 50.47079037447465, 315
76, 51.14832614095264, 299
77, 51.82586207518824, 275
78, 52.50339817718144, 255
79, 53.18093444693225, 329
80, 53.858470884440656, 286
81, 54.53600748970668, 289
82, 55.213544262730295, 295
83, 55.891081203511526, 283
84, 56.568618312050354, 261
85, 57.246155588346795, 274
86, 57.923693032400834, 310
87, 58.60123064421248, 303
88, 59.278768423781734, 371
89, 59.95630637110859, 329
90, 60.633844486193055, 302
91, 61.31138276903512, 279
92, 61.9889212196348, 306
93, 62.66645983799207, 336
94, 63.34399862410696, 347
95, 64.02153757797946, 316
96, 64.69907669960955, 288
97, 65.37661598899724, 340
98, 66.05415544614254, 289
99, 66.73169507104545, 285
100, 67.40923486370598, 311
101, 68.08677482412409, 302
102, 68.76431495229981, 349
103, 69.44185524823314, 315
104, 70.11939571192408, 336
105, 70.79693634337262, 321
106, 71.47447714257876, 354
107, 72.15201810954251, 335
108, 72.82955924426386, 425
